Gene_Target,Perturbation,Oxidative_Score,Inflammatory_Score,Senescence_Score,direction,logFC
WDR26,9812_WDR26_P1P2_ENSG00000162923,-0.01486113,0.036808133,0.011490492,DOWN,-0.00725904018420138
DOCK11,2322_DOCK11_P1P2_ENSG00000147251,-0.015145461,-0.013232521,0.0039354847,DOWN,-0.0143664091009085
GNA13,3429_GNA13_P1P2_ENSG00000120063,-0.0155118685,0.013496839,0.0072764237,DOWN,-0.0100107654254984
ECHDC3,2465_ECHDC3_P1P2_ENSG00000134463,-0.015553725,0.0033678594,-0.021487685,UP,0.013592040790561
ID2,4019_ID2_P2_ENSG00000115738,-0.01724811,0.0134508535,0.038339898,DOWN,-0.0131809571703663
SPTBN2,8385_SPTBN2_P1P2_ENSG00000173898,-0.017376645,-0.007690045,1.9032508e-05,UP,0.0190879582845058
LSM14A,4688_LSM14A_P1P2_ENSG00000257103,-0.017845726,0.015984748,0.017008249,DOWN,-0.00943242438699189
DDAH2,2086_DDAH2_P1P2_ENSG00000213722,-0.017850446,-0.0038505052,0.028631883,DOWN,-0.0113224199925575
C6orf47,1111_C6orf47_P1P2_ENSG00000204439,-0.018140875,0.012266621,-0.01609469,UP,0.00770784753929134
NIPSNAP3A,5679_NIPSNAP3A_P1P2_ENSG00000136783,-0.018636627,0.02837564,-0.017203717,DOWN,-0.0141721192197512
TOMM34,9165_TOMM34_P1P2_ENSG00000025772,-0.019161781,0.014005389,-0.0036365332,UP,0.00838388006496099
PAQR4,6066_PAQR4_P1P2_ENSG00000162073,-0.019846572,0.0010865149,0.011639593,UP,0.0146259150197213
PAQR4,6066_PAQR4_P1P2_ENSG00000162073,-0.019846572,0.0010865149,0.011639593,UP,0.0190714413405045
SLC25A4,8011_SLC25A4_P1P2_ENSG00000151729,-0.01992949,0.004027216,0.013074345,UP,0.0176779971347318
FAM102B,2827_FAM102B_P1P2_ENSG00000162636,-0.019989997,0.09264991,0.064402625,DOWN,-0.0147738264137485
NMNAT3,5718_NMNAT3_P1P2_ENSG00000163864,-0.020378944,0.0012356511,-0.0043035895,UP,0.0133787955354959
ATP6V0B,674_ATP6V0B_P1P2_ENSG00000117410,-0.021098137,0.021874307,-0.009228915,UP,0.00869615675981511
ANKRD16,331_ANKRD16_P1P2_ENSG00000134461,-0.022802047,-0.010491446,0.015422695,UP,0.0109838802672308
KLF8,4424_KLF8_P1P2_ENSG00000102349,-0.022844879,0.093761064,0.060941834,DOWN,-0.023926155512387
ZBTB7A,10009_ZBTB7A_P2_ENSG00000178951,-0.023551049,0.0078786,-0.001716355,UP,0.00881405588874752
CGGBP1,1541_CGGBP1_P2_ENSG00000163320,-0.023748746,0.021020392,0.02879417,DOWN,-0.0093159861799731
B4GALT1,734_B4GALT1_P1P2_ENSG00000086062,-0.024068257,0.020207347,0.021035245,UP,0.011487490006725
EXOC2,2779_EXOC2_P1P2_ENSG00000112685,-0.025899561,0.011833172,-0.0048703807,DOWN,-0.0108942868252922
SLC38A2,8064_SLC38A2_P1P2_ENSG00000134294,-0.028686492,-0.010824276,0.017518405,DOWN,-0.0186691683279749
SLC38A2,8064_SLC38A2_P1P2_ENSG00000134294,-0.028686492,-0.010824276,0.017518405,DOWN,-0.0128885278736259
HERC4,3694_HERC4_P1P2_ENSG00000148634,-0.029800247,-0.004797331,0.0046228827,DOWN,-0.0115221072204959
RDH10,7213_RDH10_P1P2_ENSG00000121039,-0.030405812,0.010636035,0.008430763,UP,0.0143155940337035
TMEM115,8986_TMEM115_P1P2_ENSG00000126062,-0.030570706,-0.0011059702,-0.0084339585,UP,0.0107801519652448
PTPMT1,6922_PTPMT1_P1P2_ENSG00000110536,-0.03406435,0.058957335,0.04487367,UP,0.00715231685086589
TSEN54,9339_TSEN54_P1P2_ENSG00000182173,-0.036702406,0.04276261,0.021426817,DOWN,-0.0119167246154906
PDCD4,6155_PDCD4_P2_ENSG00000150593,-0.036904365,0.057060633,0.042778797,DOWN,-0.0115226789592798
PPAT,6611_PPAT_P1P2_ENSG00000128059,-0.039513797,0.00879786,-0.10279301,UP,0.00831533453755994
SETDB2,7824_SETDB2_P1P2_ENSG00000136169,-0.04106331,0.045278177,0.02011899,DOWN,-0.0108814171749217
TBL1XR1,8734_TBL1XR1_P1P2_ENSG00000177565,-0.041347653,-0.016764892,-0.0070332885,DOWN,-0.00833677679386855
SLC16A1,7967_SLC16A1_P1_ENSG00000155380,-0.04189841,0.0022039986,-0.011481997,UP,0.0197266894919388
FOXF2,3158_FOXF2_P1P2_ENSG00000137273,-0.044933893,0.020760652,0.09047013,DOWN,-0.0150769585428755
COPE,1773_COPE_P1P2_ENSG00000105669,-0.047480296,0.09930809,0.046173953,UP,0.0121763005316926
SLC31A1,8035_SLC31A1_P1P2_ENSG00000136868,-0.0607462,-0.019031143,-0.03502433,UP,0.00973518360483571
NDUFS1,5565_NDUFS1_P1P2_ENSG00000023228,-0.072174214,-0.0004905664,-0.05818591,UP,0.00754447824590669
MRPL38,5220_MRPL38_P1P2_ENSG00000204316,-0.08362818,-0.0305608,-0.034907434,UP,0.0101564264032558
PRPF38B,6795_PRPF38B_P1P2_ENSG00000134186,-0.099364884,0.06677175,0.027577916,DOWN,-0.00861949144131147
MRPS18A,5248_MRPS18A_P1P2_ENSG00000096080,-0.110495426,-0.008302764,-0.02304269,UP,0.0109535441549277
