Gene_Target,Perturbation,Oxidative_Score,Inflammatory_Score,Senescence_Score,direction,logFC
GTF2F2,3572_GTF2F2_P1P2_ENSG00000188342,0.014835025,0.006578331,0.028706523,UP,0.0110122770153645
TMEM98,9101_TMEM98_P1P2_ENSG00000006042,0.014727965,0.014800224,0.00032563246,UP,0.0204156243427939
FRYL,3204_FRYL_P1P2_ENSG00000075539,0.014639218,-0.0009846545,0.014093053,DOWN,-0.00921429662034511
STK11,8512_STK11_P2_ENSG00000118046,0.014511832,0.0035626364,0.033709805,UP,0.00924389064692581
MBOAT1,4883_MBOAT1_P1P2_ENSG00000172197,0.013972487,0.018567173,0.051308427,DOWN,-0.0144263678280207
ARAF,432_ARAF_P1P2_ENSG00000078061,0.01386686,0.0019348483,0.005453172,UP,0.0124172677261815
TTC7A,9392_TTC7A_P1P2_ENSG00000068724,0.013752196,0.02170575,0.031754486,UP,0.011514123552767
MBOAT2,4884_MBOAT2_P1P2_ENSG00000143797,0.01372449,-0.0082952585,0.0012210008,DOWN,-0.0113001013441122
BEST1,818_BEST1_P1_ENSG00000167995,0.013137204,-0.008672639,0.0023217434,UP,0.0217143587467327
WBP4,9795_WBP4_P1P2_ENSG00000120688,0.012512181,-0.0097506875,0.004215779,DOWN,-0.00934398900152491
PHKG2,6300_PHKG2_P1P2_ENSG00000156873,0.0122615,0.00618589,0.0070911422,UP,0.00762116188795683
FAM133B,2852_FAM133B_P1P2_ENSG00000234545,0.0121791875,0.03391733,-0.00058184814,DOWN,-0.0094353055826164
INPP5K,4138_INPP5K_P1P2_ENSG00000132376,0.012057219,-0.00087822654,0.0039320863,UP,0.0214130652874726
INPP5K,4138_INPP5K_P1P2_ENSG00000132376,0.012057219,-0.00087822654,0.0039320863,UP,0.0176460755548964
PRKCB,6761_PRKCB_P1P2_ENSG00000166501,0.011844003,0.006043629,0.00078273006,UP,0.0149741224933481
SLC40A1,8082_SLC40A1_P1_ENSG00000138449,0.011711879,-0.015731078,-0.022087773,DOWN,-0.0132626406142714
TMEM62,9087_TMEM62_P1P2_ENSG00000137842,0.011457748,0.06689886,0.0597655,UP,0.0125768354643687
PCOLCE2,6140_PCOLCE2_P1P2_ENSG00000163710,0.010854379,0.010119064,0.02039781,UP,0.02239024274882
GCAT,3313_GCAT_P1P2_ENSG00000100116,0.010213209,-0.0010013388,0.002406829,UP,0.0109672728286736
TCF7,8787_TCF7_P1P2_ENSG00000081059,0.009671318,0.0018703234,0.06566087,UP,0.0112567426014502
CLK1,1658_CLK1_P1P2_ENSG00000013441,0.009515027,0.010038812,0.0067303656,DOWN,-0.0134405769169601
CLK1,1658_CLK1_P1P2_ENSG00000013441,0.009515027,0.010038812,0.0067303656,DOWN,-0.0130470123205711
PI4K2A,6315_PI4K2A_P1P2_ENSG00000155252,0.009444636,0.046578135,0.0567746,UP,0.0109003146496338
FXR2,3231_FXR2_P1P2_ENSG00000129245,0.009220066,0.004908276,0.01798598,UP,0.0112380137701489
CTSD,1947_CTSD_P1P2_ENSG00000117984,0.009095662,0.021184195,0.03559601,UP,0.0210537415468474
CGGBP1,1540_CGGBP1_P1_ENSG00000163320,0.008970998,-0.00041531146,0.010391977,DOWN,-0.0093159861799731
SOX9,8301_SOX9_P1P2_ENSG00000125398,0.008944638,-0.017802237,-0.005018585,UP,0.0182315403920421
GOT2,3481_GOT2_P1P2_ENSG00000125166,0.008901254,0.007321657,-0.0011303268,UP,0.0145641422898208
IFRD1,4048_IFRD1_P2_ENSG00000006652,0.0088986615,0.029436646,0.0066527356,DOWN,-0.00987034009496678
EDEM3,2478_EDEM3_P1P2_ENSG00000116406,0.008866359,0.01977256,0.008284407,DOWN,-0.0092477741122529
NETO2,5607_NETO2_P1P2_ENSG00000171208,0.008767953,-0.0024953973,-0.0062378477,UP,0.0240809763470547
NETO2,5607_NETO2_P1P2_ENSG00000171208,0.008767953,-0.0024953973,-0.0062378477,UP,0.024129733923094
ZEB2,10061_ZEB2_P2_ENSG00000169554,0.008703521,-0.009412669,-0.02051216,DOWN,-0.011157051875192
APLP1,406_APLP1_P1P2_ENSG00000105290,0.008486097,0.0041511087,0.02085888,UP,0.0168314432181809
ABHD8,52_ABHD8_P1P2_ENSG00000127220,0.008257195,-0.026050158,0.008989885,UP,0.0113067767869126
SLC19A1,7972_SLC19A1_P1P2_ENSG00000173638,0.008183584,-0.00925593,0.004766196,UP,0.0155066810725295
GGT1,3360_GGT1_P2_ENSG00000286070,0.007890077,0.008831672,-0.0045057903,UP,0.0113632365537931
ARFRP1,452_ARFRP1_P1P2_ENSG00000101246,0.007875281,0.0063677123,-0.009622071,UP,0.0115032553509198
HIST1H4H,"3781_HIST1H4H_ENST00000289352.1,ENST00000377727.1_ENSG00000158406",0.0075682146,-0.0032274248,0.013037735,DOWN,-0.011761590917849
BCAT1,787_BCAT1_P1P2_ENSG00000060982,0.0073870635,-0.02045449,-0.0017202742,UP,0.0191181068720799
THAP7,8880_THAP7_P1P2_ENSG00000184436,0.0073626856,0.019148342,0.011307035,UP,0.00923983393570846
MFSD11,5025_MFSD11_P1P2_ENSG00000092931,0.007263573,0.022292212,0.052408874,DOWN,-0.00937492119690952
SCAND1,7684_SCAND1_P1P2_ENSG00000171222,0.0071797953,0.012921834,0.010065766,UP,0.00825044897736307
BCKDHA,790_BCKDHA_P2_ENSG00000248098,0.00665059,-0.013490956,-0.0079668565,UP,0.00753650618401456
NFX1,5654_NFX1_P1P2_ENSG00000086102,0.006464348,-0.008178261,-7.746866e-06,UP,0.00949459692752374
ASRGL1,591_ASRGL1_P1P2_ENSG00000162174,0.0061498974,0.006165833,-0.0018677656,UP,0.0158849877023002
ASRGL1,591_ASRGL1_P1P2_ENSG00000162174,0.0061498974,0.006165833,-0.0018677656,UP,0.0148599810340011
SHISA5,7894_SHISA5_P1P2_ENSG00000164054,0.006120266,0.0034923,0.007204173,UP,0.0105275134700241
HLCS,3811_HLCS_P2_ENSG00000159267,0.005534269,-0.0021091315,0.0052587152,UP,0.0156281066468832
KIF1B,4382_KIF1B_P1P2_ENSG00000054523,0.0055292854,0.0071107256,-0.02006488,DOWN,-0.0121159475525796
RAB22A,7015_RAB22A_P1P2_ENSG00000124209,0.0051135565,-0.010466506,-0.018540317,DOWN,-0.00798895707501617
EXOSC1,2788_EXOSC1_P1P2_ENSG00000171311,0.0046492103,0.022187628,0.04146135,UP,0.00606966454825471
TMEM33,9068_TMEM33_P1P2_ENSG00000109133,0.004557143,0.013301178,0.013097196,UP,0.010561198999072
APLP2,407_APLP2_P1P2_ENSG00000084234,0.004514117,-0.003171565,0.005121697,UP,0.0111896403856573
ARHGAP21,463_ARHGAP21_P1P2_ENSG00000107863,0.0044732206,0.005178411,-0.007860376,DOWN,-0.0181114717568047
HSD17B1,3951_HSD17B1_P1P2_ENSG00000108786,0.0044374606,-0.00090761314,-0.0055005085,UP,0.00772007258719281
TTLL4,9403_TTLL4_P1P2_ENSG00000135912,0.004384309,0.016688878,0.020198949,UP,0.0186842632058468
DAAM1,2016_DAAM1_P1P2_ENSG00000100592,0.0043765577,0.027110154,0.020510135,UP,0.0223696623580848
DAAM1,2016_DAAM1_P1P2_ENSG00000100592,0.0043765577,0.027110154,0.020510135,UP,0.0188222663479356
DENND1A,2146_DENND1A_P1P2_ENSG00000119522,0.004098199,0.0186782,0.018294027,UP,0.0107844935916031
ANKRD9,345_ANKRD9_P1P2_ENSG00000156381,0.003987052,-0.00031601157,0.03781814,UP,0.0153317806634412
LEPR,4556_LEPR_P1P2_ENSG00000116678,0.0038714255,0.0092773335,0.0009616693,DOWN,-0.0203194622066191
IQGAP2,4173_IQGAP2_P1P2_ENSG00000145703,0.0038475757,-0.008428463,0.013445367,UP,0.0121911873759671
ARMCX3,526_ARMCX3_P1P2_ENSG00000102401,0.0036146918,-0.0051233117,-0.004622116,DOWN,-0.0130486040569772
ASB13,564_ASB13_P1P2_ENSG00000196372,0.0033310323,0.02124998,0.019615822,UP,0.0207079337489159
ASB13,564_ASB13_P1P2_ENSG00000196372,0.0033310323,0.02124998,0.019615822,UP,0.016694667964659
PITPNA,6379_PITPNA_P1P2_ENSG00000174238,0.003132678,0.0018557176,0.0005873089,UP,0.0197646156581008
PITPNA,6379_PITPNA_P1P2_ENSG00000174238,0.003132678,0.0018557176,0.0005873089,UP,0.0204579734568881
PITPNA,6379_PITPNA_P1P2_ENSG00000174238,0.003132678,0.0018557176,0.0005873089,UP,0.0138493569032985
C9orf16,1131_C9orf16_P1P2_ENSG00000171159,0.0027584052,0.023741309,0.02667327,UP,0.0135983489911101
PHF19,6283_PHF19_P1P2_ENSG00000119403,0.0024026665,0.01618938,-0.026320625,DOWN,-0.0102978224288835
TMEM161A,9011_TMEM161A_P1P2_ENSG00000064545,0.0023362543,0.028008947,0.014889106,UP,0.011240449614929
CHDH,1567_CHDH_P1P2_ENSG00000016391,0.0023249218,0.0024623687,-0.0016237197,UP,0.0138253399573845
CCNO,1336_CCNO_P1P2_ENSG00000152669,0.0021189475,0.023695435,0.028741384,UP,0.0187772419156783
UBL4A,9533_UBL4A_P1P2_ENSG00000102178,0.001948928,0.011523145,0.036235902,UP,0.0102221977230888
PPIC,6623_PPIC_P1P2_ENSG00000168938,0.0017239584,-0.0076244934,-0.01596569,DOWN,-0.0106033006163451
WASF1,9786_WASF1_P1P2_ENSG00000112290,0.0016765519,0.019617246,0.007953123,DOWN,-0.014309619456112
STK11,8511_STK11_P1_ENSG00000118046,0.0015527346,-0.001459477,-0.012315848,UP,0.00924389064692581
SLC25A39,8005_SLC25A39_P1_ENSG00000013306,0.0012472963,0.0045748143,-0.012056053,UP,0.00921741145464772
SLC40A1,8083_SLC40A1_P2_ENSG00000138449,0.0010527364,0.0068758456,0.017647104,DOWN,-0.0132626406142714
FGD6,3068_FGD6_P1P2_ENSG00000180263,0.000926247,-0.0008511713,-0.0103492355,DOWN,-0.0119524994770686
FGD6,3068_FGD6_P1P2_ENSG00000180263,0.000926247,-0.0008511713,-0.0103492355,DOWN,-0.0116994608675333
GGA2,3352_GGA2_P1P2_ENSG00000103365,0.00089808635,0.026015755,0.011742878,UP,0.0143681401919924
ID2,4020_ID2_P1_ENSG00000115738,0.00032903833,-0.00541396,-0.013603925,DOWN,-0.0131809571703663
TPM1,9204_TPM1_P2_ENSG00000140416,-0.00019173315,-0.00081094034,0.0008631357,DOWN,-0.0107591867181991
FADS3,2818_FADS3_P1P2_ENSG00000221968,-0.00025082417,-0.018722927,-0.023831964,UP,0.0133796366908505
DMTF1,2263_DMTF1_P1P2_ENSG00000135164,-0.0003095881,0.022774728,0.022273846,DOWN,-0.00773503276083463
RIT1,7317_RIT1_P1P2_ENSG00000143622,-0.00033204202,0.00083710783,0.019997008,DOWN,-0.0106043257586144
CETN3,1531_CETN3_P1P2_ENSG00000153140,-0.0003938072,0.009745715,-0.015297809,DOWN,-0.00974126408783262
MLLT3,5113_MLLT3_P1P2_ENSG00000171843,-0.00040929057,-0.003744984,0.0008824967,DOWN,-0.0119363018636624
ARHGAP1,462_ARHGAP1_P1P2_ENSG00000175220,-0.00047369656,0.0040870775,-0.019798608,UP,0.00896485577454609
ARHGAP1,462_ARHGAP1_P1P2_ENSG00000175220,-0.00047369656,0.0040870775,-0.019798608,UP,0.0178089748650318
LSR,4698_LSR_P1P2_ENSG00000105699,-0.00053759996,-0.00074310496,0.019804979,UP,0.0165001233646137
BEST1,819_BEST1_P2_ENSG00000167995,-0.0006324039,-0.007489714,-0.009077872,UP,0.0217143587467327
KRAS,4466_KRAS_P1P2_ENSG00000133703,-0.00079645327,-0.027253978,0.02057564,DOWN,-0.00999416119484724
SLC39A3,8074_SLC39A3_P1P2_ENSG00000141873,-0.00086539716,0.013459812,0.002139283,UP,0.0111965170712398
ACY1,121_ACY1_P1P2_ENSG00000243989,-0.000878153,-0.006150195,0.0009460335,UP,0.00844077916511836
ZNF518B,10417_ZNF518B_P1P2_ENSG00000178163,-0.00092262565,0.04598599,0.01574421,DOWN,-0.00968650317298453
PDCD4,6156_PDCD4_P1_ENSG00000150593,-0.0010763927,0.0019654366,-0.005684829,DOWN,-0.0115226789592798
ZBTB46,10000_ZBTB46_P1P2_ENSG00000130584,-0.0010900744,-0.001696868,-0.012184531,DOWN,-0.00859662065776074
RILP,7307_RILP_P1P2_ENSG00000167705,-0.0014270336,0.030198695,-0.0044614803,UP,0.00922360035204795
COPG2,1776_COPG2_P1P2_ENSG00000158623,-0.0014844775,0.0059854398,0.0118065635,UP,0.0107031336183546
ME1,4923_ME1_P1P2_ENSG00000065833,-0.001796674,-0.010014815,0.03728642,DOWN,-0.00949630946999462
ME1,4923_ME1_P1P2_ENSG00000065833,-0.001796674,-0.010014815,0.03728642,DOWN,-0.0164364216184245
MAP1S,4799_MAP1S_P1P2_ENSG00000130479,-0.0020876145,0.0010452955,0.0032530583,UP,0.00829641030097908
LIMA1,4581_LIMA1_P1_ENSG00000050405,-0.002386131,0.016116314,0.07805354,DOWN,-0.010832436853923
LBH,4526_LBH_P1P2_ENSG00000213626,-0.002543013,-0.00020403575,0.007734793,UP,0.0132353411830061
NR3C1,5796_NR3C1_P1P2_ENSG00000113580,-0.002823028,0.027728371,0.030813936,DOWN,-0.00922828341135388
GLI2,3391_GLI2_ENST00000452319.1_ENSG00000074047,-0.0028794082,0.003334167,0.0106186215,DOWN,-0.0124495371822522
