probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,direction,tissue
1732,-0.016706471576335,6.33879214688341,-4.82160634645384,6.28731479327697e-06,0.0284233490167351,2.10445459052912,ANGPTL2,DOWN,macular
11947,-0.0200696933404553,4.69287112317306,-4.71027209471132,9.70553381059247e-06,0.0284233490167351,1.6823550542277,ROR1,DOWN,macular
16813,0.00990117546226413,6.50120676249791,4.56768001862943,1.67962888128601e-05,0.0362446232277507,1.15018744865912,GGA2,UP,macular
16941,-0.0117930296989566,4.52628969680358,-4.96687580263065,3.5415304805511e-06,0.0181503437128244,2.66352105351843,LRP5,DOWN,macular
19473,-0.014569727855193,5.790778752096,-5.00767096570083,3.00988342274647e-06,0.0179214070169665,2.82215544366126,NRP1,DOWN,macular
23593,-0.0140723820459454,3.93441024269087,-4.64781834571235,1.23540767109889e-05,0.0301300121417681,1.44808267162811,CNTNAP3,DOWN,macular
24478,-0.0290226469418856,6.99293908442917,-4.72133910770152,9.29770704450917e-06,0.0284233490167351,1.7240589590739,CDH18,DOWN,macular
24556,-0.022276349271435,3.95347827949948,-5.38674262844568,6.45085561612663e-07,0.0159691839697328,4.32826044882773,GALNT9,DOWN,macular
25987,-0.0118125411221472,4.26918172818524,-4.65446742048269,1.20417043691411e-05,0.0301300121417681,1.47293693380811,RP1-21O18.1,DOWN,macular
26209,-0.00900966293718463,4.20105731826351,-4.59660770211217,1.50382666233473e-05,0.0342538295309578,1.25736301117127,MEF2A,DOWN,macular
30098,-0.0130539193819688,7.62199918891712,-4.74965175691715,8.32874410462316e-06,0.0284233490167351,1.83100723966841,FBXL7,DOWN,macular
31045,0.018858889214305,8.28382765220567,5.20944312854082,1.33420659102562e-06,0.0179214070169665,3.61682967475882,LAYN,UP,macular
32907,-0.0299227949112718,6.8745396182507,-5.00355677467736,3.05975241753087e-06,0.0179214070169665,2.8061253484713,SMOC1,DOWN,macular
33653,0.0192686731586715,7.31576577436884,4.64491497974185,1.24929318636599e-05,0.0301300121417681,1.4372364531569,HHATL,UP,macular
33696,-0.0172849475611302,3.00347132539281,-5.3409743494114,7.78984583889403e-07,0.0159691839697328,4.14348222016512,CDH23,DOWN,macular
37064,-0.0191516929486825,5.40133627830134,-5.07543147294106,2.2941078083106e-06,0.0179214070169665,3.08718409200737,COL25A1,DOWN,macular
38975,0.0242111487314255,5.18803389887479,4.74121683021947,8.60664967899602e-06,0.0284233490167351,1.79910653022367,FAP,UP,macular
41403,-0.0160922562843956,3.41846403909783,-4.76096054162405,7.9698149051564e-06,0.0284233490167351,1.87382798566063,KDR,DOWN,macular
