perturbation_id,target_gene,PRG4_UP_enrichment,PRG4_DOWN_enrichment,prg4_mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
7898_SHOC2_P1P2_ENSG00000108061,SHOC2,0.08548738918792022,-0.12549019607843145,0.21097758526635169,False,False,False
2222_DICER1_P1P2_ENSG00000100697,DICER1,0.10654044612411455,-0.10283757904503378,0.20937802516914833,False,False,False
288_AMBRA1_P1P2_ENSG00000110497,AMBRA1,0.09648192234597,-0.11167683624951177,0.20815875859548177,False,False,False
4115_IMPDH2_P1P2_ENSG00000178035,IMPDH2,0.13065184649194594,-0.07706808589197192,0.20771993238391787,False,False,False
9898_XPO5_P1P2_ENSG00000124571,XPO5,0.10500647879497718,-0.10074550529792883,0.20575198409290602,False,False,False
9749_VPS33A_P1P2_ENSG00000139719,VPS33A,0.11517097776580713,-0.08818577335973393,0.20335675112554108,False,False,False
3032_FBXO9_P1P2_ENSG00000112146,FBXO9,0.10626811818089336,-0.08849509982196287,0.19476321800285623,False,False,False
6312_PHYHD1_P1P2_ENSG00000175287,PHYHD1,0.08782277425758793,-0.10274947171255452,0.19057224597014244,False,False,False
595_ASXL1_P1P2_ENSG00000171456,ASXL1,0.08478628624402691,-0.1024382436532215,0.18722452989724842,False,False,False
2730_ESF1_P2_ENSG00000089048,ESF1,0.07787525713528304,-0.10468561449714246,0.18256087163242551,False,False,False
10445_ZNF557_P1P2_ENSG00000130544,ZNF557,0.1132505311731375,-0.0683646344139952,0.1816151655871327,False,False,False
285_ALX3_P1P2_ENSG00000156150,ALX3,0.11284738518790709,-0.06768021792302818,0.18052760311093527,False,False,False
7142_RBBP6_P1P2_ENSG00000122257,RBBP6,0.06134249814346875,-0.11911873651549752,0.18046123465896627,False,False,False
759_BANP_P1P2_ENSG00000172530,BANP,0.10542456193644668,-0.07357992293777738,0.17900448487422405,False,False,False
8166_SMG5_P1P2_ENSG00000198952,SMG5,0.03910563226702477,-0.13513620585422512,0.17424183812124988,False,False,False
6236_PFAS_P1P2_ENSG00000178921,PFAS,0.0908850485198143,-0.0813894653105111,0.17227451383032538,False,False,False
7136_RB1_P1P2_ENSG00000139687,RB1,0.08920626939177002,-0.08010810579535489,0.16931437518712492,False,False,False
4883_MBOAT1_P1P2_ENSG00000172197,MBOAT1,0.10053508038312702,-0.06829792004893454,0.16883300043206156,False,False,True
9548_UBR5_P1P2_ENSG00000104517,UBR5,0.07404505580914651,-0.09400307583331546,0.16804813164246196,False,False,False
10025_ZC3H4_P1_ENSG00000130749,ZC3H4,0.1030646484839022,-0.06442753607686251,0.1674921845607647,False,False,False
9480_UBA3_P1P2_ENSG00000144744,UBA3,0.13276065848645102,-0.03465407175518214,0.16741473024163317,False,False,False
10206_ZNF211_P1P2_ENSG00000121417,ZNF211,0.08864353168461715,-0.07399193564361527,0.16263546732823242,False,False,False
9911_XRN2_P1P2_ENSG00000088930,XRN2,0.07601644596625237,-0.0866068138978225,0.1626232598640749,False,False,False
5699_NKX6-1_P1P2_ENSG00000163623,NKX6-1,0.05713588048010847,-0.10526623547952343,0.1624021159596319,False,False,False
3858_HNRNPA2B1_P1P2_ENSG00000122566,HNRNPA2B1,0.09549103857103934,-0.0654119295109647,0.16090296808200405,False,False,False
9512_UBE2M_P1P2_ENSG00000130725,UBE2M,0.07081171179967731,-0.08843361484893794,0.15924532664861524,False,False,False
2921_FAM3C_P1P2_ENSG00000196937,FAM3C,0.08571003143249377,-0.07229301709773492,0.15800304853022867,False,False,False
3413_GLYR1_P1P2_ENSG00000140632,GLYR1,0.06276262861874234,-0.09515259128260349,0.15791521990134583,False,False,False
8065_SLC38A5_P1P2_ENSG00000017483,SLC38A5,0.07679726615449514,-0.08103957144339934,0.15783683759789446,False,False,False
2314_DNMT1_P1P2_ENSG00000130816,DNMT1,0.06286483021406199,-0.09495197278814542,0.1578168030022074,False,False,False
10399_ZNF496_P1P2_ENSG00000162714,ZNF496,0.09717374852967281,-0.060462706115298616,0.15763645464497142,False,False,False
8621_SYMPK_P1P2_ENSG00000125755,SYMPK,0.08840768184926392,-0.0689679160951972,0.15737559794446113,False,False,False
1670_CLOCK_P1P2_ENSG00000134852,CLOCK,0.07704632358062816,-0.0801397990804194,0.15718612266104756,False,False,False
7400_RNGTT_P1P2_ENSG00000111880,RNGTT,0.13828787799456574,-0.018286708549342785,0.15657458654390852,False,False,False
7292_RHOC_P1P2_ENSG00000155366,RHOC,0.0975467057359781,-0.05830375953670764,0.15585046527268573,False,False,False
5891_NUP205_P1P2_ENSG00000155561,NUP205,0.0734856199996887,-0.08210890288147428,0.155594522881163,False,False,False
1152_CAD_P1P2_ENSG00000084774,CAD,0.04893978423513659,-0.10630989535669597,0.15524967959183256,False,False,False
8549_STX12_P1P2_ENSG00000117758,STX12,0.10114923335438683,-0.05402896924721317,0.1551782026016,False,False,False
