pathway,NES,pval,padj,size,signature
NRF2_Core,-0.583811767598002,0.95049504950495,0.95049504950495,9,Age
NRF2_Effectors,1.79799218231032,0.00316142286653298,0.00948426859959893,30,Age
Stress_Markers,0.717173777102851,0.821073558648111,0.95049504950495,7,Age
NRF2_Core,-1.05472873062105,0.384384384384384,0.948051948051948,9,PRG4
NRF2_Effectors,-0.666987296015798,0.948051948051948,0.948051948051948,27,PRG4
Stress_Markers,0.735837565038218,0.783742331288344,0.948051948051948,8,PRG4
