target_gene,perturbation_id,age_direction,ARE_enrichment,n_ARE_genes
FANCL,2967_FANCL_P1P2_ENSG00000115392,DOWN,0.029196720814644198,128
PCOLCE2,6140_PCOLCE2_P1P2_ENSG00000163710,UP,0.02914557825190932,128
PPAT,6611_PPAT_P1P2_ENSG00000128059,UP,0.028190917080858285,128
NIPSNAP3A,5679_NIPSNAP3A_P1P2_ENSG00000136783,DOWN,0.028177657897927023,128
PITPNA,6379_PITPNA_P1P2_ENSG00000174238,UP,0.027276033458601044,128
SLC16A1,7967_SLC16A1_P1_ENSG00000155380,UP,0.026946448054309614,128
CTSD,1947_CTSD_P1P2_ENSG00000117984,UP,0.02632705479452055,128
HSD17B1,3951_HSD17B1_P1P2_ENSG00000108786,UP,0.02604103527700327,128
RAB8B,7041_RAB8B_P1P2_ENSG00000166128,DOWN,0.024701857800945567,128
GPX4,3523_GPX4_P1P2_ENSG00000167468,UP,0.024215056370469147,128
SLC40A1,8083_SLC40A1_P2_ENSG00000138449,DOWN,0.024048369499333252,128
PRKCB,6761_PRKCB_P1P2_ENSG00000166501,UP,0.022837995514607832,128
MAPK1,4828_MAPK1_P1P2_ENSG00000100030,DOWN,0.022301945690386713,128
ROGDI,7410_ROGDI_P1P2_ENSG00000067836,UP,0.021887122681537155,128
TCF7,8787_TCF7_P1P2_ENSG00000081059,UP,0.020826388047036005,128
ZXDC,10741_ZXDC_P1P2_ENSG00000070476,DOWN,0.020695690386713542,128
LRRC20,4658_LRRC20_P1P2_ENSG00000172731,UP,0.020076297126924474,128
EXOC2,2779_EXOC2_P1P2_ENSG00000112685,DOWN,0.0194777397260274,128
PTPMT1,6922_PTPMT1_P1P2_ENSG00000110536,UP,0.019085646745060008,128
NAPA,5462_NAPA_P1P2_ENSG00000105402,UP,0.019013668323433142,128
NDUFS1,5565_NDUFS1_P1P2_ENSG00000023228,UP,0.01825221238938053,128
DENND1A,2146_DENND1A_P1P2_ENSG00000119522,UP,0.01738089465389744,128
RIT1,7317_RIT1_P1P2_ENSG00000143622,DOWN,0.01646790520063038,128
DHCR7,2185_DHCR7_P1P2_ENSG00000172893,UP,0.01487112074190811,128
SLC39A3,8074_SLC39A3_P1P2_ENSG00000141873,UP,0.014732846405624923,128
S100A1,7622_S100A1_P1_ENSG00000160678,UP,0.014261198327069948,128
SNX6,8258_SNX6_P1P2_ENSG00000129515,DOWN,0.013020517638501636,128
TMEM98,9101_TMEM98_P1P2_ENSG00000006042,UP,0.012556446235907383,128
GLI2,3391_GLI2_ENST00000452319.1_ENSG00000074047,DOWN,0.012499621166201964,128
LSM14A,4688_LSM14A_P1P2_ENSG00000257103,DOWN,0.012211707479694509,128
SPTBN2,8385_SPTBN2_P1P2_ENSG00000173898,UP,0.012109422354224755,128
SLC25A4,8011_SLC25A4_P1P2_ENSG00000151729,UP,0.011687022669414475,128
FBXW9,3040_FBXW9_P1P2_ENSG00000132004,UP,0.011355543096132865,128
LPCAT3,4632_LPCAT3_P1P2_ENSG00000111684,UP,0.010613028851982058,128
EZR,2804_EZR_P2_ENSG00000092820,UP,0.01037815189719966,128
ZDHHC20,10048_ZDHHC20_P1P2_ENSG00000180776,DOWN,0.01013190992847618,128
HLCS,3811_HLCS_P2_ENSG00000159267,UP,0.009641320160019397,128
THAP7,8880_THAP7_P1P2_ENSG00000184436,UP,0.00959396593526488,128
PI4K2A,6315_PI4K2A_P1P2_ENSG00000155252,UP,0.009398866529276276,128
FOXF2,3158_FOXF2_P1P2_ENSG00000137273,DOWN,0.008944265971632925,128
GGA2,3352_GGA2_P1P2_ENSG00000103365,UP,0.006902351800218209,128
PHKG2,6300_PHKG2_P1P2_ENSG00000156873,UP,0.006586025578858044,128
BCKDHA,791_BCKDHA_P1_ENSG00000248098,UP,0.005964738150078797,128
ZEB2,10062_ZEB2_P1_ENSG00000169554,DOWN,0.005434370832828221,128
PFKL,6244_PFKL_P1_ENSG00000141959,UP,0.004983558613165232,128
RAB7A,7039_RAB7A_P1P2_ENSG00000075785,UP,0.004424778761061947,128
RDH10,7213_RDH10_P1P2_ENSG00000121039,UP,0.003848951388047036,128
WASF1,9786_WASF1_P1P2_ENSG00000112290,DOWN,0.0034303400412171174,128
