Gene_Target,Perturbation,Axis_Score,direction,logFC,adj.P.Val
FADS2,2817_FADS2_P1_ENSG00000134824,0.017525176,UP,0.018688354988202,0.0130248413436757
ZC3H11A,10018_ZC3H11A_P1P2_ENSG00000058673,0.017689561,DOWN,-0.00646218118069646,0.0314004255818238
PFKL,6245_PFKL_P2_ENSG00000141959,0.017793337,UP,0.0173403936704166,0.0104495159848239
FAM102B,2827_FAM102B_P1P2_ENSG00000162636,0.017860131,DOWN,-0.0147738264137485,0.0117491859274041
RAB11B,7004_RAB11B_P1P2_ENSG00000185236,0.018036203,UP,0.0102157654870722,0.00407290694652651
MBOAT1,4883_MBOAT1_P1P2_ENSG00000172197,0.018500378,DOWN,-0.0144263678280207,0.0294460197843892
DHCR7,2185_DHCR7_P1P2_ENSG00000172893,0.019109804,UP,0.0231665813521379,0.00252136586814623
DNAJA1,2275_DNAJA1_P2_ENSG00000086061,0.020255083,DOWN,-0.01878487315197,0.0168276050206054
FANCL,2967_FANCL_P1P2_ENSG00000115392,0.022486983,DOWN,-0.012176208916047,0.0108489065150277
FLCN,3106_FLCN_P1P2_ENSG00000154803,0.023803616,DOWN,-0.0158116656126934,0.0259812069756154
ZNF689,10555_ZNF689_P1P2_ENSG00000156853,0.02496555,UP,0.0103303392637926,0.00404876508589167
TPM1,9203_TPM1_P1_ENSG00000140416,0.026041394,DOWN,-0.0107591867181991,0.0426538051063771
GGT1,3359_GGT1_P1_ENSG00000286070,0.026869882,UP,0.0113632365537931,0.0261828020952465
MAPK1,4828_MAPK1_P1P2_ENSG00000100030,0.02788559,DOWN,-0.00953165795236447,0.0315873695757955
UHRF1,9583_UHRF1_P1P2_ENSG00000276043,0.028630078,DOWN,-0.0168075518781442,0.0147406083425061
MED28,4951_MED28_P1P2_ENSG00000118579,0.030269016,DOWN,-0.00715845794122717,0.0441225854088442
BCKDHA,791_BCKDHA_P1_ENSG00000248098,0.032602146,UP,0.00753650618401456,0.0461585394631721
ARL6IP6,517_ARL6IP6_P1P2_ENSG00000177917,0.03288081,DOWN,-0.00961558195690517,0.0329482417900333
DNAJB4,2282_DNAJB4_P1P2_ENSG00000162616,0.033286568,DOWN,-0.0196765190937693,0.0165425714984095
DNAJB4,2282_DNAJB4_P1P2_ENSG00000162616,0.033286568,DOWN,-0.0171922127570378,0.0210368194729947
SRA1,8395_SRA1_P1P2_ENSG00000213523,0.034293924,UP,0.010010910673954,0.0226213446583982
SRA1,8395_SRA1_P1P2_ENSG00000213523,0.034293924,UP,0.0097930056924053,0.0427491567597914
ATG2B,620_ATG2B_P1P2_ENSG00000066739,0.038338877,DOWN,-0.0105357018296564,0.0108489065150277
NOC2L,5729_NOC2L_P1P2_ENSG00000188976,0.039982304,UP,0.0109393457677913,0.020022896260455
PTEN,6905_PTEN_P1P2_ENSG00000171862,0.07407076,DOWN,-0.0100662193425765,0.0104495159848239
MED22,4945_MED22_P1P2_ENSG00000148297,0.09430238,UP,0.00905680706109971,0.0373035320481167
NOC4L,5731_NOC4L_P1P2_ENSG00000184967,0.12811686,UP,0.00800295232525076,0.0224862690054313
STK24,8517_STK24_P1P2_ENSG00000102572,0.13943142,UP,0.0130042633213559,0.034411998341179
PES1,6219_PES1_P1P2_ENSG00000100029,0.15332074,UP,0.00978137770775801,0.0332483186740448
