Gene_Target,Perturbation,Axis_Score,direction,logFC,adj.P.Val
CETN3,1531_CETN3_P1P2_ENSG00000153140,-0.009058687,DOWN,-0.00974126408783262,0.0325931596278407
NIPSNAP3A,5679_NIPSNAP3A_P1P2_ENSG00000136783,-0.009016072,DOWN,-0.0141721192197512,0.0210065541269356
ROGDI,7410_ROGDI_P1P2_ENSG00000067836,-0.008855428,UP,0.0124961205535524,0.0313455110578305
DMTF1,2263_DMTF1_P1P2_ENSG00000135164,-0.008515783,DOWN,-0.00773503276083463,0.0263588338420056
RAB8B,7041_RAB8B_P1P2_ENSG00000166128,-0.00832044,DOWN,-0.0119246134588403,0.0206950800815505
IFRD1,4049_IFRD1_P1_ENSG00000006652,-0.008195062,DOWN,-0.00987034009496678,0.0436260708508578
PEX16,6227_PEX16_P1P2_ENSG00000121680,-0.0067192884,UP,0.0147450533203006,0.0223997015593214
ME1,4923_ME1_P1P2_ENSG00000065833,-0.005928784,DOWN,-0.00949630946999462,0.0168276050206054
ME1,4923_ME1_P1P2_ENSG00000065833,-0.005928784,DOWN,-0.0164364216184245,0.00676339515854389
ZNF518B,10417_ZNF518B_P1P2_ENSG00000178163,-0.0056649987,DOWN,-0.00968650317298453,0.0103066581320454
HLCS,3812_HLCS_P1_ENSG00000159267,-0.005472026,UP,0.0156281066468832,0.0125341083157423
LSM14A,4688_LSM14A_P1P2_ENSG00000257103,-0.00539909,DOWN,-0.00943242438699189,0.0371435461139647
STK11,8511_STK11_P1_ENSG00000118046,-0.005292168,UP,0.00924389064692581,0.0353268980388232
NSFL1C,5824_NSFL1C_P1P2_ENSG00000088833,-0.0048897797,UP,0.013465566027986,0.0271375227919344
NSFL1C,5824_NSFL1C_P1P2_ENSG00000088833,-0.0048897797,UP,0.0150315050291005,0.0108489065150277
SH3GLB1,7885_SH3GLB1_P1P2_ENSG00000097033,-0.004814553,DOWN,-0.00963590103826484,0.0150820827886685
FHL3,3080_FHL3_P1P2_ENSG00000183386,-0.0047071734,UP,0.0115252038672071,0.0419841763326442
CHCHD10,1547_CHCHD10_P1P2_ENSG00000250479,-0.004476279,UP,0.0105126328615675,0.0376552026965915
MAP1S,4799_MAP1S_P1P2_ENSG00000130479,-0.004112481,UP,0.00829641030097908,0.014279561496736
