probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,direction,tissue
97,-0.0167063124913595,5.33997455248932,-3.84494613348785,0.00024548603461582,0.0289222052277259,-1.32525711585798,SAMD9L,DOWN,extramacular
194,0.0146259150197213,4.8024559720666,4.12416302385062,9.26094144476428e-05,0.0187969603581849,-0.390804932855317,PAQR4,UP,extramacular
376,-0.0134405769169601,7.62024642351158,-4.26164613002882,5.65213926534061e-05,0.0151466788748567,0.0847507549778435,CLK1,DOWN,extramacular
452,0.0223586669506817,6.84037073404721,3.79210752959937,0.000293919247707502,0.0314004255818238,-1.49713400484002,KIRREL2,UP,extramacular
587,-0.0144263678280207,4.27894586453535,-3.83387022257176,0.000254959439596541,0.0294460197843892,-1.3614199998903,MBOAT1,DOWN,extramacular
896,0.0197646156581008,12.1926218107012,3.71850765424573,0.00037679057121586,0.0356681089545314,-1.73381006645861,PITPNA,UP,extramacular
991,0.0328802182066699,14.2059576737623,4.08678366137031,0.000105753011590174,0.0206572897466305,-0.518382349153531,TTR,UP,extramacular
1034,-0.00999416119484724,4.13635253022227,-3.64129501878393,0.000487440105617554,0.0404555553245339,-1.97861586434095,KRAS,DOWN,extramacular
1209,0.0119248751105752,10.7127368517051,4.26778787341595,5.5277063549569e-05,0.0151466788748567,0.106222625065827,GPX4,UP,extramacular
1594,-0.0092477741122529,6.90398496570636,-3.70370705295273,0.000395951708971564,0.0363991481341572,-1.78101493603508,EDEM3,DOWN,extramacular
1610,-0.01878487315197,9.14081055466555,-4.1861573231797,7.42044472826007e-05,0.0168276050206054,-0.177583384773249,DNAJA1,DOWN,extramacular
1630,-0.014309619456112,5.46589985723994,-4.51831275108796,2.19797750050914e-05,0.0108489065150277,0.99796550950953,WASF1,DOWN,extramacular
1806,0.011514123552767,7.7207893469767,3.56443607790878,0.000627818289786066,0.0462128364115417,-2.21867807225232,TTC7A,UP,extramacular
1959,-0.010832436853923,7.87236357098612,-4.37461236231985,3.74295686800308e-05,0.0128959018141283,0.482716750555678,LIMA1,DOWN,extramacular
1998,-0.00760176678208121,7.73633251074883,-3.60838691377288,0.000543442892446111,0.0426538051063771,-2.08184832058787,ZDHHC20,DOWN,extramacular
2099,0.0234642149714019,6.64135200665339,4.39692422297177,3.44803219707265e-05,0.0126222607214267,0.56206590236429,SLC22A8,UP,extramacular
2200,-0.0147738264137485,4.67200032715261,-4.44165927946386,2.92296820632981e-05,0.0117491859274041,0.721888088598673,FAM102B,DOWN,extramacular
2350,-0.0141895735136909,3.9383239479112,-3.72431379094768,0.000369517823431071,0.0353268980388232,-1.71525618523063,SHE,DOWN,extramacular
2504,0.0182315403920421,5.06944422788928,4.01043992215906,0.000138390098850178,0.0224862690054313,-0.776604520379333,SOX9,UP,extramacular
2568,0.0158849877023002,8.19759540089617,4.66237359902478,1.27789709297009e-05,0.00845060980835057,1.52418759717883,ASRGL1,UP,extramacular
2639,0.0136123016751751,3.60854548409843,3.61173199942058,0.000537482676760036,0.0423784418214644,-2.07138523668713,AEN,UP,extramacular
2674,0.0108138952579209,4.86987256136176,3.57975049647346,0.000597098440547225,0.0449325531219475,-2.17113677082458,LMF1,UP,extramacular
2829,-0.0193855641067255,7.99883959539654,-3.92651024769528,0.000185392191950203,0.0257448574044385,-1.05678231174022,RSPO3,DOWN,extramacular
2875,0.0214130652874726,8.60007257828695,4.05939663262634,0.00011650327881446,0.0210424424290435,-0.61137933300278,INPP5K,UP,extramacular
2880,-0.011875815791848,4.99921356482632,-3.56258500348375,0.00063163137490996,0.0464101906295849,-2.22441454126271,C9orf150,DOWN,extramacular
2992,0.0102221977230888,3.52518161840177,3.58963324833144,0.000578037172262123,0.0441225854088442,-2.14037976513279,UBL4A,UP,extramacular
3012,0.0143155940337035,7.69644370892144,3.60704289102415,0.000545855278855759,0.0426538051063771,-2.08605034069355,RDH10,UP,extramacular
3099,0.0221041182747269,9.27853740232139,3.95394901362727,0.00016855575511084,0.0242071383903987,-0.965617372401439,CLIC6,UP,extramacular
3159,-0.011157051875192,7.69794096052043,-3.88001335284896,0.000217661993668165,0.0272909533345406,-1.21029623189699,ZEB2,DOWN,extramacular
3168,0.029624819045865,8.04825469836515,4.17675120342878,7.67502960695905e-05,0.0168276050206054,-0.210064378233997,RRH,UP,extramacular
3186,0.0224234092397462,8.25479500420971,4.13133696611151,9.02734824440346e-05,0.0186487909648053,-0.366234783835972,TRPM3,UP,extramacular
3237,0.00917813419737181,8.58909437809706,3.79800163457072,0.000288095125600818,0.0312917431621461,-1.47804196380638,CECR7,UP,extramacular
3317,-0.0107591867181991,6.01338775896194,-3.60876222689929,0.00054277105329383,0.0426538051063771,-2.08067472362761,TPM1,DOWN,extramacular
