gene,rescue_lfc,rescue_pval,h2o2_lfc,h2o2_pval
DAPP1,6.81355383215236,4.36265721389022e-05,-1.88157029734237,0.332670792826623
SPINK8,6.48986715844294,0.0008005490073902,0,1
PRR27,-6.15328924310512,0.0012340480226063,1.88134154857962,0.23190106855724
HDC,6.00196495831255,0.0036293685844633,0,1
OR2AT4,5.58473697750744,0.020979658645039,0,1
GBP4,5.50985266922262,1.83599644726168e-06,0.0066624334779539,0.996532326064124
ERICH6B,5.46551413791419,0.0325455734787888,0,1
LHX9,-5.417603051537,0.0165668435210531,1.96435322395045,0.334458752619024
RPH3A,5.37727178091739,0.0034206582177813,-2.65565497813538,0.164114662187218
ABCC11,5.33718903963462,0.0092478595804171,-1.84880799909374,0.416292327086705
TBC1D3,5.3332043630942,0.015541780598755,-7.56383532604755,0.0005567755513389
TNN,5.32020057543966,0.0238550524937547,0,1
CASP5,5.27354467773942,0.0254679846809288,0,1
GPR174,-5.25028564720959,0.0148866103793148,2.37913727649683,0.252523108804459
FFAR4,5.24932722141921,0.0526653917512876,0,1
PROK1,5.16157408368982,0.0072951562925835,0.964909213682512,0.667455803052184
OR6B2,5.14681199092726,0.0636698103798181,0,1
APOA1,-5.13375436720845,0.085824438829899,4.85476022649939,0.1042665302367
TMEM35A,5.12215191309157,0.0174900654519344,-4.12509512627546,0.0590060227125991
NR0B1,5.10178520133699,0.0002583794628957,-2.66766872768766,0.0646898243142687
RNASE3,-5.09957345330262,0.0035511266284793,-0.190795236056282,0.886564124185394
HTR3D,5.072831003,0.0730320329597187,0,1
TXNDC8,5.040268534839,0.0505142298680145,-1.90376599572695,0.488529494756747
FGL1,5.02779375119107,0.0437940866294358,0,1
COX6A2,-5.02665806146728,0.182030509171984,4.74764781171425,0.207496495201591
SIGLEC10,5.00985615097094,0.055384918596448,0,1
BLNK,4.99925784035565,0.0221861426375404,-1.84838195278506,0.43984394359626
FAM166B,-4.98853365685999,0.0017572135942157,0.62851975402403,0.576962930367808
TUBB8B,4.98700448602504,0.051624653250687,0,1
SERPINA9,-4.94873520115238,7.36914439436436e-05,-0.0728113579088861,0.921721133320253
ARHGEF15,4.9300008293534,0.0589545820343376,0,1
OR2F2,-4.88664008451762,0.204133909012302,4.60762903194147,0.231158024282135
CPB1,4.87979407402172,0.0715599350433539,0,1
SCG3,4.80458187759466,0.0450091398094602,-1.8478003550818,0.474625215576011
