pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.1563786844137853e-10,5.7818934220689265e-9,0.8390889356212738,-0.58118816374329485,-2.0606958236921114,199,
HALLMARK_MYOGENESIS,4.497812479853915e-10,1.1244531199634787e-8,0.8140358378479079,0.5855878378051594,1.9560822876494866,200,
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.2885861007025418e-8,2.1476435011709032e-7,0.7477396631498854,-0.5430990269435946,-1.9256446818628565,199,
HALLMARK_APICAL_JUNCTION,5.048237366466278e-8,6.310296708082848e-7,0.7195128263389107,0.5548338275452862,1.853352396658232,200,
HALLMARK_INTERFERON_ALPHA_RESPONSE,3.3535848046661955e-6,3.353584804666196e-5,0.6272567397185284,-0.6104571909498581,-1.9667993898058411,97,
HALLMARK_UV_RESPONSE_DN,4.626680245775803e-6,3.855566871479836e-5,0.610526878385931,0.5566485495957719,1.7935673605817037,143,
HALLMARK_MYC_TARGETS_V1,1.1129010995616182e-5,6.182783886453434e-5,0.5933254763964051,-0.4868242040367983,-1.7259536400406972,200,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.1129010995616182e-5,6.182783886453434e-5,0.5933254763964051,-0.4867961023043891,-1.7258540100573458,200,
HALLMARK_MITOTIC_SPINDLE,1.0149612239015105e-5,6.182783886453434e-5,0.5933254763964051,0.5083865329544459,1.6970996669230456,198,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,4.983601438089051e-5,2.4918007190445255e-4,0.557332238758646,-0.6014417214417871,-1.86417721225268,74,
HALLMARK_HYPOXIA,5.67539162749674e-5,2.579723467043973e-4,0.557332238758646,0.4872008723349224,1.6274330431343595,200,
HALLMARK_KRAS_SIGNALING_DN,1.5674076623349985e-4,6.53086525972916e-4,0.5188480777437918,0.4780745474848219,1.5969477064553614,200,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0012459432651739232,0.0047920894814381665,0.45505986738722953,0.44723149204485135,1.493920371274962,200,
HALLMARK_MTORC1_SIGNALING,0.0017664595400052195,0.006308784071447213,0.45505986738722953,-0.4206128750402948,-1.4912124678766088,200,
HALLMARK_MYC_TARGETS_V2,0.0020497611872402908,0.00683253729080097,0.4317076958033464,-0.5696618759733887,-1.6967350525800282,58,
HALLMARK_INFLAMMATORY_RESPONSE,0.002963542603734264,0.009261070636669574,0.4317076958033464,-0.4116996474037078,-1.459612112848419,200,
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.00477777571140766,0.014052281504140177,0.40701791892395395,0.610182098786188,1.6497724281400212,42,
HALLMARK_HEDGEHOG_SIGNALING,0.006050890463215516,0.016808029064487542,0.40701791892395395,0.6254996775722971,1.6358084949223186,36,
HALLMARK_GLYCOLYSIS,0.009791367494825266,0.02576675656532965,0.3807304007227924,0.4143408607516559,1.384053367302731,200,
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.024164268110910048,0.06041067027727512,0.35248785758361917,-0.4225568698645111,-1.3346205583686797,87,
HALLMARK_G2M_CHECKPOINT,0.032997522936947556,0.07856553080225609,0.3217759180753611,0.39329589190148195,1.3137553041355494,200,
HALLMARK_SPERMATOGENESIS,0.03764357349298768,0.08555357612042655,0.3217759180753611,0.4175115843015371,1.3370051073185218,135,
HALLMARK_PEROXISOME,0.040545710188489875,0.08814284823584755,0.3217759180753611,-0.4069237083826287,-1.3207579004039238,103,
HALLMARK_ANDROGEN_RESPONSE,0.07670716781883553,0.15980659962257404,0.2878051305355643,-0.3903994726627206,-1.2568287164013658,100,
HALLMARK_APOPTOSIS,0.08284023668639054,0.16568047337278105,0.1882041463084906,0.37536691685908385,1.2277572526925586,160,
HALLMARK_FATTY_ACID_METABOLISM,0.08615384615384615,0.16568047337278105,0.27128855468895297,-0.34696126500206537,-1.1878784703283058,158,
HALLMARK_COAGULATION,0.09226190476190477,0.17085537918871252,0.25720646646883816,-0.3622316771533481,-1.2281965584506156,138,
HALLMARK_TGF_BETA_SIGNALING,0.1182108626198083,0.20381183210311776,0.1619789488834018,0.4504928741956571,1.2669195932555217,54,
HALLMARK_KRAS_SIGNALING_UP,0.11773255813953488,0.20381183210311776,0.15419096658142434,0.35290918458034626,1.1788486039836883,200,
HALLMARK_PANCREAS_BETA_CELLS,0.13195548489666137,0.21333458364591149,0.15214492236756472,0.4739386475603942,1.2786594248691183,40,
HALLMARK_E2F_TARGETS,0.13226744186046513,0.21333458364591149,0.1446305280344838,0.3482083552834066,1.1631460768282882,200,
HALLMARK_BILE_ACID_METABOLISM,0.14697406340057637,0.22964697406340057,0.19782202131510335,-0.3557145533226102,-1.1666912741598756,111,
HALLMARK_DNA_REPAIR,0.15773809523809523,0.23899711399711399,0.19381330272531053,-0.33270342105622464,-1.1347211296277167,150,
