pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_UV_RESPONSE_DN,4.3964912975840614e-9,2.1982456487920308e-7,0.7614608014455848,0.5666401231164482,2.039378344974548,143,
HALLMARK_MITOTIC_SPINDLE,3.313532640505821e-7,4.141915800632276e-6,0.674962860011025,0.48219528638714637,1.8014370239992457,198,
HALLMARK_APICAL_JUNCTION,2.894877345098007e-7,4.141915800632276e-6,0.674962860011025,0.4804596542519157,1.7948974048513886,200,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,3.1187746807951483e-7,4.141915800632276e-6,0.674962860011025,-0.5480872863481487,-1.7854536413207074,199,
HALLMARK_MYOGENESIS,9.870044144948912e-5,9.870044144948912e-4,0.5384340963099162,0.41820517181043126,1.5623275980305253,200,
HALLMARK_G2M_CHECKPOINT,1.4914477525583607e-4,0.0012428731271319673,0.5188480777437918,0.41283777506805985,1.5422761194132615,200,
HALLMARK_TGF_BETA_SIGNALING,1.932409163470537e-4,0.001380292259621812,0.5188480777437918,0.6024149552149753,1.874566653805491,54,
HALLMARK_MYC_TARGETS_V2,0.001953500209698691,0.010741059974126653,0.4317076958033464,-0.5890660788162583,-1.6355507875299211,58,
HALLMARK_PROTEIN_SECRETION,0.002106632451544775,0.010741059974126653,0.4317076958033464,0.44826922717077755,1.539630684546908,96,
HALLMARK_MYC_TARGETS_V1,0.0022235019173073825,0.010741059974126653,0.4317076958033464,-0.4360580554683301,-1.4207469954393326,200,
HALLMARK_ALLOGRAFT_REJECTION,0.0023630331943078637,0.010741059974126653,0.4317076958033464,0.37106409554669173,1.3862183353715574,200,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.004654889650869159,0.019395373545288162,0.40701791892395395,0.3618971733524553,1.351972619396658,200,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.011016941472448144,0.042372851817108245,0.3807304007227924,-0.41023893736023886,-1.3366241727625068,200,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.013552967491317333,0.048403455326133334,0.3807304007227924,-0.5032731822431062,-1.4629670002463666,74,
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.017546535842948113,0.05848845280982704,0.35248785758361917,-0.46663738025419144,-1.4146312754499817,97,
HALLMARK_IL2_STAT5_SIGNALING,0.02140536063701637,0.06689175199067615,0.35248785758361917,0.3484366658955759,1.2969723464831808,199,
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.023656041161796225,0.06957659165234184,0.35248785758361917,0.5090170496899445,1.499397906260255,42,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.03315183351315809,0.08724166713988972,0.3217759180753611,0.3849268547040181,1.347021549288874,105,
HALLMARK_BILE_ACID_METABOLISM,0.03157137052391815,0.08724166713988972,0.3217759180753611,0.3827132750437249,1.3414804541212182,111,
HALLMARK_COAGULATION,0.036410923276983094,0.09102730819245773,0.27128855468895297,-0.42629858100140733,-1.3446462802445636,138,
HALLMARK_HYPOXIA,0.03894458403058629,0.09272520007282449,0.3217759180753611,0.3212678750599026,1.200190005766421,200,
HALLMARK_MTORC1_SIGNALING,0.06311881188118812,0.14345184518451848,0.19782202131510335,-0.3861987025594221,-1.25829723685432,200,
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.07223057563873203,0.15702299051898266,0.2878051305355643,0.37492693932303484,1.261926977476406,87,
HALLMARK_UV_RESPONSE_UP,0.09346991037131883,0.1730924266135534,0.16318012718068908,-0.38648988969978976,-1.2326798274331163,157,
HALLMARK_COMPLEMENT,0.08447350527821751,0.1730924266135534,0.2878051305355643,0.30611845771448243,1.143594931367004,200,
HALLMARK_ADIPOGENESIS,0.09222315987614657,0.1730924266135534,0.2878051305355643,0.3045025185104836,1.1375581183734735,200,
HALLMARK_E2F_TARGETS,0.09222315987614657,0.1730924266135534,0.2878051305355643,0.3044881515805009,1.1375044465092214,200,
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.10135970333745364,0.18099947024545293,0.15315880868307333,-0.3709212419030282,-1.208316081205881,199,
HALLMARK_ANDROGEN_RESPONSE,0.1117665571645602,0.19270096062855205,0.2878051305355643,0.3531341666219975,1.2171737869456982,100,
HALLMARK_GLYCOLYSIS,0.13402061855670103,0.22336769759450173,0.28201335001172506,0.2989689617421373,1.1168859004354923,200,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.14285714285714285,0.22551546391752575,0.19991523130966152,0.3922195592630697,1.1896628656269113,48,
HALLMARK_HEME_METABOLISM,0.14432989690721648,0.22551546391752575,0.27128855468895297,0.2973355772093065,1.1107839153194534,200,
HALLMARK_XENOBIOTIC_METABOLISM,0.14948453608247422,0.22649172133708215,0.26635065708852557,0.2959578914254991,1.1056371675828371,200,
HALLMARK_KRAS_SIGNALING_UP,0.16494845360824742,0.24257125530624624,0.2529611230696109,0.2940692758845459,1.098581692470162,200,
