pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
HALLMARK_MYOGENESIS,200,3,0.0033034006715980517,10.642651174689549,"CASQ2, MYH11, ATP2A1",0.026427205372784413
HALLMARK_COAGULATION,138,1,0.18453479356791447,4.986345643078948,GDA,0.2560674509684533
HALLMARK_UV_RESPONSE_UP,157,1,0.20714976731968737,4.3776014798188925,EPCAM,0.2560674509684533
HALLMARK_IL2_STAT5_SIGNALING,199,1,0.25496445463687745,3.44652385938658,APLP1,0.2560674509684533
HALLMARK_ALLOGRAFT_REJECTION,200,1,0.2560674509684533,3.429145525915133,ITGAL,0.2560674509684533
HALLMARK_APICAL_JUNCTION,200,1,0.2560674509684533,3.429145525915133,NRAP,0.2560674509684533
HALLMARK_COMPLEMENT,200,1,0.2560674509684533,3.429145525915133,F5,0.2560674509684533
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,1,0.2560674509684533,3.429145525915133,APLP1,0.2560674509684533
