logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,levene_pval,ctrl_var,amd_var,var_ratio,levene_fdr,variance_direction,resid_var_pval,ctrl_resid_var,amd_resid_var,resid_var_fdr
-0.19313078002974696,5.321422019679665,-1.7030566245496426,0.09184950761727767,1,-7.768860687522992,ENSG00000000003,0.21980920568849124,0.13580815845529104,0.23655166007495618,1.741807434586712,0.9516585286139357,Increased,0.18146412504349002,0.13155075219453985,0.22716381912861236,0.9639770991524519
-0.05772553091486374,0.3156818914844094,-0.3769970541136216,0.7070223597971543,1,-9.14045846315453,ENSG00000000005,0.8594721881324296,0.2836274261596689,0.4058979647896073,1.431095611187847,0.9808700799653646,Increased,0.8435414473504032,0.2511390657940343,0.3358746815442501,0.9789311322671299
0.04266398604993418,5.173574324614114,0.5222124274579264,0.6027463397674531,1,-9.074628134422412,ENSG00000000419,0.6792055408478865,0.07114329411131959,0.098081583135800815,1.3786483232324083,0.9516585286139357,Increased,0.698082762203976,0.07118251859026596,0.09778947177278575,0.9639770991524519
0.10302712682654842,4.255635512490329,1.0468746870190255,0.2978317965119333,1,-8.661678548554326,ENSG00000000457,0.5280183419063846,0.11208712406789631,0.10057348360834663,0.8972795443250436,0.9516585286139357,Decreased,0.6714628098398236,0.1077233769936771,0.11124366328836288,0.9639770991524519
0.0685137869244748,2.4084195339033276,0.6410793884204254,0.5230252362985772,1,-9.005015932260926,ENSG00000000460,0.31592036548323554,0.12104325076032181,0.17509727154513136,1.446567821380162,0.9516585286139357,Increased,0.28770019298423527,0.12015868258018268,0.17875098574282333,0.9639770991524519
0.3591184607447534,5.0985374796998215,1.6410764823125423,0.10411099233940686,1,-7.870568717594639,ENSG00000000938,0.34582546981063755,0.5636445000069847,0.33548176136354946,0.5952009845911601,0.9516585286139357,Decreased,0.34579072988086146,0.5636449497199976,0.3354868429832478,0.9639770991524519
0.07473485757120035,8.869593941215696,0.4283357031425734,0.6693829497104389,1,-9.119605043958284,ENSG00000000971,0.1138782437134039,0.37109455083665976,0.12774671975583202,0.34424304929247196,0.9516585286139357,Decreased,0.11500815715719474,0.37108025138305983,0.12490053058609786,0.9639770991524519
-0.14113461999639768,6.155796784896907,-1.6555779993495199,0.10112977051404057,1,-7.84709064492761,ENSG00000001036,0.3665361315199024,0.09927734369709615,0.06778277662048801,0.6827617872945834,0.9516585286139357,Decreased,0.36832022825692956,0.08521990769187984,0.05310814610210917,0.9639770991524519
-0.07984732997098151,5.172074301576414,-0.6890786961995156,0.4924648022312741,1,-8.972908141785211,ENSG00000001084,0.2556132878835507,0.1620390591089322,0.10589634545642901,0.6535235765917354,0.9516585286139357,Decreased,0.12554523012721774,0.15891421567741676,0.08799836975037353,0.9639770991524519
0.047166409968061936,4.900945881450847,0.48522619309187043,0.6286406522234214,1,-9.09340386907199,ENSG00000001167,0.6492044884487213,0.10287959791803694,0.12731306282138136,1.2374957270226725,0.9516585286139357,Increased,0.6428520230490429,0.10211278912805047,0.12913075631321477,0.9639770991524519
-0.033284291885358884,4.053780810841286,-0.23186806490762762,0.8171426311681103,1,-9.185058056149234,ENSG00000001460,0.5002496444983093,0.22183279564498887,0.2919560301318023,1.316108509938429,0.9516585286139357,Increased,0.5065766003308478,0.22182273407753844,0.2876022225163136,0.9639770991524519
0.03058369863088247,5.280435790841191,0.20199320420526362,0.8403569153694577,1,-9.191603595039654,ENSG00000001461,0.9913429743564721,0.25024020501758243,0.34487304862446005,1.3781680230010542,0.9992868031889172,Increased,0.6825717066729392,0.24142099883473145,0.3570536337177096,0.9639770991524519
-0.13102093758942532,5.526057953522736,-1.906595014409064,0.05961593758740767,1,-7.410077543545042,ENSG00000001497,0.06420444178448267,0.0579855726211687,0.02302826727225415,0.3971378781184487,0.9516585286139357,Decreased,0.035377739646578615,0.05735544901014704,0.020838559321673337,0.8834169292994947
0.033388162959269906,5.885990623805834,0.2262266598443841,0.8215144930497638,1,-9.186363046612895,ENSG00000001561,0.8000446651212957,0.23651394226619618,0.29850882584391664,1.2621193616905058,0.9725985959793267,Increased,0.7951611912861427,0.2370239973443242,0.2864211261297095,0.9691331707354527
0.11948646244903324,5.732393183321397,0.7495164822994821,0.45541067513989975,1,-8.929218947399502,ENSG00000001617,0.427813183316355,0.2946845358115345,0.22307288591791832,0.756988775483572,0.9516585286139357,Decreased,0.4470402865732688,0.2935187745229711,0.21681174322212507,0.9639770991524519
0.07252246798962124,0.31905838594741326,0.7838289618384617,0.4351037579407292,1,-8.90280096561151,ENSG00000001626,0.2997053562572957,0.10391543472583398,0.04059236385880711,0.39062882204077054,0.9516585286139357,Decreased,0.3444811269130985,0.10342513931061847,0.041523610512713416,0.9639770991524519
0.10806230286812027,5.908778367949149,1.067693980063788,0.2883827607214313,1,-8.639696004508181,ENSG00000001629,0.9261471362789112,0.11621727570920218,0.11893146381852587,1.0233544289586956,0.9903178070141371,Increased,0.7123393855098061,0.11233520173695243,0.12871127645579586,0.9639770991524519
-0.13104019901497957,5.150885380752676,-0.8930430204809036,0.37410623738781146,1,-8.810957728374966,ENSG00000001630,0.8076029738856679,0.2573010954875173,0.23530382574117148,0.9145076716262447,0.9733508932458786,Decreased,0.9345858218788593,0.24263741847430984,0.22542222667842596,0.9920771588320312
0.038228094377734514,5.550377517994879,0.4670634541204433,0.64153126938541,1,-9.102121809146132,ENSG00000001631,0.6337827670979144,0.07781843669591929,0.056028326451995535,0.7199878181944203,0.9516585286139357,Decreased,0.7534887957841818,0.07708010288792473,0.05915524225751295,0.9656198733979133
