logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,gene_symbol
0.0027249721077429677,5.627339682074993,0.6255417778957637,0.5330644534046731,1,-12.3231111014772,ENSG00000000003,TSPAN6
-9.38622350806685e-4,1.951841370228332,-0.07428076034983337,0.9409378620800324,1,-12.517572780235332,ENSG00000000005,TNMD
-0.003171977676453052,4.912759435099217,-0.7910006270730288,0.43084705451943384,1,-12.20533866424148,ENSG00000000419,DPM1
-0.004473996217306797,4.095134649424389,-1.1168031532617078,0.2667995201580325,0.9608470832022764,-11.894355166533941,ENSG00000000457,SCYL3
-7.92296424291461e-4,2.315557305628082,-0.19517252229080137,0.845660535226555,1,-12.501123478903933,ENSG00000000460,FIRRM
-0.00937572143282713,4.564165605322664,-1.0770439763530695,0.28409546182803186,0.9784577986470885,-11.937878730089146,ENSG00000000938,FGR
-0.005084879386057248,8.780068202423271,-0.7144317461527884,0.47665256255614896,1,-12.26322498172797,ENSG00000000971,CFH
0.008347356922527827,6.479066604221878,2.7016283487742294,0.008127485965227242,0.36561876634693674,-8.96423787041739,ENSG00000001036,FUCA2
0.006978291506314398,5.386190307120553,1.2848655291025093,0.20185719028881272,0.8851657429054124,-11.693447969506826,ENSG00000001084,GCLC
-0.0039902657151271925,4.729385687435113,-0.9834212537775057,0.3278132953157782,1,-12.03427025115416,ENSG00000001167,NFYA
0.00995075067976093,4.104804372447129,1.9429332183927834,0.0548836805398144,0.6184998680431391,-10.649355966932344,ENSG00000001460,STPG1
0.002961425341898521,5.254618585315547,0.5156039655690462,0.6072881777573189,1,-12.386265452002288,ENSG00000001461,NIPAL3
0.0039078734827775515,5.560615050529492,1.6166302638833245,0.10916141681760677,0.7463544650516148,-11.217560653551827,ENSG00000001497,LAS1L
-0.005158704440054084,5.827364569241802,-0.9369284182543662,0.3510904800505187,1,-12.078946360960888,ENSG00000001561,ENPP4
0.007125744172466223,5.642255162679032,1.1758265202764,0.24250273313982826,0.928309184764101,-11.826909589637433,ENSG00000001617,SEMA3F
0.0011147879506303666,0.5197476339921979,0.30221207190121774,0.7631285946599076,1,-12.474250581825585,ENSG00000001626,CFTR
-0.008361896765737082,5.753522458741493,-1.691505705538474,0.09390676076219397,0.7193472560711381,-11.095840118513866,ENSG00000001629,ANKIB1
0.011719854985564425,4.996636206016296,2.3968705793076803,0.018425091918847048,0.45268424317430284,-9.700247187444141,ENSG00000001630,CYP51A1
-0.008018075444492161,5.390809456646461,-1.7013081443501326,0.09204478798543723,0.7149961674417361,-11.079519675468912,ENSG00000001631,KRIT1
-0.004957165381377059,3.219635921323405,-1.029793142759314,0.30563307036926524,0.9892310702641927,-11.987598457565833,ENSG00000002016,RAD52
-8.729894261171198e-4,0.6265054153523015,-0.23608387152695243,0.8138585544805138,1,-12.49221639020477,ENSG00000002079,ENSG00000002079
0.008535994508426967,6.1006314551912695,1.7713422165233452,0.0796014513313425,0.6847204992017912,-10.960336278331779,ENSG00000002330,BAD
-0.00390163568233031,6.829634435317415,-0.44988232661182154,0.653785326845232,1,-12.418238602513046,ENSG00000002549,LAP3
-0.00751698756443242,7.938756833989833,-1.5625278307694739,0.121375904543225,0.7655637111827277,-11.302258512019835,ENSG00000002586,CD99
-0.0012189673509568778,2.928839743892825,-0.18286315573678566,0.8552818295758542,1,-12.50347297176405,ENSG00000002587,HS3ST1
-0.0028283240827037498,0.3823555113785985,-0.5655580232857207,0.5729823096484661,1,-12.35906764962611,ENSG00000002726,AOC1
0.0021339860355148108,0.3326897178224613,0.7523807430610084,0.4536191475657366,1,-12.235262989999368,ENSG00000002745,WNT16
0.015997357042551473,1.7145550643484297,1.8484829368000832,0.06753704728528277,0.6542946046571213,-10.82384688233704,ENSG00000002746,HECW1
0.008055907829957085,4.57208042162221,2.290032363946504,0.02415580071585949,0.4915642210596998,-9.939781022033898,ENSG00000002822,MAD1L1
-0.0087219586612091,7.053451116415743,-1.7078799574318464,0.09081341596310465,0.7122146593329199,-11.068528236644735,ENSG00000002834,LASP1
0.0013258861938645926,5.0330994231904524,0.5085716017768845,0.6121915059562238,1,-12.389893581448295,ENSG00000002919,SNX11
-0.0036153747682816113,8.033789357870809,-0.6974807178629218,0.48714761685708285,1,-12.275252384088926,ENSG00000002933,TMEM176A
-0.014320568518547183,5.815730876242315,-2.2769888085988237,0.02495329127617216,0.4970368254128423,-9.968354014202795,ENSG00000003056,M6PR
-0.008432981276889876,4.098543588211913,-1.401002141451051,0.16436097476748077,0.8366651637549355,-11.538740516680171,ENSG00000003096,KLHL13
-0.024678806444283306,4.945504579465948,-1.8994548645795244,0.06043484349261991,0.6414930513896177,-10.730683077131212,ENSG00000003137,CYP26B1
0.002771117005955459,2.6813499201730377,0.5967231313622461,0.5520634261807573,1,-12.340834843547793,ENSG00000003147,ICA1
0.012338961441917847,3.57726204128505,1.5504340979793485,0.12424948153289037,0.7707195736068277,-11.320816424102174,ENSG00000003249,DBNDD1
-8.785141536551089e-4,5.141916122945178,-0.28451089157950765,0.7766170883860026,1,-12.47949163590989,ENSG00000003393,ALS2
-0.012347202491634887,3.2097639453518734,-2.1078288964928755,0.03758831752536177,0.5527046881118896,-10.325512506586385,ENSG00000003400,CASP10
-0.008188209031195846,7.2685036408087855,-2.194357903609529,0.03056382062641775,0.5227478923731717,-10.14593994487471,ENSG00000003402,CFLAR
-0.001388994899207224,5.707243456180009,-0.2294562391500926,0.8189908535032419,1,-12.493773932383709,ENSG00000003436,TFPI
0.0035703945974689677,4.053056958800199,1.3886640163260304,0.16807193052039193,0.8419726095664959,-11.555787882231758,ENSG00000003509,NDUFAF7
-0.001024063225096773,7.0333358394608245,-0.26626101948250797,0.7905956151140764,1,-12.484564579400502,ENSG00000003756,RBM5
0.02211448975165114,2.895548407851583,2.9320143503669414,0.0041889534143922,0.3258184828606249,-8.357691591910893,ENSG00000003987,MTMR7
