logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,gene_symbol
0.009042850976101484,5.321422019679665,1.7961094660394206,0.07567766060449736,0.6879924778541596,-10.723904751483438,ENSG00000000003,TSPAN6
0.02489921495581044,0.3156818914844094,3.6627350945959414,4.1175865073761323e-4,0.11216828419390229,-5.98847491806071,ENSG00000000005,TNMD
-2.1894044673227947e-4,5.173574324614114,-0.06036172029014129,0.9519952157558416,1,-12.324915544730723,ENSG00000000419,DPM1
-0.006408426082487814,4.255635512490329,-1.466710240178832,0.14578006972680782,0.8185591527570635,-11.251944151907422,ENSG00000000457,SCYL3
-0.002279216973635676,2.4084195339033276,-0.4803627763271212,0.6320813157422671,1,-12.210301960541058,ENSG00000000460,FIRRM
5.270995600692312e-4,5.0985374796998215,0.05425422687077857,0.9568473297385841,1,-12.32526924993944,ENSG00000000938,FGR
0.0024915210897008817,8.869593941215696,0.3216440090886494,0.7484338708456715,1,-12.274509567539598,ENSG00000000971,CFH
0.015343864967511276,6.155796784896907,4.054158190985665,1.0344376549565847e-4,0.06596266347695698,-4.670568387859629,ENSG00000001036,FUCA2
0.009117321617652932,5.172074301576414,1.7722522424735012,0.07958054487218873,0.6997009879871446,-10.765517478873528,ENSG00000001084,GCLC
-0.002708857117855319,4.900945881450847,-0.6276930900173132,0.531721236731906,1,-12.128083942930816,ENSG00000001167,NFYA
0.0030507372019095264,4.053780810841286,0.4786920867315721,0.6332651339643591,1,-12.21110962440391,ENSG00000001460,STPG1
-0.010133656231929243,5.280435790841191,-1.507518862444709,0.13501875781100994,0.8047294641072891,-11.192018704094222,ENSG00000001461,NIPAL3
0.003716569687878031,5.526057953522736,1.2181755123210678,0.22619466626734908,0.908433632671181,-11.582752619940011,ENSG00000001497,LAS1L
0.004243562288386057,5.885990623805834,0.6476370331538599,0.5187924908597046,1,-12.11528676605399,ENSG00000001561,ENPP4
-0.005492118564300142,5.732393183321397,-0.7759830285420315,0.4396997743606449,1,-12.023457660546487,ENSG00000001617,SEMA3F
-0.0022773839349177535,0.31905838594741326,-0.5544148042143211,0.580606763578497,1,-12.17169231121458,ENSG00000001626,CFTR
-0.00599461169294893,5.908778367949149,-1.3340848941424466,0.18538714221408908,0.8667983156638632,-11.435810792859003,ENSG00000001629,ANKIB1
0.01530248714535682,5.150885380752676,2.348982030439068,0.020910933215626128,0.4447826444135113,-9.617137162641654,ENSG00000001630,CYP51A1
-0.0020415624467128492,5.550377517994879,-0.5618310540754227,0.5755633206826325,1,-12.167523029170056,ENSG00000001631,KRIT1
-0.013110400434376774,3.350476383189359,-2.0344065632836505,0.0447171676142891,0.5873104003886156,-10.279989047274826,ENSG00000002016,RAD52
0.003060740510974912,0.37376954175010735,1.0056473062722988,0.31715735078618823,1,-11.818453460385962,ENSG00000002079,ENSG00000002079
0.002822581975088712,5.923112396719433,0.503256405218654,0.615956853813773,1,-12.198952435489366,ENSG00000002330,BAD
0.0037166272592877594,6.9475021221136215,0.41305785675354484,0.6805014218096304,1,-12.240621920867909,ENSG00000002549,LAP3
-0.006498121871901176,7.951592895541693,-1.0419638828647593,0.30009090978123276,0.9873778584366607,-11.781291256426226,ENSG00000002586,CD99
-0.005931715328770935,2.9312840417245845,-0.6282981364478756,0.5313265862820322,1,-12.127701547774993,ENSG00000002587,HS3ST1
-0.003924114862558364,0.3201373745352671,-0.44134367675519043,0.6599739495227877,1,-12.228433730679388,ENSG00000002726,AOC1
-2.7286780269426364e-4,0.5882031669838315,-0.0415892941381071,0.9669139890918326,1,-12.325882592994335,ENSG00000002745,WNT16
-0.007010087820417897,1.1912640734127384,-0.7872798475463515,0.43309123911405745,1,-12.014591541502227,ENSG00000002746,HECW1
0.003831777068934089,4.457869535584048,0.9755659679109666,0.3317741865935643,1,-11.848258002870326,ENSG00000002822,MAD1L1
