logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,levene_pval,ctrl_var,amd_var,var_ratio,levene_fdr,variance_direction,resid_var_pval,ctrl_resid_var,amd_resid_var,resid_var_fdr,hgnc_symbol,description,gene_symbol
-0.19313078002974696,5.321422019679665,-1.7030566245496426,0.09184950761727768,1,-7.768860687522992,ENSG00000000003,0.21980920568849124,0.13580815845529104,0.23655166007495615,1.741807434586712,0.9516585286139356,Increased,0.18146412504349,0.13155075219453985,0.22716381912861236,0.963977099152452,TSPAN6,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],TSPAN6
-0.05772553091486374,0.3156818914844094,-0.3769970541136216,0.7070223597971543,1,-9.14045846315453,ENSG00000000005,0.8594721881324296,0.2836274261596689,0.4058979647896073,1.431095611187847,0.9808700799653646,Increased,0.8435414473504032,0.2511390657940343,0.3358746815442501,0.97893113226713,TNMD,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757],TNMD
0.04266398604993418,5.173574324614114,0.5222124274579264,0.6027463397674531,1,-9.074628134422412,ENSG00000000419,0.6792055408478865,0.07114329411131959,0.0980815831358008,1.3786483232324085,0.9516585286139356,Increased,0.698082762203976,0.07118251859026596,0.09778947177278575,0.963977099152452,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",DPM1
0.10302712682654842,4.255635512490329,1.0468746870190255,0.2978317965119333,1,-8.661678548554326,ENSG00000000457,0.5280183419063846,0.11208712406789632,0.10057348360834664,0.8972795443250436,0.9516585286139356,Decreased,0.6714628098398236,0.1077233769936771,0.11124366328836288,0.963977099152452,SCYL3,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],SCYL3
0.0685137869244748,2.4084195339033276,0.6410793884204254,0.5230252362985772,1,-9.005015932260926,ENSG00000000460,0.31592036548323554,0.1210432507603218,0.17509727154513136,1.446567821380162,0.9516585286139356,Increased,0.28770019298423527,0.12015868258018268,0.17875098574282333,0.963977099152452,FIRRM,FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565],FIRRM
0.3591184607447534,5.0985374796998215,1.6410764823125423,0.10411099233940686,1,-7.870568717594639,ENSG00000000938,0.34582546981063755,0.5636445000069847,0.33548176136354946,0.5952009845911601,0.9516585286139356,Decreased,0.34579072988086146,0.5636449497199976,0.3354868429832478,0.963977099152452,FGR,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",FGR
0.07473485757120035,8.869593941215696,0.4283357031425734,0.6693829497104389,1,-9.119605043958284,ENSG00000000971,0.1138782437134039,0.37109455083665976,0.12774671975583202,0.34424304929247196,0.9516585286139356,Decreased,0.11500815715719474,0.37108025138305983,0.12490053058609786,0.963977099152452,CFH,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883],CFH
-0.14113461999639768,6.155796784896907,-1.65557799934952,0.10112977051404055,1,-7.84709064492761,ENSG00000001036,0.3665361315199024,0.09927734369709616,0.06778277662048801,0.6827617872945834,0.9516585286139356,Decreased,0.3683202282569296,0.08521990769187984,0.05310814610210917,0.963977099152452,FUCA2,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],FUCA2
-0.07984732997098151,5.172074301576414,-0.6890786961995156,0.4924648022312741,1,-8.972908141785211,ENSG00000001084,0.2556132878835507,0.1620390591089322,0.105896345456429,0.6535235765917354,0.9516585286139356,Decreased,0.12554523012721774,0.15891421567741676,0.08799836975037353,0.963977099152452,GCLC,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],GCLC
0.04716640996806193,4.900945881450847,0.4852261930918704,0.6286406522234214,1,-9.09340386907199,ENSG00000001167,0.6492044884487213,0.10287959791803694,0.12731306282138136,1.2374957270226723,0.9516585286139356,Increased,0.6428520230490429,0.10211278912805048,0.12913075631321477,0.963977099152452,NFYA,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],NFYA
