gene_symbol,pval_mac,logfc_mac,pval_nonmac,logfc_nonmac,meta_pval,avg_logfc,meta_fdr
HSD3BP1,0.5070787720613277,0.00281266961591901,1.116520990341147e-7,-0.03312149035116184,1.001372561238079e-6,-0.015154410367621414,0.02461005914382117
MYOM1,2.1525275347224527e-4,0.9379183572662856,3.270789745895528e-4,1.1785034794892923,1.2298992883059166e-6,1.058210918377789,0.02461005914382117
ENSG00000270001,0.02843519928179474,-0.2024854641481125,2.794660081710011e-6,-0.4782832108029699,1.3785828390574141e-6,-0.3403843374755412,0.02461005914382117
ENSG00000260771,0.21872766041761071,-0.00468750221489365,4.5258493145270035e-7,-0.02842242511330636,1.6955710264707081e-6,-0.016554963664100003,0.02461005914382117
TRPM6,0.04776367839370733,-0.31074360780313726,3.3489745598232425e-6,-0.7992734399787617,2.6630585267265265e-6,-0.5550085238909495,0.02461005914382117
ENSG00000206728,0.14658438107257302,-0.00635701754532224,1.282398035697598e-6,-0.02909907027970945,3.0992057534816275e-6,-0.017728043912515846,0.02461005914382117
TRAFD1,0.00869641176369578,-0.23297957481096884,2.8548154219543127e-5,-0.34802319149766386,4.024092940633281e-6,-0.29050138315431634,0.02461005914382117
TOR1AIP2,3.0588467655463554e-5,0.3528344008370749,0.00817758693162819,0.19446305704855715,4.052577214123731e-6,0.273648728942816,0.02461005914382117
SFRP1,3.582345460579181e-4,-1.357952117095608,8.074495042124883e-4,-0.724088349667421,4.644285567733877e-6,-1.0410202333815144,0.02461005914382117
ARL9,8.655302140075301e-4,-0.5677112704978897,3.726078465339308e-4,-0.6768272795436062,5.143010031272635e-6,-0.6222692750207479,0.02461005914382117
SLC45A2,0.00285609186581305,-0.6404119108593981,1.1670778903514764e-4,-0.721549883123685,5.304630563283876e-6,-0.6809808969915415,0.02461005914382117
MFSD4B,0.01806750747782903,0.2793729129305662,1.8686651790967817e-5,0.39906527479864634,5.368630237023687e-6,0.33921909386460625,0.02461005914382117
STIMATE-MUSTN1,2.0283148775686593e-4,-0.0109681463666632,0.00187859334432285,-0.00566965754516754,6.012917647285998e-6,-0.00831890195591537,0.02461005914382117
