logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,levene_pval,ctrl_var,amd_var,var_ratio,levene_fdr,variance_direction,resid_var_pval,ctrl_resid_var,amd_resid_var,resid_var_fdr
-0.11750090221212364,5.627339682074993,-1.067472948085114,0.2883716492962745,1,-8.71865896119749,ENSG00000000003,0.23833622334436774,0.1016864415953963,0.17912719146302394,1.7615641638416193,0.9232989030744088,Increased,0.24218125286732908,0.10137571362568615,0.17751407763887136,0.9547639610208074
0.04670574669012783,1.951841370228332,0.14627738452506345,0.8840018326586747,1,-9.280039445605277,ENSG00000000005,0.7563728817326929,0.9323826554363499,0.7002802748977122,0.7510653172435784,0.9287071663585506,Decreased,0.7296066853741687,0.9331355531218193,0.6921919961349592,0.9547639610208074
-0.03036536779319944,4.912759435099217,-0.29967234699054834,0.7650595207519728,1,-9.24551085036344,ENSG00000000419,0.712017502581344,0.09137365561662655,0.10216796246270783,1.1181336871468797,0.9232989030744088,Increased,0.6362248064384639,0.09124297018348519,0.09705385925547849,0.9547639610208074
0.12188817994584468,4.095134649424389,1.2041040825881175,0.23143933653395854,1,-8.56394678236985,ENSG00000000457,0.24456749071050723,0.0891237993811307,0.12900392177339662,1.447468831773226,0.9232989030744088,Increased,0.15019057402599356,0.08659051906690075,0.1415808214329746,0.9547639610208074
0.15076494018353942,2.315557305628082,1.469781431338259,0.14481281859184528,1,-8.211635008431589,ENSG00000000460,0.1618114945160899,0.08493475825314438,0.18555228684491645,2.1846449046441725,0.9232989030744088,Increased,0.15038240126972977,0.08476374068256293,0.1868935637851582,0.9547639610208074
0.09606957036118115,4.564165605322664,0.43675311100910347,0.6632478158364914,1,-9.194599613625106,ENSG00000000938,0.792069397752903,0.4420144962646708,0.3929817319383107,0.8890697822340194,0.9406002620989217,Decreased,0.730716894323721,0.43622199888615526,0.39481014458957403,0.9547639610208074
0.022290292164074556,8.780068202423271,0.12394164823305492,0.9016144365630729,1,-9.283087076817774,ENSG00000000971,0.4289727619768947,0.29702046278920086,0.22633517597698882,0.76201879780122,0.9232989030744088,Decreased,0.5196987073888781,0.29459089644921954,0.2341275778024889,0.9547639610208074
-0.2601540962313665,6.479066604221878,-3.3321819479621833,0.0012150679995818127,0.24729864714401187,-3.9777474458856066,ENSG00000001036,0.3344936752861374,0.051812198548501526,0.12564632583323881,2.4250336668423937,0.9232989030744088,Increased,0.4412586718327246,0.050002833874095626,0.09935871773088036,0.9547639610208074
-0.019212750455029556,5.386190307120553,-0.13999725819147674,0.8889484695939046,1,-9.280947241282,ENSG00000001084,0.7067900518879449,0.1775628910134234,0.10717298310312202,0.6035775971625735,0.9232989030744088,Decreased,0.5664074281221234,0.17547296742270752,0.09698958907775634,0.9547639610208074
0.09116289117929073,4.729385687435113,0.8891546035035003,0.3760896883570175,1,-8.893157127829362,ENSG00000001167,0.7887570971345867,0.09272008685387384,0.1164768047706651,1.2562197547790446,0.9397866222233205,Increased,0.7038484162367432,0.09124327474072806,0.12109334937143133,0.9547639610208074
0.16694325060461943,4.104804372447129,1.2900077276670374,0.20007302395338306,1,-8.457426378340196,ENSG00000001460,0.7432816503840509,0.14805742548843404,0.2292288079025336,1.5482425629536596,0.9235606787718985,Increased,0.680160837468698,0.1429108378075848,0.21753054830773932,0.9547639610208074
0.3249931759569673,5.254618585315547,2.2392940195997673,0.02738948542258761,0.7128751914056368,-6.820797032168272,ENSG00000001461,0.8084405770774143,0.18824845393193881,0.1940235231730107,1.0306779106040354,0.947283401033498,Increased,0.8597625968771045,0.18800703263872723,0.19098749304941487,0.966259814745032
-0.0807584288456092,5.560615050529492,-1.3221462229451413,0.1891862552764059,1,-8.415750790736494,ENSG00000001497,0.4381394160432607,0.03320903600612503,0.04447616710276301,1.339279077373998,0.9232989030744088,Increased,0.3312748992952981,0.03205215922672818,0.04630622957283239,0.9547639610208074
-0.0832469409608983,5.827364569241802,-0.5983502364413693,0.5509818111475728,1,-9.110356438092303,ENSG00000001561,0.5705881181321212,0.16977656677196498,0.22231672584558637,1.3094664951270372,0.9232989030744088,Increased,0.623767277049279,0.167534754430028,0.22775787804108277,0.9547639610208074
0.33133895957760257,5.642255162679032,2.163749333057534,0.03290558242459511,0.7499715949778354,-6.980894691203622,ENSG00000001617,0.3800045296162049,0.2176913751041261,0.1610021742210351,0.7395891276998208,0.9232989030744088,Decreased,0.3838325929753079,0.2155790374596394,0.14986846278447277,0.9547639610208074
0.20946184336104154,0.5197476339921979,2.247221500761491,0.026860495074144737,0.7086972684469965,-6.803708766749226,ENSG00000001626,0.25221330877515064,0.08020886828196522,0.05289165302445361,0.6594240033224129,0.9232989030744088,Decreased,0.2541427588199319,0.0800511123349825,0.053737313373443146,0.9547639610208074
0.08076701509689943,5.753522458741493,0.6465827534046429,0.5194081350824593,1,-9.080149762153175,ENSG00000001629,0.6743918275384524,0.1433887436135007,0.1448475970867446,1.0101741143445415,0.9232989030744088,Increased,0.5731501432040811,0.13749075369887268,0.15920564499464823,0.9547639610208074
