gene_symbol,levene_pval_mac,var_ratio_mac,levene_pval_nonmac,var_ratio_nonmac,meta_pval,avg_var_ratio,meta_fdr
ENSG00000206728,0.15919445284355976,2.023241767897628,6.330493785644524e-9,6.075182453231597,2.1884452186104032e-8,4.049212110564612,9.679930890957536e-4
HSD3BP1,0.4942388746624504,0,9.468534202265265e-8,28.6706094843778,8.366138604508252e-7,14.3353047421889,0.013298111359894022
FGF13-AS1,0.04720700043326757,2.0330201155124046,1.1858083107703445e-6,5.619046863517806,9.907234054382874e-7,3.826033489515105,0.013298111359894022
PA2G4P1,0.16338961210915337,0,4.792572410336304e-7,13.875230005639024,1.3595933639893894e-6,6.937615002819512,0.013298111359894022
ENSG00000260771,0.2247829967337885,4.489433788815813,3.875415095883201e-7,15.521112028432158,1.503222933610737e-6,10.005272908623986,0.013298111359894022
CD80,0.00172349293459852,4.644496349210841,1.8078203604567048e-4,6.710576721208155,4.979498444014596e-6,5.677536535209498,0.036708862529275604
ENSG00000258455,0.9035152444851224,0.8659994152794824,4.533591775997621e-7,50.40491550087797,6.434280499898727e-6,25.635457458078726,0.037765227163218576
ENSG00000230647,0.00874809102335236,29.684097403663547,5.576889413367201e-5,47.834510436634694,7.5782103059643234e-6,38.75930392014912,0.037765227163218576
STIMATE-MUSTN1,2.3621000489056033e-4,Inf,0.00217174468799551,Inf,7.94259751166172e-6,Inf,0.037765227163218576
ENSG00000275063,3.41705646031147e-4,9.26824889657482,0.00165352319550231,29.531518433757512,8.693600661685204e-6,19.399883665166165,0.037765227163218576
SNRPEP3,0.09421631203270432,5.552544270125644,8.087001588387842e-6,Inf,1.1495515466016079e-5,Inf,0.037765227163218576
DEAF1,0.00105106542497983,3.5980401586277555,7.285050431414099e-4,4.220965833199285,1.1548742416988479e-5,3.9095029959135204,0.037765227163218576
ENSG00000269729,1.0721653285277175e-6,110.88157124326789,0.7359849180857714,0.7072883113734516,1.1877792392356273e-5,55.794429777320666,0.037765227163218576
AMTN,1.2331746867842091e-6,56.888575270745655,0.6974437102913823,0.4392582612942379,1.2872023413744777e-5,28.663916766019945,0.037765227163218576
ENSG00000252744,0.01028389042765495,Inf,9.218757771150188e-5,48.63864339727337,1.4096379061441583e-5,Inf,0.037765227163218576
RNF19B,0.01884802510102295,3.455920485405251,5.155100588534143e-5,5.433973634061947,1.4423222650659991e-5,4.4449470597335985,0.037765227163218576
EFCAB3,0.12313447102562113,4.114754635741546,7.944445733729869e-6,Inf,1.451457907792358e-5,Inf,0.037765227163218576
