ensembl_gene_id,gene_name,RPE1_baseline,K562_Ess_baseline,K562_GWPS_baseline
ENSG00000114631,PODXL2,0.20545207,0.9053823,0.8300306
ENSG00000114648,KLHL18,0.20139688,0.5816749,0.36539224
ENSG00000114650,SCAP,0.14964123,0.47542113,0.35983473
ENSG00000114686,MRPL3,2.1901233,3.2963061,2.4196918
ENSG00000114735,HEMK1,,0.16011392,0.13407569
ENSG00000114737,CISH,,0.57539505,0.3351077
ENSG00000114738,MAPKAPK3,0.35557598,0.49345395,0.37553942
ENSG00000114739,ACVR2B,,0.3143055,0.3533839
ENSG00000114742,WDR48,0.27000967,0.48985386,0.41460082
ENSG00000114744,COMMD2,0.5516305,0.8015041,0.5919935
ENSG00000114767,RRP9,0.365561,1.3783289,0.88995004
ENSG00000114770,ABCC5,0.14070928,0.4090797,0.28460756
ENSG00000114779,ABHD14B,0.26195055,0.87383425,0.84896326
ENSG00000114784,EIF1B,0.82240975,2.1437156,1.5937138
ENSG00000114796,KLHL24,,0.13612503,0.19633819
ENSG00000114850,SSR3,8.438868,2.564969,1.9421493
ENSG00000114857,NKTR,1.0451511,1.9797177,1.6333272
ENSG00000114861,FOXP1,1.1014394,0.4074547,0.34869042
ENSG00000114867,EIF4G1,3.938851,4.1298656,2.8208067
ENSG00000114902,SPCS1,3.845827,4.146908,2.9740727
ENSG00000114904,NEK4,0.202142,0.23272924,0.16700543
ENSG00000114933,INO80D,0.2287382,0.38964665,0.28560805
ENSG00000114942,EEF1B2,16.03272,22.536713,19.069847
ENSG00000114956,DGUOK,1.8019799,2.2537212,1.8297597
ENSG00000114978,MOB1A,0.8371508,1.0255857,0.8469629
ENSG00000114982,KANSL3,0.17295069,0.2823919,0.2090286
ENSG00000114999,TTL,0.572722,0.38363197,0.31599632
ENSG00000115020,PIKFYVE,0.17256716,0.27593553,0.23014182
ENSG00000115042,FAHD2A,0.23282875,0.2288691,0.1945521
ENSG00000115053,NCL,15.892084,27.4841,20.177326
ENSG00000115073,ACTR1B,0.34901753,0.18958624,0.21584663
ENSG00000115084,SLC35F5,0.3810837,0.31424195,0.2691526
ENSG00000115091,ACTR3,4.1862426,2.8513758,2.1782956
ENSG00000115109,EPB41L5,,0.17835766,0.13876098
ENSG00000115128,SF3B6,3.759233,4.0778465,3.1301453
ENSG00000115129,TP53I3,0.52026635,0.11285434,0.103448555
ENSG00000115145,STAM2,0.40251714,0.20857862,0.15789591
ENSG00000115159,GPD2,0.24846634,0.15105219,0.121408835
ENSG00000115163,CENPA,0.4977431,0.6652664,0.5329957
ENSG00000115204,MPV17,0.66352785,0.68351996,0.5651077
ENSG00000115207,GTF3C2,0.251236,0.5951758,0.42632735
ENSG00000115211,EIF2B4,0.23827858,0.40689105,0.29244503
ENSG00000115216,NRBP1,0.82535493,0.38722697,0.32131153
ENSG00000115232,ITGA4,0.40931064,,0.10723468
ENSG00000115233,PSMD14,2.1553168,2.0769136,1.4541664
ENSG00000115234,SNX17,1.0997728,0.7697043,0.66007334
ENSG00000115239,ASB3,0.16119519,0.2315705,0.19037126
ENSG00000115241,PPM1G,4.037108,5.4729238,4.1944003
ENSG00000115255,REEP6,,0.21314317,0.27733606
ENSG00000115268,RPS15,33.081394,54.21391,47.889423
ENSG00000115274,INO80B,0.12013381,0.12130866,0.10741071
ENSG00000115275,MOGS,0.2575462,0.30642065,0.262001
ENSG00000115282,TTC31,0.15657759,0.15982635,0.13964656
ENSG00000115286,NDUFS7,1.504558,4.2423105,3.3461947
ENSG00000115306,SPTBN1,4.5008783,1.2488012,1.0052568
ENSG00000115307,AUP1,1.2358725,2.2470546,1.7801433
ENSG00000115310,RTN4,11.759747,5.431335,4.221083
ENSG00000115317,HTRA2,0.50294423,0.77808654,0.5571843
ENSG00000115325,DOK1,0.26304093,0.17687008,0.1658985
ENSG00000115350,POLE4,2.2383227,1.5503765,0.9663808
ENSG00000115355,CCDC88A,1.6229652,1.3212502,1.087722
ENSG00000115364,MRPL19,0.9928077,1.1725231,0.88612896
ENSG00000115365,LANCL1,0.33375338,0.13059717,0.10892215
ENSG00000115368,WDR75,0.44409904,1.0869249,0.7716782
ENSG00000115392,FANCL,0.26496056,0.4573534,0.33609706
ENSG00000115415,STAT1,0.7745567,0.7033821,0.53939
ENSG00000115419,GLS,0.90821433,1.1131699,0.8098964
ENSG00000115421,PAPOLG,,0.1880715,0.15593593
ENSG00000115446,UNC50,0.42034945,0.7111824,0.5098998
ENSG00000115457,IGFBP2,,0.5011767,0.7642759
ENSG00000115459,ELMOD3,0.10897596,0.16889851,0.13374475
ENSG00000115464,USP34,1.1128565,1.0099059,0.81135017
ENSG00000115468,EFHD1,,0.12926075,0.10572029
ENSG00000115484,CCT4,3.9306233,6.0602083,4.245901
ENSG00000115486,GGCX,0.33968762,0.29810026,0.24135226
ENSG00000115504,EHBP1,0.46619654,0.24257387,0.20934767
ENSG00000115514,TXNDC9,1.0375384,0.8610865,0.6010315
ENSG00000115520,COQ10B,0.3870501,0.2804352,0.21502022
ENSG00000115524,SF3B1,2.3268998,4.6503334,3.476949
ENSG00000115526,CHST10,,0.11707472,0.108882435
ENSG00000115539,PDCL3,0.5394107,0.61503184,0.40923557
ENSG00000115540,MOB4,0.84673196,0.81188595,0.59458745
ENSG00000115541,HSPE1,6.18902,18.715822,11.555895
ENSG00000115548,KDM3A,0.29247588,0.25703102,0.21636498
ENSG00000115561,CHMP3,1.1278125,0.8602263,0.6313076
ENSG00000115649,CNPPD1,0.18467648,0.2356698,0.18324253
ENSG00000115652,UXS1,0.38298488,0.16861916,0.14321016
ENSG00000115657,ABCB6,0.12771979,0.29156527,0.23148778
ENSG00000115661,STK16,0.42606944,0.38174292,0.33800337
ENSG00000115677,HDLBP,4.7662992,2.8290982,2.0834224
ENSG00000115685,PPP1R7,1.4751292,1.1785151,0.9381842
ENSG00000115694,STK25,0.78010124,0.5767681,0.4911629
ENSG00000115750,TAF1B,0.44998768,0.25445232,0.19825502
ENSG00000115756,HPCAL1,2.5317101,0.20475672,0.20954919
ENSG00000115758,ODC1,5.3621535,6.9034934,3.9630654
ENSG00000115760,BIRC6,1.0733464,1.4589484,1.1173956
ENSG00000115761,NOL10,0.5795963,1.092817,0.74773705
ENSG00000115762,PLEKHB2,0.96480966,0.8703145,0.6023181
ENSG00000115806,GORASP2,0.85980105,0.9268248,0.72116816
ENSG00000115808,STRN,0.393255,0.4557389,0.37799084
ENSG00000115816,CEBPZ,0.9429992,2.0943625,1.5537192
ENSG00000115825,PRKD3,0.2655872,0.52476525,0.39383847
ENSG00000115827,DCAF17,0.14946236,0.21591654,0.17831229
ENSG00000115839,RAB3GAP1,0.5179102,0.5367891,0.44704312
ENSG00000115840,SLC25A12,0.1440948,0.21079749,0.18128374
ENSG00000115866,DARS,1.2374759,2.221356,1.8109204
ENSG00000115875,SRSF7,3.6893291,6.396042,4.713781
ENSG00000115904,SOS1,0.43729192,0.43006814,0.3279913
ENSG00000115935,WIPF1,0.14429827,0.15006305,0.14245065
ENSG00000115942,ORC2,0.28148958,0.4798749,0.37053922
ENSG00000115944,COX7A2L,2.4372067,3.1989138,2.668019
ENSG00000115946,PNO1,0.49221098,1.286788,0.769356
ENSG00000115947,ORC4,0.32594597,0.5577551,0.42639604
ENSG00000115966,ATF2,0.24856289,0.4391985,0.329886
ENSG00000115970,THADA,0.1964459,0.3631276,0.24398652
ENSG00000115977,AAK1,0.9318247,0.32216436,0.22908142
ENSG00000116001,TIA1,0.3331729,0.6871019,0.5252659
ENSG00000116005,PCYOX1,0.7057875,0.4751085,0.40173686
ENSG00000116014,KISS1R,,0.11568748,0.1095487
ENSG00000116016,EPAS1,0.14753704,0.14528,0.1130002
ENSG00000116017,ARID3A,,2.612613,2.3428981
ENSG00000116030,SUMO1,2.8405192,3.8507004,2.8083153
ENSG00000116044,NFE2L2,1.0944105,1.1563175,0.9150179
ENSG00000116062,MSH6,1.365143,1.9567473,1.5057279
ENSG00000116095,PLEKHA3,0.77992314,0.3648419,0.29443684
ENSG00000116096,SPR,0.17250448,0.45615783,0.33224398
ENSG00000116120,FARSB,0.7252695,1.4331698,1.0027877
ENSG00000116127,ALMS1,0.19037838,0.18984672,0.15556592
ENSG00000116133,DHCR24,0.62376285,1.700634,1.1894426
ENSG00000116138,DNAJC16,0.2044455,0.26352063,0.20351619
ENSG00000116161,CACYBP,3.1102228,7.3063536,4.963227
ENSG00000116171,SCP2,0.98779815,1.7155752,1.4406137
ENSG00000116191,RALGPS2,0.30021566,0.31938526,0.3364231
ENSG00000116198,CEP104,0.3462955,0.3594483,0.26089185
ENSG00000116199,FAM20B,0.42778406,0.9510534,0.73382354
ENSG00000116205,TCEANC2,,0.2323698,0.20820935
ENSG00000116209,TMEM59,1.6625301,1.942731,1.6115438
ENSG00000116212,LRRC42,0.44210017,0.38894546,0.32418382
ENSG00000116213,WRAP73,0.12521625,0.266046,0.23358016
ENSG00000116221,MRPL37,1.1348504,2.6410966,1.9815474
ENSG00000116237,ICMT,0.8272674,0.67105037,0.49926466
ENSG00000116251,RPL22,14.0059395,20.232227,18.034855
ENSG00000116266,STXBP3,0.4151422,0.405792,0.3967355
ENSG00000116273,PHF13,0.15233196,0.29175845,0.21392901
ENSG00000116288,PARK7,6.6068726,8.95517,6.6015596
ENSG00000116350,SRSF4,1.3542287,4.991127,3.3332236
ENSG00000116353,MECR,0.24557291,0.5281135,0.49422738
ENSG00000116406,EDEM3,0.38617495,0.44742095,0.33402646
ENSG00000116455,WDR77,0.33302426,0.8429948,0.49421987
ENSG00000116459,ATP5PB,2.4667575,5.5479894,4.105976
ENSG00000116473,RAP1A,0.63464236,0.7393923,0.6011651
ENSG00000116478,HDAC1,0.8084076,3.0807002,2.3109581
ENSG00000116489,CAPZA1,1.8035192,2.33429,1.7328722
ENSG00000116497,S100PBP,0.2841545,0.6036441,0.47728908
ENSG00000116514,RNF19B,,0.1685872,0.13106085
ENSG00000116521,SCAMP3,0.43934378,0.50031346,0.35460705
ENSG00000116539,ASH1L,0.94356483,1.2040228,0.9268208
ENSG00000116560,SFPQ,4.5920334,9.518684,7.8085127
ENSG00000116580,GON4L,0.42347747,0.6838275,0.5827088
ENSG00000116584,ARHGEF2,0.21252593,0.2901614,0.28913397
ENSG00000116586,LAMTOR2,1.0002213,1.0898409,1.0031606
ENSG00000116641,DOCK7,0.952415,0.33417806,0.2570208
ENSG00000116649,SRM,4.4893937,6.2251353,4.0935893
ENSG00000116663,FBXO6,,0.220919,0.20679186
ENSG00000116670,MAD2L2,0.49696302,1.170026,1.007604
ENSG00000116675,DNAJC6,,0.26009443,0.19677812
ENSG00000116678,LEPR,,0.4696516,0.31158352
ENSG00000116679,IVNS1ABP,0.48009583,0.537821,0.374548
ENSG00000116685,KIAA2013,0.64256996,0.63948107,0.47287
ENSG00000116688,MFN2,0.2739142,0.38504243,0.23916008
ENSG00000116691,MIIP,0.13158733,0.47702873,0.358024
ENSG00000116698,SMG7,0.35920605,0.7416957,0.4942591
ENSG00000116704,SLC35D1,0.18938169,0.17571722,0.11515962
ENSG00000116717,GADD45A,1.0964415,1.8242224,1.3873513
ENSG00000116731,PRDM2,0.22220306,0.68554926,0.49566185
ENSG00000116747,RO60,0.95538783,1.5652905,1.2435961
ENSG00000116750,UCHL5,0.863738,2.7983477,1.9240854
ENSG00000116752,BCAS2,0.87077385,1.2450311,0.967763
ENSG00000116754,SRSF11,2.4078898,4.037812,3.041431
ENSG00000116761,CTH,,0.18216252,0.29531834
ENSG00000116786,PLEKHM2,0.5567016,0.37135246,0.314177
ENSG00000116791,CRYZ,0.25572026,0.39617518,0.28835645
ENSG00000116793,PHTF1,0.45425907,0.25360012,0.18330406
ENSG00000116809,ZBTB17,0.109508395,0.14379092,0.1093355
ENSG00000116815,CD58,0.3086322,0.17231722,0.15587926
ENSG00000116830,TTF2,0.38169622,0.93609524,0.76670086
ENSG00000116857,TMEM9,0.52173805,0.5609023,0.5632769
ENSG00000116863,ADPRHL2,0.6100195,0.61387646,0.43080047
ENSG00000116871,MAP7D1,1.3974485,0.9887947,0.765389
ENSG00000116874,WARS2,0.13232926,0.2058127,0.17010865
ENSG00000116898,MRPS15,1.8541483,7.3824267,5.27287
ENSG00000116903,EXOC8,0.103914805,0.16884242,0.11790955
ENSG00000116906,GNPAT,0.33753663,0.6298909,0.49659085
ENSG00000116918,TSNAX,0.6562511,1.3166956,1.1167957
ENSG00000116922,C1orf109,0.2055409,0.8707923,0.5552411
ENSG00000116954,RRAGC,0.3729658,0.33804446,0.2267143
ENSG00000116977,LGALS8,0.30913436,0.12357396,0.11709666
