perturbation,spearman_rho,pvalue,target_gene
9474_U2AF2_P1P2_ENSG00000063244,0.2239138235704298,2.4717970460262058e-33,U2AF2
1774_COPG1_P1_ENSG00000181789,0.2237775880245087,2.7071257485007765e-33,COPG1
1842_CPSF3_P1P2_ENSG00000119203,0.22377408214245115,2.713466489609359e-33,CPSF3
1568_CHEK1_P1P2_ENSG00000149554,0.22275152855167987,5.3595386881464985e-33,CHEK1
8557_STX5_P1P2_ENSG00000162236,0.22223768038203834,7.535547380450962e-33,STX5
7519_RPS28_P1P2_ENSG00000233927,0.2214861367406637,1.2384753094509061e-32,RPS28
8853_TFIP11_P1P2_ENSG00000100109,0.2213429995939969,1.3611080351751008e-32,TFIP11
6119_PCF11_P1P2_ENSG00000165494,0.2211693192501341,1.5261912108628786e-32,PCF11
6862_PSMC5_P1P2_ENSG00000087191,0.2198715990579559,3.5788198314820983e-32,PSMC5
7420_RPA3_P1P2_ENSG00000106399,0.21973393246299755,3.9162065423924234e-32,RPA3
6803_PRPF8_P1P2_ENSG00000174231,0.21942635633570276,4.788334709539762e-32,PRPF8
3072_FGFR1OP_P1P2_ENSG00000213066,0.21905905771969691,6.085329456476159e-32,FGFR1OP
435_ARCN1_P1P2_ENSG00000095139,0.21859207892916302,8.248242695417903e-32,ARCN1
7835_SF3B1_P1P2_ENSG00000115524,0.2184478127423056,9.059471791030688e-32,SF3B1
6632_PPIL4_P1P2_ENSG00000131013,0.21799039938595685,1.2192295455641612e-31,PPIL4
6857_PSMC1_P1P2_ENSG00000100764,0.21793382380778265,1.264789969698868e-31,PSMC1
5519_NDC80_P1P2_ENSG00000080986,0.2177097584711654,1.4624333564195425e-31,NDC80
7839_SF3B5_P1P2_ENSG00000169976,0.21711798664523327,2.144259597386362e-31,SF3B5
9400_TTK_P1P2_ENSG00000112742,0.21705101000356475,2.239015451363903e-31,TTK
5683_NKAP_P1P2_ENSG00000101882,0.2167989148359986,2.634427725084856e-31,NKAP
9475_U2SURP_P1P2_ENSG00000163714,0.2167617048741175,2.698384427289241e-31,U2SURP
5588_NEDD8_P1P2_ENSG00000129559,0.2152305490396161,7.212669044292116e-31,NEDD8
3583_GTF3A_P1P2_ENSG00000122034,0.2150745550216698,7.969186297695123e-31,GTF3A
2382_DSN1_P1P2_ENSG00000149636,0.2148729506818908,9.06456856221118e-31,DSN1
9341_TSG101_P1P2_ENSG00000074319,0.2148183795103785,9.385936616155732e-31,TSG101
3570_GTF2E2_P1P2_ENSG00000197265,0.21420181555251408,1.3903950069949021e-30,GTF2E2
7142_RBBP6_P1P2_ENSG00000122257,0.21386472961416633,1.7227290376355108e-30,RBBP6
7010_RAB18_P1P2_ENSG00000099246,0.2133029517807301,2.4602962006711986e-30,RAB18
6797_PRPF3_P1P2_ENSG00000117360,0.2130085700007927,2.964246411582671e-30,PRPF3
8231_SNRPE_P1P2_ENSG00000182004,0.21236452270048956,4.4518964996364294e-30,SNRPE
9250_TRAPPC5_P1P2_ENSG00000181029,0.2122247286090465,4.861916579968108e-30,TRAPPC5
7658_SART1_P1P2_ENSG00000175467,0.21170326680712545,6.749859981415492e-30,SART1
7193_RBX1_P1P2_ENSG00000100387,0.21065810231913557,1.2994024371336518e-29,RBX1
2593_ELL_P1P2_ENSG00000105656,0.21041790909452027,1.509731023655623e-29,ELL
7419_RPA2_P1P2_ENSG00000117748,0.2100464247784308,1.9033227120470297e-29,RPA2
5494_NCBP2_P1P2_ENSG00000114503,0.20980060999768363,2.218113074157212e-29,NCBP2
3479_GOSR2_P1P2_ENSG00000108433,0.20935627437673535,2.923645687097578e-29,GOSR2
9253_TRAPPC8_P1P2_ENSG00000153339,0.2083864885025124,5.330308732920344e-29,TRAPPC8
9248_TRAPPC3_P1P2_ENSG00000054116,0.20815355961168835,6.154681028831459e-29,TRAPPC3
7834_SF3A3_P1P2_ENSG00000183431,0.20805571949297935,6.537567343706552e-29,SF3A3
7404_RNPC3_P1P2_ENSG00000185946,0.20802364099458195,6.668173312131368e-29,RNPC3
3517_GPS1_P1P2_ENSG00000169727,0.20762592543678857,8.519182126197181e-29,GPS1
7836_SF3B2_P1P2_ENSG00000087365,0.20724591017685118,1.0760926965721767e-28,SF3B2
699_ATR_P1P2_ENSG00000175054,0.20709855404182842,1.1779729118806459e-28,ATR
2120_DDX41_P1P2_ENSG00000183258,0.20671370664034264,1.4914042676376207e-28,DDX41
8184_SMN2_ENST00000380743.4_ENSG00000205571,0.20619327607503538,2.0503463927684085e-28,SMN2
7152_RBM10_P1P2_ENSG00000182872,0.2060760418294935,2.2024918110079824e-28,RBM10
6747_PRIM1_P1P2_ENSG00000198056,0.20578194486216955,2.635218880039395e-28,PRIM1
938_BUD31_P1P2_ENSG00000106245,0.20494208351625823,4.391655145352333e-28,BUD31
7461_RPL34_P1P2_ENSG00000109475,0.20483842623426388,4.67667551296195e-28,RPL34
