perturbation,spearman_rho,pvalue,target_gene
8719_TBC1D3_ENST00000537432.1_ENSG00000274611,0.11623108712861317,1.6194689659668133e-12,TBC1D3
10336_ZNF407_ENST00000299687.5_ENSG00000215421,0.1154959776635675,2.236601763551019e-12,ZNF407
9218_TPT1_P1P2_ENSG00000133112,0.11495433464153001,2.8336036434938206e-12,TPT1
376_AP2M1_P2_ENSG00000161203,0.11481369060692434,3.012598950149788e-12,AP2M1
5482_NBPF15_P1P2_ENSG00000266338,0.11436180027100429,3.666033730483916e-12,NBPF15
6251_PGAM5_P1P2_ENSG00000247077,0.11388460385699395,4.5067669604821204e-12,PGAM5
6875_PSMD7_P1P2_ENSG00000103035,0.1138635683781815,4.5478831016462364e-12,PSMD7
8056_SLC35G2_P1P2_ENSG00000168917,0.11188853943520517,1.0590735567717275e-11,SLC35G2
8429_SRSF11_P1_ENSG00000116754,0.11171969091340038,1.137673118296173e-11,SRSF11
3323_GCOM1_P1P2_ENSG00000137878,0.11148673003812963,1.2555626468806499e-11,GCOM1
4896_MCL1_P1P2_ENSG00000143384,0.1111783052528211,1.4301938596906412e-11,MCL1
1198_CASC3_P1P2_ENSG00000108349,0.11116796858818263,1.4364406685102014e-11,CASC3
3053_FDXR_P1P2_ENSG00000161513,0.11060887204459359,1.81722039085908e-11,FDXR
6511_POGZ_P1P2_ENSG00000143442,0.1101783776390665,2.176169301139665e-11,POGZ
2271_DNAAF3_P2_ENSG00000167646,0.11005298730408518,2.2931809096638845e-11,DNAAF3
2428_DYNLRB1_P2_ENSG00000125971,0.10935392736326259,3.067466906012103e-11,DYNLRB1
3551_GSK3B_P1P2_ENSG00000082701,0.10858985806362763,4.206930513266206e-11,GSK3B
3871_HNRNPL_P2_ENSG00000104824,0.10834377514989656,4.6552961249758656e-11,HNRNPL
8925_TIMM8A_P1P2_ENSG00000126953,0.10794527215624916,5.4823058980974826e-11,TIMM8A
10771_non-targeting_non-targeting_non-targeting,0.10744151705852145,6.735476316412846e-11,non-targeting
5429_NAA35_P1P2_ENSG00000135040,0.10738780055555243,6.884581740682668e-11,NAA35
3022_FBXO42_P1P2_ENSG00000037637,0.10695990571906208,8.193317211696921e-11,FBXO42
10785_non-targeting_non-targeting_non-targeting,0.10671054211379219,9.065050922475555e-11,non-targeting
11067_non-targeting_non-targeting_non-targeting,0.10600629928675073,1.204586938752154e-10,non-targeting
2501_EFR3A_P1P2_ENSG00000132294,0.10535789929380149,1.562455961417428e-10,EFR3A
9623_UROD_P1P2_ENSG00000126088,0.10524686540414402,1.6333716227769715e-10,UROD
11178_non-targeting_non-targeting_non-targeting,0.1050762624097403,1.7484998750250395e-10,non-targeting
6138_PCNX3_P1P2_ENSG00000197136,0.10394825732600496,2.735696527668725e-10,PCNX3
1262_CCDC144NL_P2_ENSG00000205212,0.10307830355535127,3.85120942718268e-10,CCDC144NL
5023_MFN2_P2_ENSG00000116688,0.10304272703286578,3.90521784713323e-10,MFN2
454_ARGFX_P1P2_ENSG00000186103,0.10237946386354291,5.058588303642445e-10,ARGFX
8422_SRPRB_P1P2_ENSG00000144867,0.10232481057456852,5.167235937419982e-10,SRPRB
6874_PSMD6_P1P2_ENSG00000163636,0.10230209387778522,5.213062167817933e-10,PSMD6
9673_USP5_P2_ENSG00000111667,0.10201188693632317,5.834548435115302e-10,USP5
3616_H2AFZ_P1P2_ENSG00000164032,0.10115863570600078,8.110329343079668e-10,H2AFZ
1787_COPZ1_P2_ENSG00000111481,0.10087375233845389,9.04759741607631e-10,COPZ1
5771_NPM3_P1P2_ENSG00000107833,0.10065720559373699,9.829875345629207e-10,NPM3
8894_THRAP3_P1P2_ENSG00000054118,0.10058560477378775,1.0102751298332908e-09,THRAP3
5194_MRPL11_P1P2_ENSG00000174547,0.10024349110677415,1.1511851874318767e-09,MRPL11
11238_non-targeting_non-targeting_non-targeting,0.10009044205582934,1.2202599100482382e-09,non-targeting
4701_LST1_P2_ENSG00000204482,0.09934759161414201,1.6171533538318174e-09,LST1
6648_PPP1CA_P1_ENSG00000172531,0.09780398416009842,2.8843879218271576e-09,PPP1CA
9828_WDR54_P1P2_ENSG00000005448,0.0972264684437182,3.573498454534501e-09,WDR54
10586_ZNF718_ENST00000502662.1_ENSG00000250312,0.09635604239902193,4.923958701446653e-09,ZNF718
2373_DRG1_P1P2_ENSG00000185721,0.096006670217139,5.595698236131964e-09,DRG1
46_ABHD17A_P1P2_ENSG00000129968,0.09578611726898732,6.064783193215004e-09,ABHD17A
3050_FDPS_P1P2_ENSG00000160752,0.09526197797945504,7.3381670572160776e-09,FDPS
916_BTAF1_P1P2_ENSG00000095564,0.09489399233022104,8.383743273034458e-09,BTAF1
11327_non-targeting_non-targeting_non-targeting,0.09485124388856893,8.514210151663023e-09,non-targeting
9042_TMEM214_P1P2_ENSG00000119777,0.09431607541134135,1.0324168554710537e-08,TMEM214
9438_TVP23C_P1P2_ENSG00000175106,0.09404633901482161,1.1372970800537283e-08,TVP23C
2987_FBLIM1_P1P2_ENSG00000162458,0.09376202494731477,1.2590357024339305e-08,FBLIM1
5428_NAA30_P1P2_ENSG00000139977,0.09371513349557148,1.2802936222829429e-08,NAA30
11166_non-targeting_non-targeting_non-targeting,0.09298105711483369,1.6622152086318997e-08,non-targeting
11010_non-targeting_non-targeting_non-targeting,0.09262226710450813,1.887078020566912e-08,non-targeting
8237_SNW1_P2_ENSG00000100603,0.09222909593198568,2.1673913384867963e-08,SNW1
6905_PTEN_P1P2_ENSG00000171862,0.0920505858095017,2.3076219970996002e-08,PTEN
3133_FOLR3_P1_ENSG00000110203,0.09204534761846399,2.3118670850947994e-08,FOLR3
6948_PUM1_P1P2_ENSG00000134644,0.09181627675241431,2.5051043009414203e-08,PUM1
104_ACTB_P1P2_ENSG00000075624,0.09114035969506884,3.1710940074578365e-08,ACTB
10953_non-targeting_non-targeting_non-targeting,0.09082209890477623,3.5413233242779176e-08,non-targeting
4998_METTL21A_P1P2_ENSG00000144401,0.09047536630964641,3.9923541897583e-08,METTL21A
8595_SUPT20H_P1P2_ENSG00000102710,0.08996123452405627,4.765152496381126e-08,SUPT20H
5959_OR7A10_ENST00000248058.1_ENSG00000127515,0.0896993322545752,5.212693938261882e-08,OR7A10
6843_PSMA3_P1P2_ENSG00000100567,0.08888128835737855,6.888602374813656e-08,PSMA3
6844_PSMA4_P1P2_ENSG00000041357,0.08793541610988904,9.479722492620999e-08,PSMA4
8208_SNAPC4_P1P2_ENSG00000165684,0.08783955345414711,9.789712448975608e-08,SNAPC4
11164_non-targeting_non-targeting_non-targeting,0.08748550389149204,1.1021866060782052e-07,non-targeting
5255_MRPS25_P1P2_ENSG00000131368,0.08734934221540364,1.1534602984597253e-07,MRPS25
8891_THOC6_P1P2_ENSG00000131652,0.08710178329368634,1.2526534173954647e-07,THOC6
5400_MYO1H_ENST00000431443.2_ENSG00000174527,0.08710031650316986,1.253265029816326e-07,MYO1H
8245_SNX15_P2_ENSG00000110025,0.08708831414472014,1.2582805540480167e-07,SNX15
1145_CABIN1_P1P2_ENSG00000099991,0.08572533441113693,1.9736548601988787e-07,CABIN1
8058_SLC35G6_ENST00000412468.2_ENSG00000259224,0.08562515312824842,2.0395035384359895e-07,SLC35G6
8306_SP1_P1P2_ENSG00000185591,0.08478083338355642,2.6854679076092554e-07,SP1
2556_EIF3L_P1P2_ENSG00000100129,0.08395967786806095,3.5007230675552307e-07,EIF3L
10876_non-targeting_non-targeting_non-targeting,0.08383061073290621,3.64886755048575e-07,non-targeting
9430_TUFM_P1P2_ENSG00000178952,0.08361770173539874,3.90655595016782e-07,TUFM
5448_NAE1_P1P2_ENSG00000159593,0.08320490693865489,4.4570718104180465e-07,NAE1
6256_PGD_P1P2_ENSG00000142657,0.08305572691559532,4.673854558757217e-07,PGD
784_BCAR1_P2_ENSG00000050820,0.08274454853749683,5.159240283771546e-07,BCAR1
5248_MRPS18A_P1P2_ENSG00000096080,0.08248888478662973,5.594057345255818e-07,MRPS18A
1822_COX7B_P1P2_ENSG00000131174,0.08240759761878992,5.739556452225384e-07,COX7B
1894_CSH2_P1_ENSG00000213218,0.0816158989535557,7.361123356845321e-07,CSH2
1669_CLOCK_P1P2_ENSG00000134852,0.08159723600294592,7.404226017841563e-07,CLOCK
3809_HLA-C_P1P2_ENSG00000204525,0.081097943373406,8.651888012587184e-07,HLA-C
6862_PSMC5_P1P2_ENSG00000087191,0.08092113871981017,9.140413805904923e-07,PSMC5
7976_SLC1A5_P1_ENSG00000105281,0.08005709747087622,1.1935437106949141e-06,SLC1A5
5602_NEMF_P1P2_ENSG00000165525,0.07917909975990384,1.5609251622045309e-06,NEMF
6846_PSMA6_P1P2_ENSG00000100902,0.0790800158410465,1.608638176550992e-06,PSMA6
7830_SF3A1_P1_ENSG00000099995,0.07893015094077306,1.6834765740319151e-06,SF3A1
3766_HIST1H2BJ_P1P2_ENSG00000124635,0.07876989213052263,1.7672032770438798e-06,HIST1H2BJ
1440_CDK6_P1_ENSG00000105810,0.07841323475162104,1.968133332255669e-06,CDK6
3282_GAPDH_P2_ENSG00000111640,0.07827342465546348,2.0527367597367834e-06,GAPDH
1290_CCDC6_P1P2_ENSG00000108091,0.07820219690047443,2.09717074125831e-06,CCDC6
6396_PKM_P1_ENSG00000067225,0.07790132146546262,2.2952648294033178e-06,PKM
8341_SPDYE2_ENST00000341656.4_ENSG00000205238,0.07783098343887021,2.3441004885949676e-06,SPDYE2
3751_HIST1H2AE_P1P2_ENSG00000277075,0.07772805729051381,2.4173631999739324e-06,HIST1H2AE
4504_LAMTOR1_P1P2_ENSG00000149357,0.07772022486686954,2.4230273853932165e-06,LAMTOR1
6582_POTEI_ENST00000451531.2_ENSG00000196834,0.07760291606978093,2.5094008217016016e-06,POTEI
11221_non-targeting_non-targeting_non-targeting,0.07750792495006109,2.5814991310510385e-06,non-targeting
2274_DNAJA1_P1_ENSG00000086061,0.07746052678004611,2.6182135381825733e-06,DNAJA1
9550_UBTF_P1P2_ENSG00000108312,0.07634063476765264,3.6466256865131272e-06,UBTF
10135_ZMAT2_P2_ENSG00000146007,0.07579893522797164,4.2735284725561625e-06,ZMAT2
6395_PKM_P2_ENSG00000067225,0.07544132893481499,4.742608372758513e-06,PKM
9439_TWF1_P1P2_ENSG00000151239,0.07525260075639237,5.009650986309284e-06,TWF1
8724_TBCA_P1P2_ENSG00000171530,0.07462905857503613,5.998094495501833e-06,TBCA
4661_LRRC37A3_P1P2_ENSG00000176809,0.07455053058399884,6.1350689589487635e-06,LRRC37A3
11227_non-targeting_non-targeting_non-targeting,0.07443706353127932,6.338282819002446e-06,non-targeting
5567_NDUFS3_P1P2_ENSG00000213619,0.07441055942468552,6.386669526705654e-06,NDUFS3
10380_ZNF468_P1P2_ENSG00000204604,0.07433712481338446,6.5225863811118995e-06,ZNF468
3827_HMGB1_P1_ENSG00000189403,0.07400135737429915,7.180068405619059e-06,HMGB1
5290_MSRB1_P1P2_ENSG00000198736,0.07399225633573821,7.198742851354091e-06,MSRB1
6861_PSMC4_P1P2_ENSG00000013275,0.07391520508038213,7.358715850421222e-06,PSMC4
923_BTF3L4_P1P2_ENSG00000134717,0.07322499633617706,8.951486886736877e-06,BTF3L4
1219_CBFA2T3_P2_ENSG00000129993,0.07318228476440397,9.060174477702819e-06,CBFA2T3
1670_CLOCK_P1P2_ENSG00000134852,0.07256360867938492,1.078299983342775e-05,CLOCK
3589_GTF3C6_P1P2_ENSG00000155115,0.07217432400884961,1.2022801201947798e-05,GTF3C6
11044_non-targeting_non-targeting_non-targeting,0.07214348077399055,1.2126640793179254e-05,non-targeting
5911_NXF1_P2_ENSG00000162231,0.07185483255517756,1.314079578455002e-05,NXF1
8941_TKT_P2_ENSG00000163931,0.07150219035461552,1.4489734953652792e-05,TKT
6604_PPA2_P1P2_ENSG00000138777,0.0715014643575896,1.449264360743815e-05,PPA2
6448_PLEKHN1_P1P2_ENSG00000187583,0.07149667636718035,1.451184028346882e-05,PLEKHN1
3944_HS6ST1_P1P2_ENSG00000136720,0.07051846171626541,1.8985730590454456e-05,HS6ST1
5452_NAGLU_P1P2_ENSG00000108784,0.07049121330326333,1.9127442732258947e-05,NAGLU
6869_PSMD1_P1P2_ENSG00000173692,0.07030558813324703,2.011997148227434e-05,PSMD1
3660_HCRTR1_P1P2_ENSG00000121764,0.07026211393713398,2.0359411227040826e-05,HCRTR1
2898_FAM207A_P1P2_ENSG00000160256,0.06991235340869625,2.2386899441054722e-05,FAM207A
6858_PSMC2_P1P2_ENSG00000161057,0.06966467344704713,2.393729784049896e-05,PSMC2
5000_METTL23_P1P2_ENSG00000181038,0.06963742345309791,2.4113978119769672e-05,METTL23
5237_MRPL53_P1P2_ENSG00000204822,0.06960728669315953,2.4310819329867213e-05,MRPL53
3754_HIST1H2AI_ENST00000358739.3_ENSG00000196747,0.06958202306394312,2.4477007679282123e-05,HIST1H2AI
9510_UBE2L3_P1P2_ENSG00000185651,0.06909033508951844,2.7934778191738795e-05,UBE2L3
801_BCL2L1_P1_ENSG00000171552,0.06886327533541269,2.9683836980359044e-05,BCL2L1
6771_PRKRIP1_P1_ENSG00000128563,0.0687915888900207,3.0257318101500434e-05,PRKRIP1
6855_PSMB6_P1_ENSG00000142507,0.0687317580512573,3.074399886752602e-05,PSMB6
10825_non-targeting_non-targeting_non-targeting,0.06873061993630719,3.0753328288166354e-05,non-targeting
6149_PC_P1P2_ENSG00000173599,0.06865613623140869,3.136977151347516e-05,PC
2158_DEPDC5_P1P2_ENSG00000100150,0.06834930970684318,3.403508122299543e-05,DEPDC5
