perturbation,spearman_rho,pvalue,target_gene
1787_COPZ1_P2_ENSG00000111481,0.12230141785990696,4.9803520930469584e-11,COPZ1
3053_FDXR_P1P2_ENSG00000161513,0.12170175799232985,6.190719829683382e-11,FDXR
46_ABHD17A_P1P2_ENSG00000129968,0.12011778227547164,1.0942176293027146e-10,ABHD17A
10785_non-targeting_non-targeting_non-targeting,0.11986091257713682,1.1992692708732906e-10,non-targeting
916_BTAF1_P1P2_ENSG00000095564,0.11919150036330996,1.5215150339262552e-10,BTAF1
1290_CCDC6_P1P2_ENSG00000108091,0.1187810032159926,1.7594478699633597e-10,CCDC6
1332_CCNK_P2_ENSG00000090061,0.11692477941553606,3.373141399317113e-10,CCNK
10953_non-targeting_non-targeting_non-targeting,0.11591619499710512,4.783915348510203e-10,non-targeting
1440_CDK6_P1_ENSG00000105810,0.1157956258522024,4.986980496050869e-10,CDK6
1262_CCDC144NL_P2_ENSG00000205212,0.11570502807736206,5.145075760937697e-10,CCDC144NL
376_AP2M1_P2_ENSG00000161203,0.11563245534492095,5.275233554053373e-10,AP2M1
2915_FAM229A_P1P2_ENSG00000225828,0.11510370306352828,6.325441419406823e-10,FAM229A
9550_UBTF_P1P2_ENSG00000108312,0.11500054064699275,6.552898396783983e-10,UBTF
3551_GSK3B_P1P2_ENSG00000082701,0.11480307041954943,7.010744648150466e-10,GSK3B
11166_non-targeting_non-targeting_non-targeting,0.11290734870764338,1.332996683496056e-09,non-targeting
11153_non-targeting_non-targeting_non-targeting,0.11227310069887889,1.648848811653527e-09,non-targeting
5290_MSRB1_P1P2_ENSG00000198736,0.11185740971342832,1.894232347034802e-09,MSRB1
10380_ZNF468_P1P2_ENSG00000204604,0.11165740930212856,2.0246250898640852e-09,ZNF468
6877_PSMD9_P1P2_ENSG00000110801,0.11119343601236124,2.3616774630225836e-09,PSMD9
2684_EPS8L1_P2_ENSG00000131037,0.11089713453085441,2.6048735683143547e-09,EPS8L1
11067_non-targeting_non-targeting_non-targeting,0.11057142580435983,2.9003442373718973e-09,non-targeting
11178_non-targeting_non-targeting_non-targeting,0.11050458842829095,2.964889498548948e-09,non-targeting
2556_EIF3L_P1P2_ENSG00000100129,0.10995861403975349,3.5471696724537914e-09,EIF3L
5482_NBPF15_P1P2_ENSG00000266338,0.10963007553166255,3.949672445593591e-09,NBPF15
3050_FDPS_P1P2_ENSG00000160752,0.10928275099730256,4.423453973254127e-09,FDPS
4360_KIAA1143_P1P2_ENSG00000163807,0.10907822386529581,4.727840894043143e-09,KIAA1143
104_ACTB_P1P2_ENSG00000075624,0.10841861311872901,5.854806129547171e-09,ACTB
1825_CPAMD8_ENST00000443236.1_ENSG00000160111,0.10802031436470534,6.657539455241108e-09,CPAMD8
2104_DDX17_P1P2_ENSG00000100201,0.1078375993906802,7.060658052798198e-09,DDX17
6256_PGD_P1P2_ENSG00000142657,0.10693629945488879,9.422652655526465e-09,PGD
5023_MFN2_P2_ENSG00000116688,0.10677506904953227,9.919392457436371e-09,MFN2
111_ACTR1B_P1P2_ENSG00000115073,0.10641239868536839,1.1131507488204201e-08,ACTR1B
3589_GTF3C6_P1P2_ENSG00000155115,0.10584238361589886,1.3332589495951895e-08,GTF3C6
9840_WDR74_P2_ENSG00000133316,0.10528096013570888,1.5910929187568938e-08,WDR74
11164_non-targeting_non-targeting_non-targeting,0.10497237303760754,1.752790609383821e-08,non-targeting
6582_POTEI_ENST00000451531.2_ENSG00000196834,0.10350768052499494,2.764507698329518e-08,POTEI
7976_SLC1A5_P1_ENSG00000105281,0.10282137582753263,3.415210227260414e-08,SLC1A5
2312_DNM1_P1P2_ENSG00000106976,0.10227611562439175,4.035815106272826e-08,DNM1
4701_LST1_P2_ENSG00000204482,0.10194782383860836,4.460786159765163e-08,LST1
2271_DNAAF3_P2_ENSG00000167646,0.10185898608034197,4.5830463709535935e-08,DNAAF3
8719_TBC1D3_ENST00000537432.1_ENSG00000274611,0.10175608590249825,4.728719916572596e-08,TBC1D3
7357_RNF14_P1P2_ENSG00000013561,0.10095813785155351,6.02108210488001e-08,RNF14
11010_non-targeting_non-targeting_non-targeting,0.10070693331188103,6.494470475019947e-08,non-targeting
6845_PSMA5_P1P2_ENSG00000143106,0.0991059407545154,1.0475609545449653e-07,PSMA5
8941_TKT_P2_ENSG00000163931,0.09898536957489647,1.0856431480047542e-07,TKT
11044_non-targeting_non-targeting_non-targeting,0.09891108208535279,1.1097697872818194e-07,non-targeting
923_BTF3L4_P1P2_ENSG00000134717,0.09843979093866564,1.275360312536104e-07,BTF3L4
4976_MEPCE_P1P2_ENSG00000146834,0.09774848592606901,1.5621747707055807e-07,MEPCE
3944_HS6ST1_P1P2_ENSG00000136720,0.09764578921984825,1.6097784741027775e-07,HS6ST1
8237_SNW1_P2_ENSG00000100603,0.09696219578176192,1.9643036918835128e-07,SNW1
9673_USP5_P2_ENSG00000111667,0.09672291518787411,2.105373921921979e-07,USP5
1714_CNOT10_P1P2_ENSG00000182973,0.09616717060068104,2.4717923889895867e-07,CNOT10
2207_DHX30_P1_ENSG00000132153,0.09581339296379876,2.7363470814181494e-07,DHX30
3751_HIST1H2AE_P1P2_ENSG00000277075,0.09530970913473596,3.1606331085622667e-07,HIST1H2AE
11221_non-targeting_non-targeting_non-targeting,0.094976066540983,3.475916698626228e-07,non-targeting
5959_OR7A10_ENST00000248058.1_ENSG00000127515,0.09373958932672245,4.930679564474667e-07,OR7A10
3518_GPS2_P1P2_ENSG00000132522,0.09364293955470518,5.066353104110664e-07,GPS2
4661_LRRC37A3_P1P2_ENSG00000176809,0.09342412285304875,5.386944577322803e-07,LRRC37A3
3133_FOLR3_P1_ENSG00000110203,0.09217643486104199,7.623459335864025e-07,FOLR3
1960_CUL1_P1P2_ENSG00000055130,0.09216218828668123,7.653550983287461e-07,CUL1
3809_HLA-C_P1P2_ENSG00000204525,0.09120391527910214,9.962491690085769e-07,HLA-C
6511_POGZ_P1P2_ENSG00000143442,0.09078991309389728,1.1155445878511004e-06,POGZ
9828_WDR54_P1P2_ENSG00000005448,0.0906438698104787,1.1608167954893832e-06,WDR54
5763_NPB_P1P2_ENSG00000183979,0.09028308359354348,1.2803583691361092e-06,NPB
10586_ZNF718_ENST00000502662.1_ENSG00000250312,0.08884642031435208,1.8847231076931472e-06,ZNF718
4535_LCN10_P1P2_ENSG00000187922,0.08826975884431845,2.197519707276949e-06,LCN10
"1121_C7orf50_ENST00000357429.6,ENST00000397098.3,ENST00000397100.2_ENSG00000146540",0.0881275403187325,2.2820023539525647e-06,C7orf50
10771_non-targeting_non-targeting_non-targeting,0.08791151653134932,2.4163178405466924e-06,non-targeting
5400_MYO1H_ENST00000431443.2_ENSG00000174527,0.08589624608472972,4.093592397629772e-06,MYO1H
9042_TMEM214_P1P2_ENSG00000119777,0.08559171722814837,4.428617099938106e-06,TMEM214
5194_MRPL11_P1P2_ENSG00000174547,0.0842309015571697,6.273979788330695e-06,MRPL11
6149_PC_P1P2_ENSG00000173599,0.084033729415654,6.595895229825966e-06,PC
1822_COX7B_P1P2_ENSG00000131174,0.08400673280071934,6.641182034780863e-06,COX7B
11327_non-targeting_non-targeting_non-targeting,0.08368883941926275,7.197310966615904e-06,non-targeting
11048_non-targeting_non-targeting_non-targeting,0.08287865916302456,8.823095538223571e-06,non-targeting
10825_non-targeting_non-targeting_non-targeting,0.08253515786046002,9.613475054410929e-06,non-targeting
1669_CLOCK_P1P2_ENSG00000134852,0.08249936618462277,9.699613355307426e-06,CLOCK
9945_YRDC_P1P2_ENSG00000196449,0.08198049370758485,1.1034191735214778e-05,YRDC
5317_MTHFD1_P1P2_ENSG00000100714,0.0819787341867253,1.1039002173506758e-05,MTHFD1
8058_SLC35G6_ENST00000412468.2_ENSG00000259224,0.08187205554084316,1.1334424118338495e-05,SLC35G6
2158_DEPDC5_P1P2_ENSG00000100150,0.08069589749947195,1.5133360246944926e-05,DEPDC5
10780_non-targeting_non-targeting_non-targeting,0.08025378620797177,1.6853413093742694e-05,non-targeting
8724_TBCA_P1P2_ENSG00000171530,0.079965610874407,1.8073149193585584e-05,TBCA
2334_DOLK_P1P2_ENSG00000175283,0.07966156984104171,1.945095804691777e-05,DOLK
11002_non-targeting_non-targeting_non-targeting,0.07919919787294712,2.1739448990359086e-05,non-targeting
2428_DYNLRB1_P2_ENSG00000125971,0.07831575664150313,2.6842692636162605e-05,DYNLRB1
2036_DBF4_P1P2_ENSG00000006634,0.0782670785991046,2.7154668025409466e-05,DBF4
8422_SRPRB_P1P2_ENSG00000144867,0.07746804757044665,3.279510088747469e-05,SRPRB
5226_MRPL43_P1P2_ENSG00000055950,0.07733648231035997,3.382444446822265e-05,MRPL43
3827_HMGB1_P1_ENSG00000189403,0.07714229967566465,3.539989571869339e-05,HMGB1
4995_METTL17_P1P2_ENSG00000165792,0.07675514811450498,3.875115641132179e-05,METTL17
110_ACTR1A_P1P2_ENSG00000138107,0.0765516953126675,4.06308040359906e-05,ACTR1A
