gene_symbol,gene_id,levene_pval,var_ratio,is_bimodal,bic_diff
ENSG00000269729,ENSG00000269729,1.0721653285277175e-6,110.88157124326789,TRUE,20.856482410890933
AMTN,ENSG00000187689,1.2331746867842091e-6,56.888575270745655,TRUE,67.74438023420582
UCA1-AS1,ENSG00000267308,2.8434556254295743e-6,51.67489700163981,TRUE,24.24001086333682
ENSG00000230690,ENSG00000230690,3.0135066511002507e-6,Inf,TRUE,158.54131808889068
ENSG00000226302,ENSG00000226302,7.310932536832434e-6,9.596733410729737,TRUE,13.717205545258636
ENSG00000267729,ENSG00000267729,1.2446610646611545e-5,Inf,TRUE,43.70572232483306
ENSG00000261810,ENSG00000261810,1.4427979957441174e-5,Inf,TRUE,46.83352507070887
ENSG00000278952,ENSG00000278952,2.7075851380282396e-5,4.929940697376275,TRUE,12.70148404490078
RPSAP5,ENSG00000243904,2.889902286850233e-5,9.406837928602014,FALSE,7.425436742226978
MIR1292,ENSG00000284481,3.695657516933777e-5,10.173864046786656,FALSE,8.589790583864342
RPS24P13,ENSG00000233190,4.0051032343991675e-5,13.549131364914198,TRUE,14.223311830811113
RNU7-171P,ENSG00000238406,4.676766252306656e-5,8.727324864286613,TRUE,23.57971950899541
CSN1S1,ENSG00000126545,5.019462716249859e-5,4.332392341197263,FALSE,2.665423657468878
SLC9A3R1-AS1,ENSG00000266036,5.623758266484011e-5,4.619922184909162,FALSE,5.210400577943918
ENSG00000213226,ENSG00000213226,6.664502068347094e-5,37.09219043850872,TRUE,38.15939678531652
ENSG00000270702,ENSG00000270702,6.722482621076595e-5,2.919389247175073,TRUE,28.655151372256043
RPL35P10,ENSG00000266944,6.829013767244378e-5,40.52460948522079,TRUE,25.23658760781025
NACAP10,ENSG00000254253,7.804170132582343e-5,Inf,TRUE,28.15307347234669
RPS23P5,ENSG00000242608,9.286233825618944e-5,29.66536195572746,TRUE,47.34786689364657
LOXL3,ENSG00000115318,1.075123000437707e-4,3.896106620130113,FALSE,-4.02664773080982
AGPAT1,ENSG00000204310,1.163219834706422e-4,3.423873738893815,FALSE,1.3514651113968785
TRBV23OR9-2,ENSG00000229063,1.22072505188562e-4,17.93210781933718,TRUE,83.46300894186581
HNRNPA1P19,ENSG00000218454,1.3857659597989172e-4,29.004536313288103,TRUE,36.06419659277823
ENSG00000284341,ENSG00000284341,1.5964001148874397e-4,21.93463229448304,TRUE,15.339937452841433
ENSG00000252461,ENSG00000252461,1.6093793128406876e-4,12.987095917611818,TRUE,27.36379816779366
ENSG00000283341,ENSG00000283341,1.710316942357047e-4,9.361438452533704,FALSE,7.397082413961613
ENSG00000226963,ENSG00000226963,1.7933128017301136e-4,11.418419878501188,TRUE,19.5620962607643
ENSG00000253399,ENSG00000253399,1.916062720213286e-4,5.351871031713245,FALSE,0.2527901841714879
HSPE1P6,ENSG00000232917,1.9541837007911177e-4,25.20409386706526,TRUE,46.26806684783298
LINC01795,ENSG00000225226,2.0153164727125829e-4,Inf,TRUE,208.05076734169336
ENSG00000232463,ENSG00000232463,2.030632932729261e-4,Inf,TRUE,33.62749401867957
ENSG00000230404,ENSG00000230404,2.0342077036751417e-4,Inf,TRUE,150.2099131779285
ATP5MGP4,ENSG00000225176,2.0848173547081164e-4,18.16715944795916,TRUE,45.14582875448771
ENSG00000188646,ENSG00000188646,2.10082739184838e-4,Inf,TRUE,113.64970037710728
RPS3AP40,ENSG00000243672,2.10082739184838e-4,Inf,TRUE,36.48768127065077
VTA1P1,ENSG00000224999,2.225310782993021e-4,Inf,TRUE,69.93243929093518
RBMY1KP,ENSG00000229234,2.233208755577865e-4,Inf,TRUE,90.55007146676238
RN7SL757P,ENSG00000239249,2.233208755577865e-4,Inf,TRUE,90.55007146676238
RNA5SP466,ENSG00000252546,2.2797832143411657e-4,70.70661424622979,TRUE,40.555341030775125
ENSG00000262267,ENSG00000262267,2.299901490138568e-4,7.854869569790339,TRUE,13.770259856238027
STIMATE-MUSTN1,ENSG00000248592,2.3621000489056033e-4,Inf,TRUE,79.31579411590069
ENSG00000273734,ENSG00000273734,2.7355979826814726e-4,8.766216723971466,TRUE,15.627897670872144
ENSG00000262801,ENSG00000262801,2.8403245215107665e-4,7.320541356149842,FALSE,5.5898032016438925
LINC01298,ENSG00000253351,2.9595458778958623e-4,Inf,TRUE,36.272258026193356
ENSG00000275063,ENSG00000275063,3.41705646031147e-4,9.26824889657482,TRUE,11.099306953503184
RPSAP50,ENSG00000224776,3.464999609423702e-4,12.273172456738592,TRUE,23.222999788208313
ENSG00000265254,ENSG00000265254,3.659014940983329e-4,3.452451126889197,FALSE,4.045801745326627
ENSG00000206814,ENSG00000206814,3.668383080914186e-4,18.307689891446653,TRUE,29.216190341401926
ENSG00000241105,ENSG00000241105,3.669926826865297e-4,8.27631337462322,TRUE,10.951754620910364
AXDND1,ENSG00000162779,3.782733639380441e-4,3.864460454166576,FALSE,-1.5724058686646556
TAS2R41,ENSG00000221855,3.810282295549952e-4,Inf,TRUE,43.357593100940875
NAALADL2-AS3,ENSG00000230292,3.810282295549952e-4,Inf,TRUE,43.357593100940875
ENSG00000280196,ENSG00000280196,3.8550736021043173e-4,11.660350262805764,TRUE,103.89897742579745
RNU6-835P,ENSG00000252783,3.869296350266953e-4,Inf,TRUE,42.73950702070671
ERVE-5,ENSG00000266976,3.902357085192594e-4,Inf,TRUE,127.5374252189424
OR5BS1,ENSG00000198678,3.980918660532483e-4,Inf,TRUE,41.63325161901679
RTL3,ENSG00000179300,4.066112995400555e-4,16.89671338124604,TRUE,24.431457116483955
BPIFB4,ENSG00000186191,4.151530235914727e-4,13.33949937457549,TRUE,105.67668234684845
PPDPFP1,ENSG00000242613,4.162898678533227e-4,96.60239596054988,TRUE,42.07951017134949
LUZP1,ENSG00000169641,4.379712025458135e-4,0.13683161628323764,FALSE,0.47895888896558425
ENSG00000231052,ENSG00000231052,4.426761352700668e-4,Inf,TRUE,37.87677829503998
ENSG00000280017,ENSG00000280017,4.457704580718269e-4,28.396543342241117,TRUE,17.506224546278844
RANP6,ENSG00000213370,4.8241836764872063e-4,3.969109849901726,FALSE,5.697771587546001
MMP13,ENSG00000137745,4.922741669769079e-4,14.162501726459086,TRUE,109.11299230896225
WDR45P1,ENSG00000248208,4.935490690140117e-4,5.310124293205308,TRUE,13.177589567471895
C1orf232,ENSG00000282872,5.10811475177385e-4,8.417533519688163,TRUE,19.217369015894427
LINC02579,ENSG00000233694,5.365189978884675e-4,6.7895818845852425,TRUE,18.30548867309082
RN7SKP11,ENSG00000252827,5.669651455171164e-4,24.88159552070996,TRUE,25.293308116119263
ENSG00000269460,ENSG00000269460,5.908010184698394e-4,58.12541179964804,TRUE,45.94583191231378
IMPDH1P3,ENSG00000214815,5.92052890208241e-4,Inf,TRUE,29.73114980786451
PFN1P3,ENSG00000234367,5.92052890208241e-4,Inf,TRUE,29.73114980786451
ENSG00000238201,ENSG00000238201,5.927791591350568e-4,6.772862031360901,TRUE,11.269130298299473
ENSG00000226141,ENSG00000226141,5.935513132970606e-4,38.65436958790365,TRUE,33.98213084174526
RN7SKP275,ENSG00000201496,6.105663518672425e-4,10.928394052386702,TRUE,94.00250946833161
ALPP,ENSG00000163283,6.160460481633707e-4,11.11889169534124,FALSE,8.300223975723696
ADGB-DT,ENSG00000237468,6.207600901468554e-4,Inf,TRUE,42.27738834797509
ENSG00000254366,ENSG00000254366,6.487966718771401e-4,25.71690623829237,TRUE,29.2053844575459
DNAJB8-AS1,ENSG00000242049,6.745092152360628e-4,13.351561258149548,TRUE,48.07529192091705
RPL35AP7,ENSG00000225487,6.751388979619839e-4,Inf,TRUE,26.860485389922133
SPRR2G,ENSG00000159516,6.912435682254697e-4,Inf,TRUE,35.64088929579228
RN7SKP219,ENSG00000252634,7.078812036127861e-4,16.24064585010729,TRUE,14.381047013501984
MAGEB17-AS1,ENSG00000238178,7.268520513121649e-4,5.881950159926886,TRUE,15.833638670745213
RPSAP34,ENSG00000239939,7.289292120605812e-4,10.480036079073203,TRUE,109.86971897293078
LINC01228,ENSG00000261082,7.617626281403063e-4,7.1403739517740945,TRUE,24.64342799655725
ENSG00000266356,ENSG00000266356,8.236247621379248e-4,Inf,TRUE,35.48482551074606
ENSG00000280093,ENSG00000280093,8.27519386123095e-4,Inf,TRUE,39.83627894436157
CBL,ENSG00000110395,8.341581958525887e-4,0.1532171023705997,FALSE,4.524688502987495
MIR548H1,ENSG00000221537,9.058267372675782e-4,12.838191153077744,TRUE,31.53809768479246
RNU6-128P,ENSG00000206703,9.191530911498184e-4,Inf,TRUE,42.368340700708075
ENSG00000284603,ENSG00000284603,9.191530911498184e-4,Inf,TRUE,48.46092838362733
KLK4,ENSG00000167749,9.237307864817522e-4,5.04921129193766,FALSE,5.672036748438103
ENSG00000258520,ENSG00000258520,9.237458798368704e-4,3.24386404774112,FALSE,0.7475379689651618
CLK1,ENSG00000013441,9.263283566524832e-4,3.357393166233075,FALSE,-6.182641318456632
ENSG00000224015,ENSG00000224015,9.482983705279188e-4,12.193058793257098,TRUE,17.290783058714325
ENSG00000268650,ENSG00000268650,9.75685131668182e-4,3.678847259550853,FALSE,2.6310243048825406
OR52P1,ENSG00000181109,9.799918331588958e-4,4.4892681569125035,FALSE,-1.3793187473232678
TUBD1,ENSG00000108423,9.835847864911023e-4,3.889658954065798,FALSE,0.7684162616221712
ENSG00000229263,ENSG00000229263,0.00100148764056583,0.06624572609645718,FALSE,8.291988479280505
DEAF1,ENSG00000177030,0.00105106542497983,3.5980401586277555,FALSE,-5.1058722391912
ADAMTS19-AS1,ENSG00000249421,0.00107084553332542,6.948472814380901,FALSE,8.815847626864969
ENSG00000233942,ENSG00000233942,0.00107849489221031,0.10862744332979311,TRUE,22.62254619858932
GMCL1P2,ENSG00000271070,0.00109369961665352,5.392136940784704,TRUE,10.933875575924205
CYCSP38,ENSG00000259513,0.00114031698440182,5.815240946017646,FALSE,8.009038195154034
ENSG00000243062,ENSG00000243062,0.00124395120722649,13.28997296809345,TRUE,17.004785984394843
HAMP,ENSG00000105697,0.00126034854936249,3.809789984600477,TRUE,12.145763329540287
AKAP14,ENSG00000186471,0.00126517875691104,8.605311177783184,TRUE,23.304980297598853
LINC02831,ENSG00000224173,0.001265796579119,Inf,TRUE,50.59379629836823
PEBP1P2,ENSG00000270532,0.0012788436064532,2.8976076240689808,FALSE,1.449419256911959
MKNK1-AS1,ENSG00000269956,0.00128368493384403,0.12709277237899838,TRUE,13.960842555712379
LINC02735,ENSG00000255433,0.00128707636262319,13.365734653798064,TRUE,17.214111868518884
ENSG00000200142,ENSG00000200142,0.0013268613221963,5.388328600434787,TRUE,23.619965463935145
ENPP7P5,ENSG00000256589,0.00132867304605573,5.066913631211087,TRUE,11.515229938336276
RPL9P5,ENSG00000239510,0.00133337619788983,6.818586412260483,TRUE,14.897327482549287
ENSG00000276972,ENSG00000276972,0.00133950167124098,3.2064680061584068,FALSE,-5.795082735952835
KIF19BP,ENSG00000230914,0.00136006456104978,9.662788726054291,TRUE,21.072641603757532
ENSG00000234361,ENSG00000234361,0.0013656913603194,4.679565734807474,TRUE,15.447938299476874
MED28P1,ENSG00000214875,0.00136932970945148,3.117746701260743,FALSE,6.846287410341002
CASC17,ENSG00000260785,0.00137133117454959,30.526154844226564,TRUE,36.89527839048962
KPNA6,ENSG00000025800,0.00137539259764287,0.10481176948652808,FALSE,-3.1881569366570677
COMP,ENSG00000105664,0.00137788771035483,6.6545959544140985,TRUE,20.942955207551663
PRR14L,ENSG00000183530,0.00140407697671683,0.20681131815530643,FALSE,1.5544163707617145
ENSG00000201945,ENSG00000201945,0.00142659844842308,15.596196521437165,TRUE,28.736959457636132
ATP5MKP1,ENSG00000231549,0.00143812562754027,7.502932276954543,TRUE,30.21633785754834
ENSG00000229646,ENSG00000229646,0.00144999406715658,5.666118077334371,TRUE,36.27206269099359
LINC03021,ENSG00000254319,0.00147739904206856,2.6132042542293705,FALSE,5.062610522478213
LINC02924,ENSG00000232874,0.00148884985926776,3.2958331145855064,FALSE,0.08528883082334193
ENSG00000250945,ENSG00000250945,0.00150882059080675,19.2363141043403,TRUE,25.76480129785932
CHIAP3,ENSG00000234020,0.0015331431801282,15.395012251162992,TRUE,26.68232661434243
ENSG00000231465,ENSG00000231465,0.00153795379232332,6.1513973301731015,FALSE,7.636868359203476
RPS6P23,ENSG00000230871,0.0015439060433936,Inf,TRUE,56.20420228228258
ENSG00000261447,ENSG00000261447,0.00154539088354478,2.919646469043745,FALSE,-1.4779996618970364
SGO1-AS1,ENSG00000231304,0.00155570601528084,0.07267007748189123,FALSE,2.2257168583717686
ENSG00000259654,ENSG00000259654,0.0015861755878269,0.22855253262120315,TRUE,10.22657501745526
ZNF436,ENSG00000125945,0.00160204116217861,3.215321570903698,FALSE,-5.580767413362061
