gene_symbol,gene_id,levene_pval,var_ratio,is_bimodal,bic_diff
ENSG00000206728,ENSG00000206728,6.330493785644524e-9,6.075182453231597,TRUE,48.723897009095026
HSD3BP1,ENSG00000187481,9.468534202265265e-8,28.6706094843778,TRUE,17.325061781398077
ENSG00000260771,ENSG00000260771,3.875415095883201e-7,15.521112028432158,TRUE,35.02514142330507
ENSG00000258455,ENSG00000258455,4.533591775997621e-7,50.40491550087797,TRUE,32.344655092220236
PA2G4P1,ENSG00000237828,4.792572410336304e-7,13.875230005639024,TRUE,11.79389068608397
FGF13-AS1,ENSG00000226031,1.1858083107703445e-6,5.619046863517806,FALSE,-5.071375298345263
MIR320E,ENSG00000211513,1.9389073274141942e-6,27.31594593363699,TRUE,68.14351098909955
ENSG00000269307,ENSG00000269307,3.141783373340531e-6,22.266325787619017,TRUE,37.21015949003288
USP32P4,ENSG00000263887,3.2397044625740956e-6,33.44097889025735,TRUE,19.654902598415887
RN7SL408P,ENSG00000266875,7.724388390724734e-6,Inf,TRUE,165.10693531991888
RNA5SP382,ENSG00000200225,7.72609887651138e-6,Inf,TRUE,163.68694945789758
ENSG00000279886,ENSG00000279886,7.737714319448571e-6,Inf,TRUE,155.8461202504689
EFCAB3,ENSG00000172421,7.944445733729869e-6,Inf,TRUE,114.3678013687064
SNRPEP3,ENSG00000227624,8.087001588387842e-6,Inf,TRUE,104.08934974615353
H3P16,ENSG00000178458,8.893187625686481e-6,5.71956065159982,FALSE,0.4621469207893938
ENSG00000271649,ENSG00000271649,9.07824916768426e-6,Inf,TRUE,78.09523880658736
ENSG00000223111,ENSG00000223111,9.972468075845816e-6,Inf,TRUE,65.9591037062224
LINC02895,ENSG00000259380,9.972468075845816e-6,Inf,TRUE,65.9591037062224
ENSG00000270549,ENSG00000270549,1.0550363707623152e-5,28.582565610817152,FALSE,8.701457420735053
ETS2-AS1,ENSG00000205622,1.093102924343804e-5,5.664479322994124,FALSE,4.287171166243674
CYCSP11,ENSG00000229217,1.1388826911716694e-5,Inf,TRUE,56.43216567741348
ENSG00000199357,ENSG00000199357,1.2244798464287608e-5,Inf,TRUE,52.52595621149756
ENSG00000265477,ENSG00000265477,1.32399258183299e-5,18.10957656481094,TRUE,55.56172668772629
PPIAP36,ENSG00000236872,1.4157358120493956e-5,20.57943943118336,TRUE,35.76105261676871
ANKRD62,ENSG00000181626,1.6254145138078802e-5,Inf,TRUE,27.157211261611053
ENSG00000263154,ENSG00000263154,1.911014380861323e-5,5.614951456364322,FALSE,6.871593023991318
ENSG00000227743,ENSG00000227743,1.9305537863881715e-5,Inf,TRUE,36.79242797467997
PAGE2,ENSG00000234068,2.286433271862497e-5,22.9366838251395,TRUE,13.113607568705817
ENSG00000268105,ENSG00000268105,3.256716310583266e-5,24.305267701918865,TRUE,12.396269721156557
PTCHD3P3,ENSG00000219700,3.2991367364790345e-5,4.905254978281468,TRUE,25.33652677960565
