pathway,rank_name,NES,pval,padj,size
Macula_DE_DN,H2O2_vs_Ctrl,1.2703596352445716,0.0038334963319633765,0.030667970655707012,115
nonMacula_VAR_DEC,H2O2_vs_Ctrl,1.3460106900808821,0.037383177570093455,0.14953271028037382,29
Macula_DE_DN,PRG4_Rescue,1.2957278937026813,0.06601731601731602,0.22994256409761352,115
Macula_VAR_DEC,PRG4_Rescue,-1.2948094296797086,0.08622846153660507,0.22994256409761352,32
nonMacula_DE_DN,PRG4_Rescue,1.268090085010136,0.07276507276507277,0.22994256409761352,172
Macula_VAR_INC,PRG4_Rescue,1.1795135862261474,0.18453038674033148,0.36906077348066296,104
nonMacula_VAR_DEC,PRG4_Rescue,1.0699241545596903,0.37772087067861715,0.6043533930857875,29
nonMacula_DE_UP,PRG4_Rescue,0.9835064893676136,0.5619335347432024,0.6422097539922312,345
nonMacula_VAR_INC,PRG4_Rescue,0.9722845531029978,0.5548717948717948,0.6422097539922312,218
nonMacula_DE_DN,H2O2_vs_Ctrl,1.0762153884476264,0.24875124875124874,0.6633366633366633,172
Macula_VAR_DEC,H2O2_vs_Ctrl,1.0900006978519725,0.37063655030800824,0.6950950950950952,32
Macula_VAR_INC,H2O2_vs_Ctrl,1.0307077724384917,0.4344344344344344,0.6950950950950952,104
nonMacula_DE_UP,H2O2_vs_Ctrl,0.9872060203657034,0.5734265734265734,0.7645687645687645,345
Macula_DE_UP,PRG4_Rescue,0.7509233947013594,0.9154774972557629,0.9154774972557629,105
Macula_DE_UP,H2O2_vs_Ctrl,0.6678223537909953,0.983983983983984,0.983983983983984,105
nonMacula_VAR_INC,H2O2_vs_Ctrl,0.8969037112606958,0.8781218781218781,0.983983983983984,218
