ensembl_gene_id,H2O2_vs_CTRL.log2FoldChange,H2O2_vs_CTRL.pvalue,PRG4_vs_CTRL.log2FoldChange,PRG4_vs_CTRL.pvalue,H2O2PRG4_vs_H2O2.log2FoldChange,H2O2PRG4_vs_H2O2.pvalue,hgnc_symbol
ENSG00000100101,-1.53798577505109,0.290888519489386,1.78637368541014,0.145918476371175,2.53035860395298,0.0725394957935045,
ENSG00000111780,0.7584272973472,0.654937571763711,-1.23453569513807,0.489933514856346,-1.96993456542369,0.261173624085431,
ENSG00000124593,0.367603176444721,0.407774281877575,-0.292572114534011,0.518270230773337,-0.701857517045792,0.114918343721892,
ENSG00000125695,0.624374792649643,0.855899784677797,-2.09190505951655,0.554985092964871,0.796462874836115,0.8113078131116,
ENSG00000131152,0.35763659532293,0.146410779350904,-0.0354424212306923,0.886030622926654,0.0544332686821034,0.82281405178258,
ENSG00000141979,0.597797234768222,0.009939009454352,-0.656402479500155,0.0056489376857755,-0.244009550884602,0.287225271542447,
ENSG00000142539,2.5423729879373,0.526245909331753,0.0,1.0,0.882998168960445,0.819632559700921,
ENSG00000144785,-0.0223530298098867,0.939502000978373,-0.175658410652288,0.550594934709135,0.532972960879731,0.0655299635239892,
ENSG00000159239,5.17681553358756,0.0010319929516455,0.0,1.0,1.71509547434368,0.106213899940645,
ENSG00000167774,2.60365335387341,0.0107940152615315,-0.584897268847356,0.604933675242948,-0.687796863281602,0.464686211043997,
ENSG00000167807,-0.958653772412051,0.827809199970284,-1.13873253387442,0.796120687851758,2.16248028462703,0.617326013975921,
ENSG00000170846,0.666892964029115,4.25013568869901e-05,0.270215224679978,0.0980876140318835,-0.126951675040109,0.430601288701733,
ENSG00000173366,3.13675258319786,2.72488059328731e-06,0.0330691910423092,0.964061763867892,0.104769625617392,0.856572312680934,
ENSG00000173867,0.942155318304138,0.410814806819171,0.443821033731659,0.701083233614605,0.696768890862646,0.51984457823738,
ENSG00000183889,0.323322522339741,0.0139742425132953,0.0134819789503554,0.918456359388306,-0.193542736063451,0.13977519882118,
ENSG00000187186,1.00040951431062,0.0266823558950822,-0.137629406568633,0.763881780823763,-0.249770308826078,0.573764909050945,
ENSG00000188223,3.02829999050298,0.202468958524989,1.34737644398486,0.584796663395363,0.625120343256713,0.765298747107993,
ENSG00000188897,2.90104358690895,3.7741994360512205e-09,0.660886244283191,0.182302900767594,0.100260948876811,0.836283807888866,
ENSG00000196826,-0.953277428155905,0.221646332786931,0.0029707680436357,0.996778834069708,-0.548107699885506,0.510197816264984,
ENSG00000197991,,,,,,,
ENSG00000198211,4.64684145568641,0.0101135906518877,0.784824566111602,0.711432543827852,0.0865544786686679,0.951122181219204,
ENSG00000203546,-0.553184700434826,0.079781888748745,0.527200810603674,0.0806196626096266,0.645045043548729,0.0387655170583702,
ENSG00000204003,2.79100250626775,0.517356814739143,0.0,1.0,0.322717893358343,0.938608578850672,
ENSG00000204422,4.8440830453506,0.0119917384429799,0.0,1.0,0.277475938948785,0.858415916539124,
ENSG00000205236,0.442499229877903,0.0940569300801837,0.761276443137027,0.0035635782352443,-0.0006845831111846,0.997888290045692,
ENSG00000206549,3.14543672945197,0.0003650833605485,0.110337513135989,0.905877836168544,-0.931044092380532,0.256009794917972,
ENSG00000213204,5.29680760873728,0.0034348176884005,0.0,1.0,1.08684697721513,0.433668595730353,
ENSG00000214265,-0.0514202068576747,0.734064181279953,0.46093358836806,0.0020288203137895,0.574620516650831,0.0001176001799927,
ENSG00000225528,,,,,,,
ENSG00000225931,4.06222115209392,5.0402694628148097e-11,0.833180024036253,0.221510254099038,1.34305703435106,0.0025290405152337,
ENSG00000226490,0.0,1.0,0.0,1.0,3.10188568682633,0.469599660827028,
ENSG00000226690,0.632183762727217,0.684878221047646,-0.0153335515611529,0.992284778807558,1.44021133645935,0.325080489477534,
ENSG00000228144,-0.566389484293143,0.274859630611864,0.263300011279166,0.599298990363315,0.590568594954937,0.250857404301173,
ENSG00000230626,-0.105910945032729,0.913283700779764,-0.103876341290826,0.914147019280898,0.123690358105606,0.897416663891165,
ENSG00000230707,0.0,1.0,0.0,1.0,1.52145968591299,0.727877710568881,
ENSG00000233757,-0.603374460668398,0.002271125728187,0.348882546522484,0.0705079274231921,0.399847988776213,0.0428013381316548,
ENSG00000235007,0.819495727351869,0.0009542774290861,-0.279104632788375,0.272941882762199,0.415097241862035,0.0829507278319058,
ENSG00000236543,,,,,,,
ENSG00000237378,,,,,,,
ENSG00000239395,0.0,1.0,0.0,1.0,2.68264069532364,0.533067219333723,
ENSG00000239920,0.543757969173014,0.090675849898169,-0.0628102701530682,0.847969797854592,0.62550496081352,0.0396879735647188,
ENSG00000241489,-0.213204779099717,0.287073067806788,0.180314238121983,0.364311749329421,-0.0219843283377139,0.912540798161838,
ENSG00000241690,-3.50541752002816,0.413417944236919,-3.68549628149054,0.389838616812761,0.679690555653171,0.877441360962101,
ENSG00000241962,0.321334048865261,0.083461317410427,0.258551989188641,0.162809322521069,-0.021313320699548,0.90757050008406,
ENSG00000243501,1.32538778132369,0.0718759344894516,0.0131564358834861,0.986499762463374,0.642211949640848,0.332449766862969,
ENSG00000243696,-2.22062033204932,0.272559072895081,0.0154295957014042,0.993145148323152,2.28075704750209,0.256982899677378,
ENSG00000244255,,,,,,,
ENSG00000248235,0.492232272359371,0.361108788615226,0.149880826000826,0.782318052968501,0.19928797011502,0.700741984490796,
ENSG00000248710,0.328362790652322,0.734851380346095,0.0108768041186462,0.991097763806341,1.11357656649827,0.227164738887685,
ENSG00000248751,0.914617654190507,0.444420677080161,-0.44817920236227,0.717431628548819,0.0108826898951037,0.992509615819623,
ENSG00000248993,-0.0154858143232226,0.997147259098516,-2.02559125213464,0.642887174617623,0.696703015955309,0.870456660576738,
ENSG00000249141,2.39417652140409,0.0899182573556766,0.898420488195832,0.536588804740477,0.526485629876139,0.678736005796346,
ENSG00000249209,0.282639221431353,0.517050951079948,-0.287106066671645,0.519030589280865,0.822913300410227,0.0466992770602553,
