ensembl_gene_id,TS1,TS11,TS12,TS13,TS15,TS16,TS2,TS3,TS5,TS6,TS7,TS9,hgnc_symbol
ENSG00000000003,42.5464194163526,34.9598939271876,41.6029819448787,42.7053154821696,46.5186617184411,44.7494082578508,40.8842610598635,37.4521046546744,39.4700982963767,42.578505928597,38.9000283730765,37.0930606355786,TSPAN6
ENSG00000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNMD
ENSG00000000419,16.1303707600221,14.1495664636975,15.3776254234475,23.1668611081834,22.8757984345599,23.7945522350642,16.1859299790241,15.3395000538316,18.212543548247,22.3916695188088,21.9074091110498,13.7972280243473,DPM1
ENSG00000000457,3.07409526160465,3.17910987729953,3.47867443912683,3.1392870920514,4.16757807408349,3.24654507960628,2.81230660643937,1.39690704035666,2.18365523208566,2.26901727928867,1.92070457162666,3.14943093606455,SCYL3
ENSG00000000460,0.314043817715529,0.368620013959583,0.451871229766451,0.457646744483456,0.365927111357945,0.370937766552279,0.216651529952401,0.149405393245466,0.224275190483577,0.170765169409247,0.157308111587681,0.362367895023008,C1orf112
ENSG00000000938,0.0,0.0,0.0,0.159065377428433,0.483940191694178,0.433785483293368,0.0299953334227702,0.0,0.0315771119272588,0.031176767237626,0.261351078843459,0.0,FGR
ENSG00000000971,4.26420424902251,5.50737352010497,7.64994788578307,6.02184407799443,7.9816708087435,7.53227857304136,4.45357772656127,3.35496302685183,3.48381958049105,3.870078891968,3.33523743790104,5.38524193206652,CFH
ENSG00000001036,73.9538918872572,81.1258678849047,71.5001118612526,80.6751843245782,77.1361606043303,76.7036016172978,72.2099752200589,87.0987530015566,66.647906628975,76.6954706080212,79.4503203077156,84.7292740416064,FUCA2
ENSG00000001084,3.8509314944531,3.85076496994052,4.40123602959087,5.6446059768192,6.01843195329724,5.78218930478704,4.12200570654785,3.61005185135836,3.50323759640318,2.99182114680226,2.36151770797135,3.99199558296281,GCLC
ENSG00000001167,5.39367743654814,6.9819018981627,7.47648973284312,7.84820681119041,8.05576043384215,7.72107054691318,5.66766156663306,4.81525805149356,6.31386552546514,6.36853534277203,5.42849968111367,5.45585197935537,NFYA
ENSG00000001460,1.27712879478117,1.21145954658492,1.62344450527361,1.68750860192132,1.80859384636808,1.84656515358162,1.40015690115384,1.30633437435997,1.51662915037321,1.5815920546415,1.84633106145556,1.17850934305777,STPG1
ENSG00000001461,30.1014463441165,21.5261081221557,21.0091405074039,27.6285474007634,27.5705128588141,27.3846209765534,31.0779270426954,27.0413522520161,34.9387789541402,37.074174343456,38.8155125427726,22.8462295281768,NIPAL3
ENSG00000001497,5.192514145398,5.75268052534018,5.57179212377853,5.58208432063662,4.74048461867753,5.19895506301205,5.21990500941427,4.04107858791865,4.53190536488222,4.59801059826297,4.4531845361461,5.70916679615181,LAS1L
ENSG00000001561,20.3832560897,16.2730776267724,20.3826453603354,19.8430934183659,21.7762943803273,21.331586997833,19.3530106779043,17.4595562255748,15.4769220132728,16.2735145478912,13.8861422980589,16.0107683729388,ENPP4
ENSG00000001617,4.41568014026053,2.93929382613507,2.62013907542026,4.26897333159645,4.0381732732239,3.89248077343644,4.89120225254357,4.66394198789662,5.82495971638019,4.9355742238528,7.99074914124857,3.01723041956467,SEMA3F
ENSG00000001626,0.00658029351571635,0.000702541833717697,0.0,0.00514570479825239,0.00489227567684457,0.00887130801750768,0.0,0.0,0.0,0.00168092771414938,0.0,0.000803451164862724,CFTR
ENSG00000001629,7.59468376266606,6.37429969060468,7.45652373297597,7.62040351021087,8.10685513315726,7.69793101246078,7.2139950368843,6.38533938484863,6.45278962906109,6.4521528472243,6.59326520049186,6.91074337956831,ANKIB1
