target_gene,prg4_mimetic_score
ARL4D,0.28699462647141366
ZRSR2,0.27841979495137936
COMTD1,0.2762868560862459
SEPSECS,0.2677263251390929
MRPL33,0.26628905119611684
PSME2,0.2608858754189298
MRPL41,0.260699658252299
PARS2,0.24408315002228795
TNNT2,0.24328111406448638
UBE2M,0.24063531657063608
SARS2,0.23796616532664142
HNRNPA1,0.23709335490581288
SBNO1,0.23592536494361993
KIAA1143,0.23580273860428258
DDX19B,0.23424435191758425
ACTR1B,0.23248778062108927
USP14,0.23002436875732613
CCDC6,0.21687496458701352
OTX1,0.21520285747304818
TAF13,0.21141236169123837
ZNF407,0.20606557659606084
GJA3,0.2014479648676759
DHX30,0.19809569860164108
DNM1,0.19765622690726575
FAM229A,0.1975630453517359
KCTD10,0.19697314424394508
KDM6A,0.19603227881329355
GSDMA,0.19561928381568733
MRPS11,0.19517935645771078
AP2S1,0.19103818791170696
ANAPC15,0.18808100708259723
FDXR,0.1860379125324001
PSMD9,0.18577989004639187
MRPL36,0.18476618315695637
MRPL35,0.18464464512720596
ZNF676,0.18211574383781015
MEPCE,0.179931696026151
TBC1D3,0.17703095342655722
PPP1CA,0.17589097554935526
HNRNPU,0.17582669462283937
BRD4,0.1756055623978472
TIMM8A,0.17537384689042612
FDPS,0.1753075217513332
GCOM1,0.1750215859074475
EFR3A,0.17474300837034223
DDX17,0.17397330867907085
H2AFZ,0.17389959617638795
PGAM5,0.17330067524062676
GYG1,0.17275927159861976
GSK3B,0.17149216885968543
LPA,0.17133845173432832
LAMTOR4,0.1694599970282808
MRPL43,0.169413057073517
THRAP3,0.16915559657261744
TVP23C,0.16809701936570304
FBLIM1,0.16744064981591852
S100A1,0.16710646480989244
NBPF15,0.1667613478397254
DRG1,0.16374496112000791
POGZ,0.16044144491588375
RCOR1,0.16028237143187318
CASC3,0.15947830612009045
WDR54,0.15898555612421789
PTEN,0.1571233055422563
FBXO42,0.15670358422347314
SNAPC4,0.1561801796239123
MRPS25,0.15415196645259277
ABHD17A,0.15381157319509337
DNAAF3,0.15363752092585553
PKM,0.15005951957207248
MRPL11,0.1488837971966782
ZC3H18,0.1473070783047993
AQP7,0.14445281141140148
MCL1,0.14308380644202678
ARGFX,0.14265853494246414
THOC6,0.1424179254098496
NPM3,0.14176471578808353
COX7B,0.14169547010945838
PGD,0.13988816760495942
HLA-C,0.13702016476531664
PSMA5,0.13683801951428903
ACTB,0.13575123144739232
HIST1H2AI,0.13573470538706647
PCNX3,0.13548128114114016
NAA35,0.13465103036106385
TUFM,0.13337139885423718
CLK2,0.1329049241386142
GTF3C6,0.13253454953690713
MSRB1,0.13237317231018136
SLC35G6,0.13175101880437828
MYO1H,0.1310647544204322
LRRC37A3,0.1303575704545078
OR7A10,0.12963827178022497
EIF3L,0.1292328077793003
UROD,0.12888601211801018
CCDC144NL,0.1284829941721285
TREML2,0.12846387875385906
NEMF,0.12792320219246842
TPT1,0.12684519720658405
BTF3L4,0.1260680900100708
UBTF,0.12564452295653028
MRPL53,0.12555192484852482
DEPDC5,0.12540782156477528
CT45A5,0.12474289412425091
CABIN1,0.12400172128576367
HCRTR1,0.1225518489045912
NAGLU,0.12212738802397186
NDUFS3,0.11825009922240019
FAM207A,0.11784794670717
NPB,0.1170695230390781
BTAF1,0.1169495593600898
TWF1,0.11682284855789071
NAA30,0.11637983259315517
SP1,0.11606241336613238
METTL23,0.11521402783510255
CDK6,0.11384188406993437
NAE1,0.11284993280612834
PC,0.1126476069406151
HS6ST1,0.11171479156692149
METTL21A,0.11151127040993222
UBE2L3,0.11126824057717374
LCN10,0.10949973221508658
USP19,0.1087992088623268
CACNB3,0.10762981822984584
ZNF718,0.10748789354641673
ZNF468,0.10711829423321387
EPS8L1,0.106743643327665
C17orf58,0.10648412606692967
PSMD11,0.10578829406811835
MRPS18A,0.10537603539647701
MRPS27,0.10514668207558082
RNF14,0.10500486866652355
SRSF11,0.10450201119347549
COQ2,0.10377985306499801
SLC7A5,0.10374389592379198
POTEI,0.10330670122665969
SSBP3,0.10275502137986821
CYP2A13,0.10267476251011218
HIST1H2BJ,0.1025455845206452
MRPL39,0.10081551039276215
CLOCK,0.10080423899225695
COX10,0.10074137260405135
CCNK,0.10015820838354993
AP2M1,0.09994834425715277
SRPRB,0.09929182876293924
PUM1,0.09590308893694996
PLEKHN1,0.09492709580492312
SUPT20H,0.0944419930329696
KXD1,0.09299494015287844
MANF,0.0916283647289957
MRPL46,0.09040321407934493
PPA2,0.08930683330306576
LST1,0.08885210678377439
TFB1M,0.08879217117102234
COX6C,0.08858609037328102
PSMD7,0.0879260497597861
COQ5,0.08744330653282939
RHOQ,0.08633442043222021
DBF4,0.08631752686929373
GPS2,0.08522696901157313
ARFRP1,0.0848225910088985
DOLK,0.0837732201878788
OTOP1,0.08154726585329627
HIST1H2AE,0.07980623664790099
IFITM3,0.0784796942431197
METTL17,0.07678096349738314
HIST2H3A,0.0762842479074145
TBCA,0.07602709613511417
MON1A,0.07537286622310993
ARHGAP11B,0.07443668488220438
TFRC,0.07373035479024609
