perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
9379_TTC19_P1P2_ENSG00000011295,TTC19,-0.2377763512746413,-0.14457868663719028,0.09319766463745102
7923_SIRT2_P1P2_ENSG00000068903,SIRT2,-0.2384516502342823,-0.12017646211131044,0.11827518812297186
6296_PHIP_P1P2_ENSG00000146247,PHIP,-0.2388641577714283,-0.05778715768628014,0.18107700008514815
1471_HDHD5_P1P2_ENSG00000069998,HDHD5,-0.23895476492261702,-0.09710994482071857,0.14184482010189847
6610_PPARG_P2_ENSG00000132170,PPARG,-0.23909243077686018,-0.06609116589266736,0.17300126488419282
2664_EPC1_P1P2_ENSG00000120616,EPC1,-0.23986746705418827,-0.14176936271888857,0.09809810433529971
3107_FLI1_P1P2_ENSG00000151702,FLI1,-0.2399203743392859,-0.07705729130348402,0.16286308303580188
10561_ZNF699_ENST00000308650.3_ENSG00000196110,ZNF699,-0.24013044752823254,-0.08249929108345189,0.15763115644478065
6756_PRKAR1B_P2_ENSG00000188191,PRKAR1B,-0.24018818444174683,-0.12546505699998578,0.11472312744176107
1494_CEP104_P1P2_ENSG00000116198,CEP104,-0.240821095999741,-0.13297569849585283,0.10784539750388815
5439_NABP2_P1_ENSG00000139579,NABP2,-0.24101012429871696,-0.06683494718377964,0.17417517711493732
8276_SOS1_P1P2_ENSG00000115904,SOS1,-0.2410807640430962,-0.14007571073725333,0.10100505330584288
4817_MAP4K2_P1P2_ENSG00000168067,MAP4K2,-0.24111825797458886,-0.05877886607443004,0.18233939190015883
6973_PYCR2_P1P2_ENSG00000143811,PYCR2,-0.24122518110400856,-0.18587559328178896,0.0553495878222196
3027_FBXO5_P1P2_ENSG00000112029,FBXO5,-0.24175134295828124,-0.15206918405642264,0.0896821589018586
9205_TPM3_P1P2_ENSG00000143549,TPM3,-0.24200787860653145,-0.09140607204450805,0.1506018065620234
1241_CCDC106_P1P2_ENSG00000173581,CCDC106,-0.2420955863586151,-0.18728103001311974,0.05481455634549538
262_ALDOC_P1P2_ENSG00000109107,ALDOC,-0.2424598004504553,-0.09799008601520048,0.1444697144352548
6297_PHKA2_P1P2_ENSG00000044446,PHKA2,-0.24248645355959184,-0.07337247482377729,0.16911397873581455
1074_C2orf42_ENST00000264434.2_ENSG00000115998,C2orf42,-0.24251470436136524,-0.12696036730399218,0.11555433705737306
2367_DPY30_P1P2_ENSG00000162961,DPY30,-0.242872785617928,-0.11729740869696845,0.12557537692095955
7369_RNF187_P2_ENSG00000168159,RNF187,-0.243150831066759,-0.10841387090125654,0.13473696016550246
9269_TRIM26_P1P2_ENSG00000234127,TRIM26,-0.24318139164729388,-0.09908096524216448,0.1441004264051294
9233_TRAF7_P2_ENSG00000131653,TRAF7,-0.24320127820773502,-0.09995490825922326,0.14324636994851175
1503_CEP290_P1P2_ENSG00000198707,CEP290,-0.24340190022367816,-0.16483742955383138,0.07856447066984679
41_ABHD13_P1P2_ENSG00000139826,ABHD13,-0.24342032618294032,-0.0777204962880649,0.16569982989487542
3899_HOXB1_P1P2_ENSG00000120094,HOXB1,-0.2434471201142833,-0.1456044850011796,0.0978426351131037
10277_ZNF304_P1P2_ENSG00000131845,ZNF304,-0.24358850434781948,-0.12301367782803051,0.12057482651978899
6039_PAGR1_P1P2_ENSG00000280789,PAGR1,-0.2436214372377351,-0.11818064898016419,0.1254407882575709
5692_NKX2-3_P1P2_ENSG00000119919,NKX2-3,-0.24364095048009357,-0.12281688569475192,0.12082406478534165
8150_SMARCD1_P1P2_ENSG00000066117,SMARCD1,-0.24364744296754232,-0.14352344693042468,0.10012399603711764
9038_PACC1_P1P2_ENSG00000065600,PACC1,-0.24365551235816382,-0.13655824504804112,0.1070972673101227
10620_ZNF771_P1P2_ENSG00000179965,ZNF771,-0.2437836515728807,-0.12332513624368256,0.12045851532919814
910_BSCL2_P1_ENSG00000168000,BSCL2,-0.24382918888791213,-0.13637384926961663,0.10745533961829551
4495_LACTB2_P1P2_ENSG00000147592,LACTB2,-0.2442181425938842,-0.07653354531099991,0.16768459728288426
7982_SLC25A12_P1P2_ENSG00000115840,SLC25A12,-0.24437916903740348,-0.15956587965308444,0.08481328938431905
3348_GFOD1_P1P2_ENSG00000145990,GFOD1,-0.24445902925669039,-0.10756781968261767,0.13689120957407272
9411_TUBA4A_P1P2_ENSG00000127824,TUBA4A,-0.24470041892157182,-0.09104502820944871,0.1536553907121231
6463_PLSCR1_P1P2_ENSG00000188313,PLSCR1,-0.24476964622657604,-0.12571143455266465,0.11905821167391141
4767_MAGEC1_P1P2_ENSG00000155495,MAGEC1,-0.24495267603774218,-0.16373880260508689,0.08121387343265529
408_APMAP_P1P2_ENSG00000101474,APMAP,-0.24495785267971765,-0.09752677225261296,0.14743108042710468
9444_TWSG1_P1P2_ENSG00000128791,TWSG1,-0.24549970977531033,-0.08046783843210444,0.1650318713432059
4559_LEUTX_ENST00000396841.4_ENSG00000213921,LEUTX,-0.24591361586968472,-0.19277726384555863,0.053136352024126095
8342_SPECC1L_P1P2_ENSG00000100014,SPECC1L,-0.2459935808202414,-0.14335144750685544,0.10264213331338595
1879_CRTAP_P1P2_ENSG00000170275,CRTAP,-0.24634184258713282,-0.1169689052933953,0.1293729372937375
1243_MCUB_P1P2_ENSG00000005059,MCUB,-0.24649985084237297,-0.09767552851083507,0.14882432233153792
9513_UBE2N_P1P2_ENSG00000177889,UBE2N,-0.2470473500988281,-0.080119190951898,0.16692815914693013
1095_C4orf48_P1P2_ENSG00000243449,C4orf48,-0.24718417439916862,-0.1543749060588689,0.09280926834029973
3100_FKBP7_P1P2_ENSG00000079150,FKBP7,-0.24737721490085568,-0.15371015152993947,0.0936670633709162
6662_PPP1R16A_P1P2_ENSG00000160972,PPP1R16A,-0.2475407904586926,-0.08254422786979211,0.16499656258890047
73_ACAP2_P1P2_ENSG00000114331,ACAP2,-0.2477149788443329,-0.13141375778452088,0.11630122105981203
5067_MIEN1_P1P2_ENSG00000141741,MIEN1,-0.24780731315588547,-0.09431766589033758,0.1534896472655479
5863_NUDT14_P1P2_ENSG00000183828,NUDT14,-0.2478246732702994,-0.06809937537866857,0.17972529789163083
10509_ZNF621_P1P2_ENSG00000172888,ZNF621,-0.24783808232036855,-0.10416966890885204,0.1436684134115165
7728_SDHD_P1P2_ENSG00000204370,SDHD,-0.24799966186071773,-0.12007729127249431,0.12792237058822342
8998_TMEM134_P1P2_ENSG00000172663,TMEM134,-0.2482979681612866,-0.22608626933249773,0.022211698828788873
9385_TTC32_P1P2_ENSG00000183891,TTC32,-0.24840135105461147,-0.1456246290778148,0.10277672197679669
8510_STK11IP_P1P2_ENSG00000144589,STK11IP,-0.24848358224504527,-0.09093965919320732,0.15754392305183795
10526_ZNF649_P1P2_ENSG00000198093,ZNF649,-0.24853180387347512,-0.11310279212396969,0.13542901174950545
4867_MATR3_P1P2_ENSG00000280987,MATR3,-0.2488322908365145,-0.18138966236977194,0.06744262846674257
1900_CSNK1E_P1P2_ENSG00000213923,CSNK1E,-0.24888272229754738,-0.09016488701496674,0.15871783528258065
1228_CBX1_P1P2_ENSG00000108468,CBX1,-0.2494716443411362,-0.17915986804079415,0.07031177630034205
4759_MAGEA1_P1P2_ENSG00000198681,MAGEA1,-0.2500417298540109,-0.17339556303468404,0.07664616681932686
10366_ZNF442_P1P2_ENSG00000198342,ZNF442,-0.25068532502930285,-0.06495380033500919,0.18573152469429363
10562_ZNF699_ENST00000591998.1_ENSG00000196110,ZNF699,-0.2507952133866169,-0.13116583068748297,0.11962938269913394
1761_COMMD4_P1P2_ENSG00000140365,COMMD4,-0.2514442315548828,-0.06741292722874204,0.18403130432614082
1711_CNN1_P2_ENSG00000130176,CNN1,-0.2515646905527382,-0.09924521694395483,0.1523194736087834
449_ARFGEF2_P1P2_ENSG00000124198,ARFGEF2,-0.25191801878289155,-0.12922425160880968,0.1226937671740819
5891_NUP205_P1P2_ENSG00000155561,NUP205,-0.2522460063970823,-0.076690049291,0.1755559571060823
7681_SCAMP2_P2_ENSG00000140497,SCAMP2,-0.25235707169707333,-0.09712234117557247,0.15523473052150083
3143_FOXA2_P1P2_ENSG00000125798,FOXA2,-0.25258102172586294,-0.12996493381121005,0.1226160879146529
5960_OR7A17_ENST00000327462.2_ENSG00000185385,OR7A17,-0.25294558250686894,-0.1767301824898355,0.07621540001703347
2559_EIF4A2_P1_ENSG00000156976,EIF4A2,-0.253126998877874,-0.15010436181240364,0.10302263706547034
6122_PCGF2_P1_ENSG00000277258,PCGF2,-0.2534013968045909,-0.1338202001701333,0.1195811966344576
4373_KIDINS220_P1P2_ENSG00000134313,KIDINS220,-0.2539216945996061,-0.10361648157358924,0.1503052130260169
321_ANKMY1_P1P2_ENSG00000144504,ANKMY1,-0.2541849164638448,-0.14880739318602657,0.10537752327781823
2620_EME1_P1P2_ENSG00000154920,EME1,-0.25423321081481154,-0.10409374123538298,0.15013946957942853
10367_ZNF443_P1P2_ENSG00000180855,ZNF443,-0.25424454400123975,-0.17937835379505868,0.07486619020618106
3420_GMFG_P1P2_ENSG00000130755,GMFG,-0.2545549867344018,-0.1247026811765907,0.12985230555781113
1674_CLPTM1L_P1P2_ENSG00000049656,CLPTM1L,-0.25509517511798563,-0.1357648783375205,0.11933029678046513
1708_CNIH1_P1P2_ENSG00000100528,CNIH1,-0.255472453476628,-0.12555493057266057,0.12991752290396744
8686_TAOK3_P1_ENSG00000135090,TAOK3,-0.25577377653262257,-0.09964344984357042,0.15613032668905213
6995_R3HCC1_P2_ENSG00000104679,R3HCC1,-0.2560376969793363,-0.1433080602648757,0.1127296367144606
5941_ONECUT1_P1P2_ENSG00000169856,ONECUT1,-0.25616081203960794,-0.0642797485399384,0.19188106349966952
8471_ST3GAL4_P1P2_ENSG00000110080,ST3GAL4,-0.256577767249595,-0.07993014654040831,0.17664762070918674
9998_ZBTB44_P1P2_ENSG00000196323,ZBTB44,-0.25664893982853354,-0.14317324990585797,0.11347568992267554
2919_SHLD2_P1P2_ENSG00000122376,SHLD2,-0.25682568161345104,-0.15032284756666692,0.10650283404678411
10208_ZNF213_P1P2_ENSG00000085644,ZNF213,-0.25692104875240784,-0.13399839777113057,0.12292265098127725
4338_KHK_P1P2_ENSG00000138030,KHK,-0.2572950373892419,-0.16060097528321518,0.09669406210602673
10582_ZNF714_P1P2_ENSG00000160352,ZNF714,-0.2575131184114653,-0.16181891714740987,0.09569420126405544
6239_PFDN4_P1P2_ENSG00000101132,PFDN4,-0.2576686237676813,-0.11057858436725933,0.14709003940042198
10400_ZNF497_P1P2_ENSG00000174586,ZNF497,-0.25813251602591786,-0.09518386118561294,0.1629486548403049
728_B3GNT2_P1P2_ENSG00000170340,B3GNT2,-0.2583356644878742,-0.18715861600895758,0.07117704847891664
7817_SETD3_P1P2_ENSG00000183576,SETD3,-0.2587653777189594,-0.10906622907533525,0.14969914864362416
10352_ZNF429_P1P2_ENSG00000197013,ZNF429,-0.25894728371002074,-0.10587261815662766,0.15307466555339308
1571_CHFR_P1P2_ENSG00000072609,CHFR,-0.25930650233094454,-0.14956357083199487,0.10974293149894969
10521_ZNF641_P1P2_ENSG00000167528,ZNF641,-0.2593344893445107,-0.08518465145323666,0.17414983789127403
9033_TMEM199_P1P2_ENSG00000244045,TMEM199,-0.25959354217950625,-0.15195916640711546,0.10763437577239081
7925_SIRT5_P1P2_ENSG00000124523,SIRT5,-0.2597671131128737,-0.13445551335629088,0.12531159975658285
1920_CT45A5_P1P2_ENSG00000228836,CT45A5,-0.25993758032113523,-0.13389612784360197,0.12604145247753326
5634_NFE4_P1P2_ENSG00000230257,NFE4,-0.2600074830806573,-0.08900427829196127,0.17100320478869604
2407_DUSP23_P1P2_ENSG00000158716,DUSP23,-0.26085791189895013,-0.06862002228244504,0.1922378896165051
739_B4GALT7_P1P2_ENSG00000027847,B4GALT7,-0.26103160394647185,-0.16331732654012787,0.097714277406344
3760_HIST1H2BC_P1P2_ENSG00000180596,HIST1H2BC,-0.2610673380870596,-0.079879011576639,0.18118832651042063
740_B9D1_P1P2_ENSG00000108641,B9D1,-0.2618983770750629,-0.17795742162016948,0.08394095545489345
558_ARX_P2_ENSG00000004848,ARX,-0.2621618120109365,-0.16109527993292844,0.1010665320780081
7812_SESN2_P1P2_ENSG00000130766,SESN2,-0.2621711605343021,-0.1420079925497867,0.12016316798451546
10298_ZNF337_P1P2_ENSG00000130684,ZNF337,-0.26218878177402527,-0.0953574101535428,0.1668313716204825
5833_NSUN2_P1P2_ENSG00000037474,NSUN2,-0.2630381992623708,-0.17900336406079267,0.08403483520157816
6285_PHF20L1_P1P2_ENSG00000129292,PHF20L1,-0.2631491502473903,-0.1309643899211382,0.13218476032625204
10357_ZNF436_P1_ENSG00000125945,ZNF436,-0.26315709250872227,-0.10792111579589529,0.15523597671282696
2801_EYA3_P1P2_ENSG00000158161,EYA3,-0.2631763387322879,-0.06526370920630602,0.1979126295259819
10290_ZNF329_P1_ENSG00000181894,ZNF329,-0.2635169582521318,-0.12480340155976917,0.1387135566923626
6948_PUM1_P1P2_ENSG00000134644,PUM1,-0.2637953044857183,-0.1569626451341927,0.1068326593515256
6123_PCGF3_P1P2_ENSG00000185619,PCGF3,-0.26385665923757273,-0.13882212935285998,0.12503452988471275
6665_PPP1R18_P1_ENSG00000146112,PPP1R18,-0.26395031609913516,-0.14817207999987228,0.1157782360992629
6112_PCBP2_P2_ENSG00000197111,PCBP2,-0.26397338828540917,-0.13760418748866618,0.12636920079674302
2889_FAM193B_P1P2_ENSG00000146067,FAM193B,-0.26464231825072704,-0.09048874178547228,0.17415357646525476
1116_C6orf89_P1P2_ENSG00000198663,C6orf89,-0.26481857476812337,-0.09036632778131287,0.1744522469868105
6985_QPRT_P1_ENSG00000103485,QPRT,-0.2648799790875483,-0.12774908538143745,0.13713089370611084
565_ASB1_P1P2_ENSG00000065802,ASB1,-0.26520449587649125,-0.09179655722234209,0.17340793865414916
3511_GPR61_P1P2_ENSG00000156097,GPR61,-0.265204788713155,-0.15508924600720886,0.11011554270594613
6356_PIK3CG_P1P2_ENSG00000105851,PIK3CG,-0.2652219985838767,-0.1964496839704211,0.06877231461345558
7075_RAD54L_P1P2_ENSG00000085999,RAD54L,-0.2654588056337359,-0.15351800802973492,0.11194079760400102
2862_FAM156B_ENST00000509613.1_ENSG00000179304,FAM156B,-0.26556094111915635,-0.09249695127147395,0.1730639898476824
10014_ZBTB8B_P1P2_ENSG00000273274,ZBTB8B,-0.266511534669061,-0.1992109720136759,0.0673005626553851
5929_OGFOD2_P1P2_ENSG00000111325,OGFOD2,-0.2667342394662148,-0.09290758052594175,0.173826658940273
806_BCL7A_P1P2_ENSG00000110987,BCL7A,-0.2673306243430622,-0.0963677130739673,0.17096291126909488
2050_DCAF12_P1P2_ENSG00000198876,DCAF12,-0.26903846965628264,-0.14407663426568765,0.12496183539059497
