"gene","age_var_pvalue","age_var_fdr"
"12",0.57830012527385,0.999966329153629
"13",0.476320746943775,0.999966329153629
"14",0.497941676723171,0.999966329153629
"15",0.386146187582428,0.999966329153629
"16",0.161177716103694,0.999966329153629
"17",0.954176376434711,0.999966329153629
"18",0.980396392406407,0.999966329153629
"19",0.719822094861288,0.999966329153629
"20",0.971811123926248,0.999966329153629
"21",0.785369043948433,0.999966329153629
"22",0.732957747924491,0.999966329153629
"23",0.443899419889891,0.999966329153629
"24",0.736722115491139,0.999966329153629
"26",0.852534670183496,0.999966329153629
"27",0.419138092355427,0.999966329153629
"28",0.602996035120331,0.999966329153629
"29",0.535428235026275,0.999966329153629
"30",0.382736509373235,0.999966329153629
"31",0.633871913686623,0.999966329153629
"32",0.495995563313982,0.999966329153629
"33",0.473179774464182,0.999966329153629
"34",0.313089230380512,0.999966329153629
"35",0.931485833331693,0.999966329153629
"36",0.754956743043023,0.999966329153629
"37",0.541765663943846,0.999966329153629
"38",0.364508657291343,0.999966329153629
"40",0.596613436515793,0.999966329153629
"41",0.615898502016814,0.999966329153629
"42",0.696012537830516,0.999966329153629
"43",0.367464468878983,0.999966329153629
"44",0.591511560462098,0.999966329153629
"45",0.391760483748386,0.999966329153629
"46",0.636162704226302,0.999966329153629
"47",0.706882757042397,0.999966329153629
"48",0.558757415383347,0.999966329153629
"49",0.852025155073381,0.999966329153629
"50",0.78281765776975,0.999966329153629
"51",0.408697546841104,0.999966329153629
"52",0.95217907336372,0.999966329153629
"53",0.183762399351841,0.999966329153629
"54",0.760868235396415,0.999966329153629
"55",0.504328981755243,0.999966329153629
"56",0.349372937084583,0.999966329153629
"57",0.958190948778612,0.999966329153629
"58",0.553421697767911,0.999966329153629
"59",0.761257275510257,0.999966329153629
"60",0.542055555527012,0.999966329153629
"61",0.969233167379216,0.999966329153629
"62",0.595417076576386,0.999966329153629
"63",0.958670316565439,0.999966329153629
"64",0.202634017064656,0.999966329153629
"65",0.590971010711388,0.999966329153629
"66",0.1196895859639,0.999966329153629
"67",0.641411219951373,0.999966329153629
"68",0.955358640652245,0.999966329153629
"69",0.544046347013555,0.999966329153629
"70",0.90500336954097,0.999966329153629
"71",0.655437211849273,0.999966329153629
"73",0.851270521335428,0.999966329153629
"74",0.693008848051805,0.999966329153629
"96",0.157063823491825,0.999966329153629
"97",0.837795891949415,0.999966329153629
"99",0.262547588276867,0.999966329153629
"100",0.562148339587648,0.999966329153629
"101",0.075091242363929,0.999966329153629
"102",0.83414485696632,0.999966329153629
"103",0.973787197979606,0.999966329153629
"104",0.597016853343201,0.999966329153629
"106",0.697361189781338,0.999966329153629
"107",0.419402547638175,0.999966329153629
"108",0.520378311345221,0.999966329153629
"109",0.124475170261163,0.999966329153629
"110",0.217855538703049,0.999966329153629
"111",0.891546715852472,0.999966329153629
"112",0.248687232924077,0.999966329153629
"113",0.845126964206725,0.999966329153629
"114",0.051858593420408,0.999966329153629
"115",0.989604530333175,0.999966329153629
"116",0.367193285979136,0.999966329153629
"118",0.679398055239597,0.999966329153629
"119",0.00660912979376608,0.654527346725627
"120",0.738381091194355,0.999966329153629
"121",0.190853048425593,0.999966329153629
"123",0.535966019194628,0.999966329153629
"124",0.489104083065434,0.999966329153629
"125",0.740188066252928,0.999966329153629
"126",0.321857563278488,0.999966329153629
"127",0.027830900391227,0.910227130092617
"128",0.639456800637864,0.999966329153629
"129",0.855905707042038,0.999966329153629
"130",0.232387619219102,0.999966329153629
"131",0.0755708967675608,0.999966329153629
"132",0.45664945459946,0.999966329153629
"133",0.431170479384836,0.999966329153629
"134",0.949618628299761,0.999966329153629
"136",0.694852593745604,0.999966329153629
"137",0.366617302360834,0.999966329153629
"138",0.207929893297197,0.999966329153629
"140",0.323084616136481,0.999966329153629
"142",0.0605186005381044,0.999966329153629
"143",0.690613265899214,0.999966329153629
"144",0.463557742953197,0.999966329153629
"145",0.11567914125722,0.999966329153629
"146",0.628565143690566,0.999966329153629
"147",0.560700724433663,0.999966329153629
"148",0.409071932774478,0.999966329153629
"150",0.484415952400634,0.999966329153629
"151",0.0862741457312368,0.999966329153629
"152",0.532071269393154,0.999966329153629
"153",0.0690900214212762,0.999966329153629
"155",0.62495282673133,0.999966329153629
"156",0.0114769280796233,0.732950235614573
"157",0.626100002329876,0.999966329153629
"158",0.949439581535207,0.999966329153629
"159",0.672231359438825,0.999966329153629
"181",0.742901941947684,0.999966329153629
"182",0.88093598172369,0.999966329153629
"183",0.78527444481535,0.999966329153629
"184",0.777535115550065,0.999966329153629
"185",0.263460488979137,0.999966329153629
"186",0.623808564453665,0.999966329153629
"187",0.503385646455239,0.999966329153629
"188",0.936620325303199,0.999966329153629
"189",0.60423151109281,0.999966329153629
"190",0.151539113935544,0.999966329153629
"192",0.208494678928887,0.999966329153629
"193",0.140752566972757,0.999966329153629
"194",0.634271898541085,0.999966329153629
"195",0.963615436520482,0.999966329153629
"196",0.699730241532962,0.999966329153629
"197",0.802622353178758,0.999966329153629
"198",0.440449688488711,0.999966329153629
"199",0.843256923223628,0.999966329153629
"200",0.27127460053524,0.999966329153629
"201",0.198014789429295,0.999966329153629
"202",0.262317154476284,0.999966329153629
"203",0.377886802821556,0.999966329153629
"204",0.880638340545647,0.999966329153629
"205",0.902685755307399,0.999966329153629
"206",0.895605438128934,0.999966329153629
"207",0.427944947475699,0.999966329153629
"208",0.0174170705370164,0.814964261185486
"210",0.391194794584681,0.999966329153629
"211",0.657777375840682,0.999966329153629
"212",0.47901228580507,0.999966329153629
"213",0.482150524848233,0.999966329153629
"214",0.26051189767756,0.999966329153629
"216",0.00959525366660602,0.713984392614967
"217",0.956026066916759,0.999966329153629
"218",0.584044738853462,0.999966329153629
"219",0.54937444666577,0.999966329153629
"220",0.23906996938062,0.999966329153629
"221",0.84428380304809,0.999966329153629
"222",0.25774661391133,0.999966329153629
"223",0.00784337789481863,0.680796839050968
"224",0.40478775360171,0.999966329153629
"225",0.10128238273174,0.999966329153629
"227",0.505087226734557,0.999966329153629
"228",0.295896048349878,0.999966329153629
"229",0.0826127020293922,0.999966329153629
"230",0.22708420109585,0.999966329153629
"231",0.591651345697787,0.999966329153629
