"gene","mean_control","mean_amd","var_control","var_amd","cv_control","cv_amd","f_stat","f_pvalue","levene_pvalue","extreme_freq_control","extreme_freq_amd","f_fdr","levene_fdr","var_fc","cv_diff"
"12",2.85449583631162,2.80647596949473,0.421942973637417,0.375715271464285,0.227560727550351,0.218407697922232,0.890440876939792,0.77657258478126,0.510870817790283,0.0869565217391304,0.04,0.934261842033567,0.958902336732519,-0.167411690910626,-0.00915302962811906
"13",2.14284080252873,2.19514260450422,0.374953487409133,0.25835169057076,0.285758125692753,0.23154889734534,0.68902330354607,0.328997745473307,0.558859961711047,0.0869565217391304,0.04,0.713283674285104,0.965184413913714,-0.537379165216371,-0.0542092283474128
"14",4.90401731697733,4.83392497907144,0.244049520660852,0.338762113242051,0.100736508870618,0.120405803674694,1.38808759929022,0.336906273263912,0.592307742770459,0,0.08,0.718400872100974,0.968383896162134,0.47309270476747,0.0196692948040757
"15",2.37175773410051,2.30456454787479,0.279723133307221,0.350437408444908,0.222994259690463,0.256871643783869,1.25280095464976,0.503639971476327,0.885659314289684,0.0434782608695652,0.08,0.821621390797685,0.993105831666318,0.325152059520464,0.0338773840934059
"16",8.26309832777092,7.77187570105207,0.905376896367734,0.601055106425445,0.115152065041384,0.0997542122936776,0.663872812346779,0.282546406338543,0.124975648451578,0.0434782608695652,0.04,0.678362865835936,0.916459201677507,-0.591022818133164,-0.0153978527477062
"17",2.13067175019692,2.15057243834074,0.366558486267975,0.1761658067655,0.284154728664725,0.195167064955795,0.480593993496341,0.0564009579937546,0.0598797541499485,0.0434782608695652,0.04,0.388253740386826,0.916459201677507,-1.05711341300806,-0.0889876637089301
"18",3.34317189618245,3.51015726031955,0.315313218150229,0.260368945794338,0.167962469495133,0.145367691819185,0.825747005855896,0.624332486539474,0.141185071945861,0.0434782608695652,0.08,0.877719429412488,0.916459201677507,-0.276232836981343,-0.0225947776759478
"19",11.5745182157224,11.6876498933798,0.129343281627809,0.246775956585045,0.0310719834886854,0.0425034507867601,1.90791476356038,0.0607894814379859,0.610168323867216,0.0217391304347826,0.04,0.399996037047352,0.97076429421614,0.931985566161856,0.0114314672980747
"20",2.21255801811391,2.30723741542371,0.300299457678905,0.209182918345475,0.247675135914752,0.19823057226661,0.696581072647635,0.343564165577866,0.480195526003757,0.0434782608695652,0,0.723931814907694,0.953537450512592,-0.521641626212135,-0.0494445636481426
"21",2.02882469962618,1.98254228768766,0.132337913522149,0.260082185508047,0.179307065905107,0.257236519212434,1.9652885449529,0.0499068294702847,0.0149909549062801,0.0434782608695652,0,0.37456186803055,0.916459201677507,0.9747302439078,0.0779294533073265
"22",11.3420401654823,11.5423433078426,0.165142692735277,0.29048892840841,0.0358293114052695,0.0466950416476538,1.75901775365903,0.10095783306322,0.71555746102578,0.0217391304347826,0.04,0.478974422427387,0.979050861638418,0.814761307891634,0.0108657302423843
"23",2.11044101541195,1.99587634771281,0.254214258432589,0.164897743463164,0.238905709281745,0.203457407888247,0.648656548534592,0.256053367038803,0.156663518673614,0.0652173913043478,0.04,0.658188583665366,0.916459201677507,-0.62447896954852,-0.0354483013934988
"24",6.95358944222152,7.17525543695125,0.176060281608882,0.158489631113986,0.0603422623071188,0.0554833915330838,0.900200940641857,0.799590107744249,0.360329326343772,0.0434782608695652,0.04,0.942079428014774,0.942420455540057,-0.151689216956986,-0.00485887077403496
"26",4.82549166566429,4.84782770416363,0.630888361124191,0.334633382743729,0.164601806721031,0.119326627377172,0.530416161343412,0.0973433255507797,0.322122983341015,0.0652173913043478,0,0.47388700398741,0.93577876330442,-0.914805647803702,-0.0452751793438596
"27",4.48934336533198,4.13323465704466,0.320567750868497,0.224206377804396,0.126117976723443,0.114560213375412,0.699404032991358,0.349073207030541,0.487405363072387,0.0652173913043478,0.04,0.727938634263374,0.95433721155284,-0.515806480208657,-0.0115577633480315
"28",1.82222983811394,1.93303848762909,0.177122447714865,0.148410871572104,0.230958212980931,0.199293040048947,0.837899845484397,0.652729141224692,0.78961255789215,0.0434782608695652,0.04,0.889771226937417,0.985619200374501,-0.255158431754764,-0.031665172931984
"29",1.90908550386413,1.92508713986834,0.222287622136461,0.291076357850819,0.24696307989087,0.28025466321232,1.30945823727481,0.427042864413769,0.565361797818205,0.0434782608695652,0.04,0.77889396507694,0.966056396905921,0.388963558154975,0.03329158332145
"30",7.92384441946982,8.17744372337611,0.243919444234729,0.0861829787847528,0.0623285776467166,0.0358998912708214,0.353325578676774,0.00776964343342334,0.0176202815657697,0.0434782608695652,0,0.18939083280045,0.916459201677507,-1.50093581393709,-0.0264286863758952
"31",2.67212623174906,2.82088140287121,0.885822038773227,0.409780885401919,0.352221698951246,0.226929453163395,0.462599560030616,0.0451129812124356,0.0716617827506802,0.0652173913043478,0,0.3590821645719,0.916459201677507,-1.1121658296818,-0.125292245787852
"32",2.76724665915014,2.70729148739722,0.283227043853551,0.139622491968793,0.192317733006683,0.138020156137436,0.492970198287236,0.0652054234722931,0.216446969351869,0.0869565217391304,0,0.40801394926148,0.921639876936579,-1.02043275520056,-0.0542975768692475
"33",3.22780704394635,3.49808496779183,0.162868637401799,0.251162984233424,0.125029078966693,0.143267386637237,1.54212000689735,0.207154173677668,0.273491259995541,0.0217391304347826,0.08,0.613010023426713,0.926730736962369,0.624906181323526,0.0182383076705444
"34",1.9718641254677,1.98187287146586,0.25694008839841,0.1744923353297,0.257062500970533,0.210771635495593,0.679116818311095,0.310320445289945,0.589120750867826,0.0217391304347826,0,0.70011215852571,0.968277667736041,-0.558273948713651,-0.0462908654749402
"35",5.12837957348653,5.10373481810189,0.109249092830588,0.114143286969882,0.0644508535562097,0.0661968008180018,1.04479848768066,0.874169134091694,0.994146584071849,0.0434782608695652,0,0.966257685601825,0.999902681812135,0.0632115082381574,0.00174594726179207
"36",3.09842701799898,3.08620355898087,1.2730203619186,0.536343654033234,0.364146603859843,0.23729952273918,0.421315848573621,0.0253898977732563,0.13417477984676,0.0217391304347826,0,0.289276024465081,0.916459201677507,-1.24702704161317,-0.126847081120663
"37",5.74627395583014,6.03355516771677,0.333053895707463,0.240411938327977,0.100431709725637,0.081265208687623,0.72184094354249,0.39410597938664,0.259899255003607,0.0434782608695652,0,0.757482528701709,0.925913248821736,-0.470251449931237,-0.0191665010380145
"38",6.16291639625589,6.12205793882125,0.150936367444446,0.232199809464662,0.063039186498944,0.0787106362807211,1.53839537413093,0.20966401371084,0.352718154759678,0.0434782608695652,0.08,0.615689102877988,0.941386710280469,0.621416771425393,0.015671449781777
"40",2.308623547982,2.191979450424,0.288272038915179,0.225611327748105,0.232566924985443,0.216692447163928,0.782633406268337,0.525433165090865,0.489096027105125,0.0434782608695652,0.04,0.834085940927253,0.954627577282727,-0.353596407326885,-0.0158744778215148
"41",3.5903269686171,3.48863097855279,0.881915620915511,0.409977931005811,0.26156485828065,0.183537614302263,0.464872059506345,0.0464427539592706,0.0261987135091852,0.0434782608695652,0,0.364152402434518,0.916459201677507,-1.10509601348364,-0.0780272439783876
"42",8.66895786616829,8.65777654944538,0.260467483783424,0.166187388842983,0.0588721389653048,0.0470860879102236,0.638035068443191,0.238322982690449,0.203638739952496,0.0434782608695652,0.04,0.643408614833949,0.920157797234635,-0.648297912452695,-0.0117860510550813
"43",2.06612432659629,2.02783948435532,0.158017874952161,0.260656733290139,0.192396181003816,0.251768089811534,1.64953954335263,0.145670472451554,0.348011552871642,0.0434782608695652,0.08,0.54388813666301,0.941386710280469,0.722054233200046,0.0593719088077178
"44",2.47416396179759,2.2694201383976,0.191793214065442,0.241256148956791,0.177005991158052,0.21643330924019,1.2578972104533,0.496331028880071,0.351091814608419,0.0869565217391304,0.08,0.817841276427734,0.941386710280469,0.331006514543817,0.0394273180821385
"45",10.3686283416037,10.6065620731751,0.185237627652335,0.448300817205881,0.0415090941203115,0.0631262638736024,2.42013905537204,0.0103434004881788,0.981218708934134,0.0217391304347826,0.04,0.211829645638434,0.99990125487821,1.27508215534355,0.0216171697532909
"46",2.20109360762453,2.46023732342,0.206887104548389,0.402887287415123,0.206646474767284,0.257996968356788,1.9473774757232,0.053080979334752,0.144379455828709,0.0434782608695652,0.12,0.38138974725148,0.916459201677507,0.961525586935101,0.051350493589504
"47",4.91028203152536,5.03005539383153,0.15522438743942,0.164696710160676,0.0802367725939407,0.0806806907836699,1.06102341827539,0.840411767438973,0.593248302254186,0.0434782608695652,0.04,0.955126304645815,0.968458734900713,0.0854472046825676,0.000443918189729262
