"gene","age_var_pvalue","age_var_fdr"
"12",0.771477791903531,0.999490789587033
"13",0.80703040685279,0.999490789587033
"14",0.595862781038241,0.999490789587033
"15",0.360003287196374,0.996273949246853
"16",0.100728308027743,0.865209611353755
"17",0.487752066143055,0.999490789587033
"18",0.0868399134880505,0.846623633411775
"19",0.565216155130809,0.999490789587033
"20",0.318547405966552,0.990139390975482
"21",0.36886534994231,0.997327838804715
"22",0.937407735267538,0.999490789587033
"23",0.836304666595405,0.999490789587033
"24",0.888653416984283,0.999490789587033
"26",0.776897358343709,0.999490789587033
"27",0.00270506375416611,0.380356098460107
"28",0.534669035916004,0.999490789587033
"29",0.541504883301678,0.999490789587033
"30",0.406208774859754,0.999490789587033
"31",0.190379324967049,0.947982942576547
"32",0.049768294688851,0.756028564403435
"33",0.663359445315515,0.999490789587033
"34",0.0334748064651535,0.705744176292035
"35",0.230724045639101,0.96401021382868
"36",0.00489971880933809,0.449457151727112
"37",0.678071668756471,0.999490789587033
"38",0.683570993825649,0.999490789587033
"40",0.48079971910724,0.999490789587033
"41",0.00227483821644246,0.355963267375523
"42",0.566733646256871,0.999490789587033
"43",0.600186106858583,0.999490789587033
"44",0.662580474831773,0.999490789587033
"45",0.769717056566819,0.999490789587033
"46",0.234977583534546,0.967178359611319
"47",0.573249165627578,0.999490789587033
"48",0.177139602947873,0.934765947036025
"49",0.439429215261979,0.999490789587033
"50",0.50756725128949,0.999490789587033
"51",0.260880922327767,0.971205070165722
"52",0.398441936388661,0.999490789587033
"53",0.838518150569287,0.999490789587033
"54",0.444824737278879,0.999490789587033
"55",0.702919141223161,0.999490789587033
"56",0.00613535617176477,0.491132077682009
"57",0.448386681855633,0.999490789587033
"58",0.980518748210179,0.999490789587033
"59",0.503156235437585,0.999490789587033
"60",0.230982714170261,0.96401021382868
"61",0.923861897915461,0.999490789587033
"62",0.727127631223939,0.999490789587033
"63",0.7568784876943,0.999490789587033
"64",0.0867971246801348,0.846623633411775
"65",0.596354954377459,0.999490789587033
"66",0.706580111153751,0.999490789587033
"67",0.49714623668508,0.999490789587033
"68",0.656472886162122,0.999490789587033
"69",0.267746762006448,0.971205070165722
"70",0.462581366978024,0.999490789587033
"71",0.325634219463776,0.99086720311034
"73",0.286760624943776,0.980080626387877
"74",0.92767817020712,0.999490789587033
"96",0.258133426497133,0.970693431751119
"97",0.267710383970502,0.971205070165722
"99",0.931168334626213,0.999490789587033
"100",0.789647611034784,0.999490789587033
