"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
0.0449951695827005,3.12678028535275,0.0860272716690789,0.931751788271673,0.984841434729025,-5.68740388060206,"12"
-0.0507324318494026,2.03615446161899,-0.158383824954851,0.874724509649549,0.972318916025816,-5.67941211031239,"13"
-0.255470744960834,4.61620421390127,-0.788236145534488,0.433884841749455,0.821789555676428,-5.41160500463676,"14"
-0.682757181030553,2.22786340941155,-2.01307237655435,0.0489268585341792,0.530571569262488,-3.92916897732989,"15"
0.187655184729964,8.20890113441313,0.294834455216971,0.76921133271757,0.944395385245342,-5.65148767848731,"16"
-0.312051719138552,2.10863834490156,-0.680843708772048,0.498777855357684,0.852540629076793,-5.48216268516883,"17"
0.527703576215069,2.96943604574906,1.27563799992767,0.207353151420465,0.696747827963865,-4.96681511332581,"18"
0.00107776539010839,11.5106192241338,0.00362653539672102,0.997119346415395,0.999605684470194,-5.69074315546201,"19"
-0.154618870088674,2.0626535809484,-0.434163129718203,0.6658393083828,0.914973255149088,-5.60569835473578,"20"
1.13507182007559,1.94213612936383,3.12907872728865,0.00278405305036587,0.263656569487487,-1.65023262764966,"21"
-0.0763134544752196,11.2369788689282,-0.236602222481822,0.813829292403728,0.957640744776265,-5.66545725274176,"22"
-0.526506681983533,2.10767345246088,-1.33756928381402,0.186447606231121,0.684606700031529,-4.89606425420947,"23"
-0.155644492495009,6.62841642559923,-0.451574196104161,0.653320985964489,0.910257940821153,-5.59875411826501,"24"
-1.03857830962515,4.48479843798564,-1.66047276997667,0.102412877456129,0.620592370041573,-4.47741783400453,"26"
-0.138962271390547,4.37949836474063,-0.321429632264825,0.74908227161771,0.93808345714789,-5.64409274939245,"27"
-0.253179327064745,1.85897925466947,-0.813171517643365,0.419565891416369,0.815276351161603,-5.3937813018433,"28"
0.173007357574489,1.78298104207513,0.597021106360673,0.552901131646928,0.874090272333987,-5.53019184217508,"29"
0.49399851854643,7.87791168566901,1.62468019670046,0.109850192205525,0.631146003422997,-4.52785463692449,"30"
0.351983233752533,2.48069295796431,0.687785724839358,0.4944286319551,0.850717497826781,-5.47790737950932,"31"
0.219265988840044,2.63766200556377,0.697363732789964,0.488462288530475,0.848060716906605,-5.47196673404756,"32"
-0.665560980231759,3.3337073464582,-1.58981527973633,0.11751040467602,0.636951516979573,-4.5760328294265,"33"
0.904394160055626,1.94523283204477,2.40185885604984,0.0196567318763679,0.442723118509194,-3.22271347320109,"34"
-0.178088421521749,4.92773814407877,-0.655171603784474,0.515041440526657,0.860381308443722,-5.4975307700522,"35"
0.216771668969457,3.29754514903739,0.321769452902905,0.748826170843608,0.93808345714789,-5.64399414689762,"36"
0.169731016395226,5.42144914082648,0.574641259889437,0.567836872160962,0.880437840441285,-5.54196492087965,"37"
-0.271436685625267,5.8841105196349,-0.796901119085535,0.428876446429408,0.81891551862721,-5.40547266599865,"38"
1.01550970633386,2.27513529469221,2.44597097363873,0.0176157716443875,0.432647495452229,-3.13624399366902,"40"
-0.692754031285868,3.56987910669123,-1.11172441384631,0.271009889180265,0.733178344656654,-5.1388076510597,"41"
-0.6594048423451,8.42611697111065,-2.06267511275894,0.0437960490291082,0.519792078617141,-3.84479337221856,"42"
-0.443460061669088,1.99266299500082,-1.15837719275912,0.25162960393434,0.725159382441789,-5.09213075313775,"43"
-0.193918035165504,2.58911610578043,-0.53891583496014,0.592082406795036,0.890683577966332,-5.55983817353784,"44"
