"gene","f_stat_adj","f_pvalue_adj","f_fdr_adj"
"12",0.889193949540474,0.773629507786488,0.934293852792818
"13",0.685785056771529,0.322839715875689,0.711489829670406
"14",1.62784567717695,0.156514088170113,0.553643553316604
"15",1.25901301012004,0.49474198876814,0.818522698595338
"16",0.871858315086653,0.732690325011956,0.92032423410711
"17",0.462787605943102,0.0452219906347876,0.356969891418231
"18",0.81120825261824,0.590612203744482,0.866279124012584
"19",1.92915674902496,0.0565131569521933,0.385719025514226
"20",0.696816365382692,0.344021942750985,0.727024378071415
"21",1.95867854241641,0.0510559087134088,0.373687559521255
"22",1.76762875044682,0.0980620441666553,0.472321017697299
"23",0.731083405502944,0.413259610903843,0.771006736760902
"24",0.952347016004825,0.921300167622063,0.978604012168455
"26",0.527592107661039,0.0946218611831705,0.466341664684456
"27",0.78985641452739,0.541747135152424,0.84328300629607
"28",0.861828408442223,0.709014889531735,0.913472478742632
"29",1.37096478279602,0.355017310750021,0.734748462833215
"30",0.352103378830008,0.00758093439594066,0.185247629700015
"31",0.491984704170615,0.064472285116989,0.406273713661652
"32",0.526347814099038,0.0934384657814293,0.463967191115248
"33",1.55346183658861,0.199680126469719,0.604019860207944
"34",0.707038756240307,0.364152809920048,0.740190194449121
"35",1.16055152714078,0.650706259957907,0.889618978017921
"36",0.406506681504921,0.0201689281252315,0.264701041336265
"37",0.741729285341102,0.435720349777371,0.785150720382905
"38",1.57248037923614,0.187701611638743,0.590755053134909
"40",0.798324238920096,0.561019555389662,0.853087630121875
"41",0.513857208681726,0.0820869342780627,0.441756804907536
"42",0.600336232132851,0.180744361961289,0.583183980515688
"43",1.56346847898815,0.193292536134293,0.596146423291774
"44",1.22265960703809,0.548600430209091,0.847353813793014
"45",2.52900963173807,0.00710927953920981,0.179222595145063
"46",1.93639212309044,0.0551249609866482,0.382035733680287
"47",1.0614770541329,0.839478543271948,0.955474013540812
"48",0.883631431232214,0.760496176427577,0.92942187867228
"49",1.31919846498702,0.414885570406428,0.771803416056082
"50",0.573101217573228,0.144584802712128,0.536371417951254
"51",0.626221490296006,0.219366006079644,0.621949121725011
"52",0.5410539071894,0.108041251439486,0.487543012925408
"53",1.34436605717798,0.384797604817655,0.75351160655157
"54",0.722325816519135,0.395102460357059,0.758955707969851
"55",1.87206451501872,0.0687342942022346,0.415954864687782
"56",0.622544857496143,0.21363379896866,0.616005749892051
"57",1.40577934862825,0.319036462644983,0.708942327395867
"58",0.587039214336467,0.162507978393624,0.561505740277985
"59",0.57335148207662,0.144895796213108,0.536913775095703
"60",0.512124984335478,0.0805878424195769,0.439024918841702
"61",1.18197655314235,0.614038626120935,0.875215841159685
"62",0.866785845741685,0.720713660070221,0.915680785696072
"63",0.855119318670694,0.693197613195266,0.907529525210139
"64",0.638757030170006,0.239507789974855,0.641346427357862
"65",0.904012350396928,0.808566881706149,0.945924638153038
"66",1.08510103649661,0.791706012497913,0.940568123566817
"67",0.365693122318799,0.00989226818027178,0.202184942866971
"68",1.22275050521639,0.54846035693223,0.847353813793014
"69",1.82257336951685,0.0813821593472432,0.440047628171086
"70",0.670340977338876,0.294184443505756,0.688072103201828
"71",0.611435414747007,0.196805834877745,0.600173145103269
"73",1.09277288435635,0.776549779412108,0.935492182990434
"74",0.969495187782966,0.960559292519658,0.989723940124855
"96",0.81389756856357,0.596825681414554,0.868500211467571
"97",0.863873142771646,0.713839198496956,0.914593892238428
"99",1.80639966023258,0.0859843780730407,0.45064035548954
"100",0.702203215642941,0.354571690937296,0.734522061282847
"101",0.621508783329158,0.212033010986934,0.614631889880113
"102",1.03869931677225,0.887045340295491,0.970198446142964
"103",0.947396224833518,0.909879981223695,0.975943808242358
"104",1.13317758484985,0.699752984651343,0.910096192447185
"106",1.47728256027765,0.254997664632925,0.655520988773586
"107",3.17028274554143,0.000822402486848173,0.0706886833559226
"108",1.22137079368921,0.550589413633529,0.848207811513639
"109",0.289959339866252,0.00177650885326282,0.100844916456719
"110",1.40285117236933,0.321936028113011,0.710943507090028
"111",0.979338932683952,0.982864341658047,0.995242412909517
"112",0.74265707673619,0.437697072909048,0.786449509238763
"113",0.888616921368442,0.77226742977814,0.9338454733942
"114",0.81330601495108,0.595457937600261,0.868123114401112
"115",0.667295289110536,0.288677044246546,0.683950234851683
"116",2.21023421382921,0.0213869798506687,0.270590685425698
"118",1.64240579146608,0.149155904080669,0.542844339945124
"119",1.94109870491338,0.0542399502844026,0.380277194567505
"120",0.545700300981213,0.112936752867332,0.495597586256838
"121",0.719314509195685,0.388929136358526,0.754801157575903
"123",0.91766610975931,0.8406474212473,0.955678476948269
"124",0.664016595701151,0.282802716789437,0.679216881750741
"125",1.09995866382702,0.762517151768493,0.930132256110629
"126",1.96957009555662,0.04917613523635,0.368125167918633
"127",1.13351902392116,0.699126177255103,0.909858216971154
"128",1.0257501465524,0.914706857823118,0.976864169044436
"129",1.07494543450463,0.81204157421114,0.94690909955562
"130",0.602425343423722,0.183709524585443,0.58615490334655
"131",0.867352421597223,0.72205114143288,0.916308555117868
"132",0.708798172183572,0.367664433816197,0.742692826388735
"133",0.745855668679943,0.444534724769147,0.790369632070036
"134",0.765013852109719,0.486186499385182,0.814149913200149
"136",0.65401308807686,0.265235288271937,0.663669762945653
"137",1.29190586142555,0.449689317588498,0.793732731776794
"138",1.16152356502123,0.649009816582746,0.888978372595613
"140",0.648569790974673,0.255905963409409,0.65637438221994
"142",0.941335147087737,0.895851622360117,0.972977920973902
"143",0.756655510677155,0.467873275848899,0.804043351235208
"144",1.95627551352361,0.0514800614422577,0.37440402072923
"145",0.809206535857659,0.585995114346113,0.864828468672497
"146",1.74476635879368,0.105931444392307,0.483866891720653
"147",1.20930971280289,0.569468928563556,0.857430917205701
"148",0.609741019098045,0.194305006596582,0.597334549510743
"150",1.04577181658199,0.872123564740203,0.966048466606774
"151",3.24813173277978,0.000637758467844973,0.0650450178647858
"152",1.34396849242098,0.385258270288895,0.75351160655157
"153",0.896763878218436,0.791488754907163,0.940539554910289
"155",0.7046836177784,0.359473402997956,0.736745690412693
"156",0.744307204947672,0.441220171737385,0.788466111911658
"157",1.29053942022121,0.451492613560086,0.794408067895117
"158",1.28428310379561,0.459824077108474,0.799554688900456
"159",0.653151076016776,0.263746956235945,0.663196138716744
"181",0.608972042170848,0.193175827947169,0.596131939322138
"182",0.55613827870885,0.12443148523407,0.511518991971413
"183",0.637595336189552,0.237602810469855,0.639724977442589
"184",0.903423211362916,0.807179840999182,0.945284743521806
"185",0.548946803439551,0.116438108384583,0.501379649009906
"186",1.64064813488753,0.150026616891211,0.543766910585187
"187",0.662145004120867,0.279474994124377,0.676595903781012
"188",0.521289914646956,0.0887265393885535,0.455719989779586
"189",1.52183191292761,0.221165370415492,0.62342937002648
"190",0.607638413770692,0.191226088117303,0.594374124851175
"192",0.494371763266526,0.0662577671514467,0.410159939957591
"193",1.06926593139854,0.823547284427468,0.95075743974897
"194",0.747437336184372,0.44792875746755,0.792305495277509
"195",0.494618613589303,0.0664442907854156,0.410768383926725
"196",0.372951614417463,0.0113315260885121,0.212628178319907
"197",1.53115593072024,0.214622041948025,0.616978802322332
"198",0.801212038232581,0.567625607724427,0.856659281217188
"199",1.39836651297954,0.326421261589095,0.714639413838365
"200",1.86621894753505,0.0701222881139447,0.418001426675158
"201",0.909967871798804,0.822576237378628,0.950514974572553
"202",0.70075967749384,0.351731697911678,0.732606596852419
"203",0.50715336990558,0.0763858429045903,0.43068576022407
"204",1.50998916144529,0.22973790169262,0.631727247659114
"205",0.811448345731099,0.591166443405814,0.866371722448905
"206",1.86592932781904,0.0701917612112282,0.418233136122708
"207",0.738824455524016,0.429551010698266,0.781521696855066
"208",0.591718722902145,0.168799773364278,0.568776844201202
"210",0.653809684188074,0.264883726956293,0.663627054241456
"211",0.77805673469033,0.515160834010298,0.829762097600559
"212",1.38753567860254,0.33747739926053,0.722857340785255
"213",1.08137714489844,0.799126962052968,0.94319642038188
"214",0.440619980089725,0.0336056449417429,0.31905021638007
"216",2.0634514295805,0.0355606097996217,0.325590268048883
"217",0.538998013683023,0.105918479410081,0.483866891720653
"218",0.776393970288611,0.511441795744391,0.827546897102928
"219",0.66307131248888,0.281119654210861,0.677843194204868
"220",1.37156243004731,0.354371391184206,0.734522061282847
"221",1.05194057074639,0.859219360923697,0.962046767677636
"222",0.745827025242784,0.444473338046316,0.790329033736619
"223",1.24884557486146,0.509370770308162,0.825966909792904
"224",0.60491167678786,0.187273621184833,0.590254764574765
"225",1.37125729485961,0.354701046632855,0.734593267260043
"227",0.460424346067988,0.043865411170931,0.353169288884869
"228",1.43620392046249,0.290233266177943,0.685379789960584
"229",0.451847908825906,0.039183104815604,0.337836299254879
"230",0.710878802190726,0.37183446917802,0.745450747459724
"231",1.06911029039544,0.823863913846413,0.950781672184619
"232",1.01479591545106,0.938437314708425,0.982782373002437
"233",0.538246972287718,0.105149624416249,0.482894659192545
"234",1.39313062196821,0.331726300307423,0.718180783326348
"236",1.16003674117865,0.651605948736752,0.890142401566215
"237",0.648716543694128,0.256155325160902,0.65663238731754
"238",0.719093575700586,0.388477659105525,0.754681850798846
"239",0.869650317752704,0.727476392249426,0.917965409400051
"240",0.631039109599681,0.226998193108777,0.629380039921879
"241",2.85962279532077,0.00230834199903995,0.114120823021702
"242",1.12717000666556,0.710843160843051,0.91388070598492
"243",0.90698657384189,0.815566087315738,0.947832608797731
"244",1.16154435739488,0.648973562849737,0.888978372595613
"245",0.471162374777487,0.0502662949959063,0.371721021083853
"246",1.67521250941201,0.133751416757359,0.524090771521913
"265",0.683337590044334,0.318219269386135,0.708303918018449
"266",0.749655256522692,0.45270220839143,0.795269315054142
"267",3.36743453781535,0.000433489126403286,0.0548886988089765
"268",0.646910963523252,0.253095669902364,0.653983007077311
"269",1.01000687070454,0.948903133032727,0.986139703551825
"270",1.98037785800086,0.0473781593230207,0.363757834773237
"271",1.17766035999405,0.621303278752087,0.877991819226266
"272",1.37328470817758,0.352515623812171,0.733252527842271
"273",1.0400252566432,0.884237634089532,0.969351417050022
"274",1.04907249517723,0.865205996958484,0.96405359353281
"275",0.40682426981871,0.0202717121349597,0.265539999211932
"276",0.963637454443703,0.947203394206369,0.985786282993713
"277",3.8597030257821,9.23964668686494e-05,0.023628295964913
"278",0.565538191861317,0.135373838306363,0.52536988222065
"279",0.727850799949266,0.406522781583302,0.766928971548949
"280",2.08361388003766,0.0331642179524461,0.317917450561208
"281",1.14078665560975,0.685874050696591,0.903729191541041
"282",0.863246639807564,0.712360885794116,0.91410825579383
"283",0.834546587269808,0.644877674596146,0.88812748371656
"284",0.66054176933854,0.276639298617825,0.674135225732627
"285",2.31321837800895,0.0149691823761566,0.235343332798842
"286",0.831797160082325,0.638448796675173,0.885430444184607
"287",0.785371360550858,0.531602854068889,0.838690774056421
"288",0.788663466684415,0.539044466254072,0.842407608114461
"290",1.30629846447082,0.431049219117324,0.782694070339619
"291",0.645912087980345,0.251410879248141,0.65235403133813
"292",0.865444713752808,0.717548063407833,0.915052617280697
"293",1.14413542931544,0.679825563147033,0.902121503350758
"294",0.758457192469729,0.471802940335367,0.806568008745781
"295",1.65907495302075,0.141131179857027,0.531836247622988
"296",0.43238057990148,0.0298937613463283,0.306731730035869
"297",1.55113616546338,0.20119221741222,0.605357125121231
"298",0.658741770232634,0.273472046897697,0.671358237399293
"299",1.53337206070912,0.213093035162612,0.615688995356849
"300",0.677715677347089,0.307717962783394,0.699579906769008
"301",1.13157736176099,0.702695667291401,0.911663663675677
"302",0.500617650598111,0.0710866091929763,0.420603299586311
"303",0.827241843310432,0.62781614584446,0.880329234320291
"304",0.884242581374643,0.761939402326293,0.929947211419971
"305",1.18603226152992,0.607268711780478,0.872315027770054
"306",1.08957590174133,0.782843878879326,0.937459355786652
"307",0.56769071637596,0.137958455547645,0.527787317108652
"308",0.9199748732268,0.846057597008646,0.957366763398
"311",0.412272454535108,0.0220963756359313,0.275030783568057
"312",1.09936322049164,0.763673897797332,0.930472777861494
"313",1.60194176052526,0.170451089841634,0.570396236002858
"314",0.892774326076036,0.782078903361759,0.937312141231219
"315",0.419855903583763,0.0248351993547759,0.287201663097027
"316",1.23935321888114,0.523331809833776,0.834836283020231
"317",0.504175224429532,0.0739396499376743,0.42612034510426
"318",0.726054451149157,0.40279653212274,0.76478425699554
"319",0.897046015802372,0.792153970751999,0.940606046732858
"320",1.17428624456943,0.627025312657807,0.88020481497176
"321",0.838859491857689,0.654978134551012,0.891481708879975
"322",0.609717115696154,0.194269851988796,0.597305131724083
"323",1.3831959913446,0.341997251208502,0.725808131867518
"324",1.00156892314276,0.967472806924205,0.991457747922925
"325",0.825026320268888,0.622653969427567,0.878623048843076
"326",0.76570599953683,0.487712261705395,0.81517336852512
"327",1.20258691171056,0.580201345359224,0.862444461494728
"328",0.535926312335426,0.102796264634867,0.479916160554884
"329",1.02055431550144,0.925925949974125,0.979475241356422
"331",0.875997859898552,0.742466955317127,0.92404031894814
"350",1.1009881093023,0.760519878850958,0.92942187867228
"351",0.83526470578069,0.646558149724022,0.88862164148571
"352",1.34561848045095,0.383349430466589,0.75234754979336
"353",2.4353441593261,0.00981471279929469,0.20190829140546
"354",1.27101816013214,0.477898833747697,0.810157153789057
"355",0.525114637392878,0.092275094233417,0.46213985662176
"356",1.1279116511807,0.709467768610631,0.913517121122997
"357",1.76784052278408,0.0979918419851038,0.47228286310987
"358",1.22415874206741,0.54629375825398,0.846411446052768
"359",1.25408876431055,0.501785076039616,0.821480391997492
"361",2.52718557663126,0.00715397389274086,0.179764569703097
"362",1.10853860266764,0.745971757026572,0.925327263428114
"363",0.984426101316747,0.994319057489734,0.998331373341488
"364",6.20684217151765,1.58755416812539e-07,0.000845979297922936
"365",1.53263771720996,0.213598585723006,0.615958716595802
"366",1.13443736741176,0.697442171712368,0.909138366458115
"368",1.85661044651018,0.0724632321126306,0.423572068474655
"369",2.3661012980977,0.0124662888044575,0.220243929009537
"370",1.87564099210362,0.0678983115183507,0.413683638526387
"371",0.944727237124904,0.903708789603068,0.974766091528196
"373",1.87994220863998,0.0669060384223941,0.412233196415508
"374",1.54822479398978,0.203099934867179,0.607433795749217
"375",0.815459192166693,0.60043899262881,0.869250489692009
"376",0.756864049348995,0.468327607651324,0.804185412494355
"377",0.652386827419501,0.262430843677148,0.662145920130177
"378",1.04837475105201,0.866665847284125,0.964530394643028
"379",1.03406439215484,0.896896351876543,0.973293268132359
"381",1.31734825783053,0.417172637753513,0.773128889441615
"382",1.52350541906148,0.219977728934367,0.622380341009113
"383",2.86978225238283,0.00223080680003696,0.113099500924424
"384",0.636714027601854,0.236162801869115,0.638272331409061
"385",0.590033259909927,0.166517777697416,0.566034916105693
"386",0.915191638554234,0.83484385602472,0.953805122376927
"387",0.71311141948712,0.37632973518617,0.74863081254447
"388",1.97766328502277,0.0478235754681045,0.364885868892333
"389",0.802540201415111,0.570669289649606,0.85824374131149
"390",0.778664000380119,0.516520837004205,0.830712521757832
"391",0.858941116633069,0.702205363332909,0.911493063276429
