"gene","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
12,0.0416656334182903,-0.516374181041596,0.933048070137976,0.682310292650416,-0.0967432291958983,0.993712648026315,0.129645673269601,-0.306558705118747,0.974688714097658
13,0.618075814285759,-0.0758142554866099,0.979346441891781,0.790212753883272,0.0606168948860569,0.996270076660835,0.838405633264255,-0.0075986803002765,0.994171377467749
14,0.585301861681546,-0.0829201946835248,0.977534569934581,0.393484371663945,0.156616087724345,0.99309461845979,0.56847665747194,0.0368479465204101,0.979146316396815
15,0.880692703011192,-0.0245214648844174,0.99538663979661,0.0870018978400385,-0.334791942635636,0.991236084654385,0.273453873684233,-0.179656703760027,0.974688714097658
16,0.712188462669079,-0.111212432922951,0.987822525708881,0.779119764819709,-0.0891932594708555,0.996270076660835,0.881706272614698,-0.100202846196903,0.995242985107319
17,0.547311997383111,-0.132372965891961,0.97561922896555,0.88674863862126,-0.0306966770011747,0.99627995874774,0.836186452082557,-0.0815348214465678,0.994171377467749
18,0.16597657362665,-0.283166703995473,0.933048070137976,0.177982360657006,0.287015177579455,0.991236084654385,0.133583353660692,0.001924236791991,0.974688714097658
19,0.201714934427013,0.289843570916496,0.933048070137976,0.0443599011567266,0.347258652671897,0.991236084654385,0.0511499354955585,0.318551111794196,0.974688714097658
20,0.904412552842755,0.0213567363767773,0.996129339598467,0.637220487635632,0.0930831197017749,0.99327312253652,0.893920070090498,0.0572199280392761,0.995242985107319
21,0.404537219360608,-0.144851223550144,0.956366577488526,0.486280294513273,-0.107977831977208,0.99327312253652,0.516579107426869,-0.126414527763676,0.978220895072443
22,0.242592742278361,0.31799222682881,0.93806672432868,0.025441222822092,0.412552580626795,0.991236084654385,0.0375727514526252,0.365272403727803,0.974688714097658
23,0.0502179035014614,-0.373541629286679,0.933048070137976,0.395915533365552,-0.155133257425317,0.99309461845979,0.0977786808614636,-0.264337443355998,0.974688714097658
