"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-0.569188468705124,2.93874487775392,-3.32026256733148,0.00134455053445827,0.47935961871132,-1.28938207026176,"12"
0.0262197882100367,2.03796323349823,0.257038736341097,0.797793595460675,0.969200640258257,-5.3544983158857,"13"
-0.207842435836288,4.55188328756074,-1.90479185630343,0.060317860859396,0.65436503637513,-3.96385271380736,"14"
-0.031563157711378,2.23312966092433,-0.262118575888142,0.793888248528215,0.968332235704788,-5.35344185145693,"15"
-0.155798420221366,8.06960464111397,-0.767677347854105,0.444886796046843,0.879224416899149,-5.14568356241014,"16"
-0.176492535472613,2.06732976395153,-1.18169857236299,0.240745556761359,0.793117278569084,-4.82672534075793,"17"
-0.195156700675973,2.88386188631985,-1.36019357814728,0.177501332666176,0.755756450983446,-4.64905574607842,"18"
0.0795441440883515,11.5145141076496,0.550190122080202,0.583686602830559,0.922522289659339,-5.25986445858353,"19"
-0.0671754853182681,2.0528512018693,-0.531274647493926,0.596666584337297,0.925832849534234,-5.26803209861063,"20"
-0.0557814580197252,1.87271744957676,-0.4421480695094,0.659547578840237,0.940491164548487,-5.30269924621232,"21"
0.0122876844469468,11.2267610588866,0.0705032639331802,0.943964993208247,0.992933272908816,-5.37898547237832,"22"
-0.378962501222711,2.00692625976516,-3.06838610105224,0.00291771041392234,0.516685087981613,-1.84857535246726,"23"
-0.128458832614147,6.59417603854731,-1.14919190027071,0.253822260871075,0.800331669285095,-4.85650998427789,"24"
-0.130089199383833,4.50885733060029,-0.650777056559129,0.517012256666754,0.903908184466581,-5.2116819982612,"26"
0.0684420326862765,4.40442324188899,0.462874203875556,0.644682228571931,0.938468715478401,-5.29520023188233,"27"
-0.0676804219730776,1.83962090356047,-0.634014754474599,0.52783825113752,0.906608636831283,-5.22026552961654,"28"
-0.00911835920866812,1.76061497804063,-0.0967454683720784,0.923164910572364,0.989201466144702,-5.377225707619,"29"
0.0224807795388365,7.86388512108794,0.231117647714678,0.817799877425135,0.972774477840251,-5.35956783837784,"30"
0.0737370610444761,2.48949556295269,0.395340638783645,0.693619486274404,0.947082851190842,-5.31837778593706,"31"
-0.0137841980005321,2.63067380664172,-0.118232581754494,0.906172905436588,0.987030822808068,-5.37537373390917,"32"
-0.216703338344567,3.29334527279731,-1.50020568925818,0.137406856361214,0.728905923535418,-4.49319446088933,"33"
-0.0851294039935308,1.88808820478988,-0.678843637980552,0.499150998679425,0.897731587574323,-5.19681479642552,"34"
-0.0316825956250511,4.92680440951927,-0.342320382882935,0.732986835399765,0.955244441615695,-5.33402946282196,"35"
