"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-0.502954536717077,3.07180525475887,-1.64815026787793,0.104558936021941,0.972528362857667,-4.44041026883488,"12"
-0.147573596275437,2.02033041431442,-0.781319088895034,0.437692697586207,0.974094056803438,-4.64561103495033,"13"
-0.0947887642692415,4.61657871986136,-0.506968476520802,0.614038615437722,0.979216131589669,-4.68131688754682,"14"
0.0457633912779089,2.25770046677388,0.224964926317321,0.822772412299026,0.993633732915355,-4.70234400793228,"15"
-0.28646429064144,8.16236434280387,-0.774873481288053,0.441463192742666,0.974094056803438,-4.64661917931775,"16"
-0.0963029859443958,2.10983749158649,-0.35640415551822,0.722790511461339,0.986215551048557,-4.69454434348678,"17"
-0.246843394798992,2.92223985178767,-0.986125725188201,0.328038832148965,0.972528362857667,-4.60942942819275,"18"
0.607399653399944,11.5721462671368,2.22286922580123,0.0300110316139493,0.972528362857667,-4.23675094756709,"19"
-0.0508105949416702,2.06163256387445,-0.23462277730399,0.815301850656162,0.993633732915355,-4.70189046683242,"20"
-0.246983899160155,1.87132864434182,-1.16587210841172,0.248288395327433,0.972528362857667,-4.5711920205184,"21"
0.699875889811187,11.3120230306554,2.12839156600952,0.0374283435372496,0.972528362857667,-4.27342482271767,"22"
-0.406641462988495,2.08490628226169,-1.7268513257482,0.0893495305408088,0.972528362857667,-4.41541077942526,"23"
-0.0347061497189486,6.63069517448826,-0.167563214997475,0.86749146183344,0.995136279121302,-4.70464724780373,"24"
0.140142115917507,4.54382404062373,0.385704945161219,0.701081924052344,0.984405534626354,-4.69232815413363,"26"
0.151794001022189,4.39971761065897,0.604694885422162,0.547666065947179,0.975965686045769,-4.67030173006058,"27"
-0.109336635796084,1.85705499729849,-0.58197705508037,0.562766624136228,0.977509215318497,-4.6730317932961,"28"
0.0425467301512118,1.77866000627996,0.249032950843238,0.804187395795838,0.993633732915355,-4.70117843574288,"29"
0.114881492914014,7.87009360969958,0.652377149987763,0.516654193935538,0.974094056803438,-4.66423955101215,"30"
0.207065535544049,2.48731109611338,0.689977501411649,0.492873531762514,0.974094056803438,-4.65914324630947,"31"
-0.0205841427801451,2.62614080589923,-0.107144138139571,0.915032759440697,0.995530178860352,-4.70634487754165,"32"
0.00850172400294134,3.36149771130645,0.0346055276780071,0.972509378190327,0.99930108347662,-4.7073969972257,"33"
-0.249658683075865,1.88420618659284,-1.13236337312618,0.261995169467746,0.972528362857667,-4.57876998586493,"34"
0.268768476466753,4.96380656766862,1.62332284627543,0.109773095996555,0.972528362857667,-4.44809309454729,"35"
-0.257099336598815,3.26201544327965,-0.673643007792768,0.503129977716092,0.974094056803438,-4.66139133129246,"36"
-0.199682665992791,5.39408262285143,-1.13596367639155,0.260497255631727,0.972528362857667,-4.57796556202374,"37"
-0.221184689401704,5.87038061816985,-1.10362873501398,0.274169068525871,0.972528362857667,-4.58510546736343,"38"
0.44859808329885,2.28382774588729,1.90124974962402,0.0620838327808203,0.972528362857667,-4.35662010417003,"40"
-0.286797178630303,3.56352512470629,-0.787787118041077,0.43392824846412,0.974094056803438,-4.64459129498768,"41"
0.305570742199738,8.48122154616262,1.38732199253127,0.170484860880849,0.972528362857667,-4.51607709164688,"42"
-0.171387426941503,1.99094781165201,-0.741708668814263,0.461162752621713,0.974094056803438,-4.65167892882046,"43"
-0.20250446689421,2.57426659671393,-0.963480794927916,0.339180679916001,0.972528362857667,-4.61382147592325,"44"
0.37983856394284,10.3491165562202,2.00261738759287,0.0497517879322947,0.972528362857667,-4.32038647983274,"45"
-0.169455369909325,2.20688889140278,-0.95305062259694,0.344395353137785,0.972528362857667,-4.61581200682162,"46"
-0.18889594643579,4.88188540968692,-1.13660356643415,0.260231665027134,0.972528362857667,-4.57782234299276,"47"
-0.0123175224551351,1.79418687770888,-0.0641723309286672,0.949046730208198,0.99930108347662,-4.70709812479574,"48"
0.0354724424469184,4.13189489050136,0.192032953562629,0.848366049082117,0.994084252997051,-4.70374758986142,"49"
0.0527637877423957,1.80624537163659,0.311587453460166,0.756436205726906,0.989143954186845,-4.69759790807638,"50"
0.265425977460754,4.46652488103885,0.852213828659625,0.397490667963807,0.974094056803438,-4.63399320742853,"51"
-0.108409568711031,8.26403749847084,-0.496035460395776,0.621685005998545,0.980013042374605,-4.6824307319618,"52"
-0.152590093120438,2.75555289612974,-0.736546236980299,0.464273879279971,0.974094056803438,-4.65244728702468,"53"
-0.311926943859051,2.90834037885755,-1.17246377788871,0.245653708822233,0.972528362857667,-4.56967737316188,"54"
-0.00970499405161541,2.06303712541433,-0.0442755163536942,0.96483208659946,0.99930108347662,-4.70731893614423,"55"
-0.152468434581567,3.72468314789891,-0.704964264886612,0.483565275070792,0.974094056803438,-4.65703462851185,"56"
-0.260026325155629,4.14304130148584,-1.19787287254711,0.235685915491301,0.972528362857667,-4.56376549633584,"57"
-0.0562675309096951,7.13851229296912,-0.13975680029984,0.889321103258815,0.995136279121302,-4.70552118846205,"58"
0.156199178490595,2.04187373912494,0.735792870002866,0.464728893404087,0.974094056803438,-4.65255898133125,"59"
0.178049263459364,2.09705956870681,0.835112278643109,0.40697373144593,0.974094056803438,-4.63688426020295,"60"
-0.233021047565328,7.32122724334517,-1.23472301051004,0.221756266118251,0.972528362857667,-4.55498581211226,"61"
0.0955747906495861,3.03590960484649,0.467404421502913,0.641906844193873,0.980218708679116,-4.68523419052937,"62"
0.20147345623509,1.98939399217832,0.991724958674225,0.325321832914756,0.972528362857667,-4.60832860852378,"63"
0.371544204761481,3.5468902234441,1.72499452329594,0.0896861074855064,0.972528362857667,-4.41601177778621,"64"
0.086711483125509,2.20367303442439,0.426558912861192,0.671230080292396,0.983021198720691,-4.68894879957226,"65"
0.112539053358839,3.37196369410045,0.4147523312739,0.679805212818204,0.983021198720691,-4.68995998775464,"66"
0.608711858097266,3.99624418686484,2.53046990893757,0.0140376081274069,0.972528362857667,-4.10965910299286,"67"
0.0509162610601769,2.60872612081747,0.231782416336869,0.817497179826927,0.993633732915355,-4.70202582496992,"68"
-0.0528749442515781,6.39969662373946,-0.201706063035159,0.840830102849243,0.993932931606956,-4.70335825310601,"69"
-0.364555125449913,2.3470448302824,-1.65273252559243,0.103618982504376,0.972528362857667,-4.43898153317271,"70"
-0.175482018853367,3.37705414590076,-0.447182069531696,0.6563567826074,0.980727172376398,-4.68711518867012,"71"
-0.0729175277685284,5.09860465053134,-0.213109967506218,0.83196498183383,0.993633732915355,-4.70287474440234,"73"
-0.0201132462937744,6.22310042341894,-0.103057527651128,0.918261637722989,0.99563938405455,-4.70643276194681,"74"
0.535244909955788,5.47093711719171,1.87971686582532,0.0650138449827787,0.972528362857667,-4.36412536206614,"96"
-0.0622872422696932,5.44786210389114,-0.193342497610356,0.847344985372872,0.994026509248438,-4.70369599855296,"97"
-0.333902196710671,1.98311873678122,-1.92476059516743,0.0590133587853218,0.972528362857667,-4.34834800746718,"99"
0.211733413178927,6.28061089475887,0.838460181210399,0.405106453834134,0.974094056803438,-4.63632270963607,"100"
-0.3806270093638,2.07245297982231,-1.79253214366585,0.0780987351980389,0.972528362857667,-4.39380939615434,"101"
0.386347909063249,4.64392750727429,2.43372652317931,0.0179448504778432,0.972528362857667,-4.15083912446877,"102"
0.137867994989656,5.59421802074548,0.580319821169932,0.563876202461632,0.977693713103498,-4.67322694099879,"103"
-0.0749436209161475,7.53571793694021,-0.371348917875206,0.71168820421007,0.985413335677258,-4.69343567023355,"104"
-0.268310423243784,5.08054212937786,-1.41773998409431,0.161448933701097,0.972528362857667,-4.50783865064409,"106"
-0.318239785882713,1.79987915813237,-1.59563694835566,0.115833955968069,0.972528362857667,-4.45654371093839,"107"
-0.30174784279918,3.46590659713801,-1.5342836921917,0.130226259747703,0.972528362857667,-4.47482689301491,"108"
0.157842097954346,4.41884895892181,0.472523333360328,0.638270768633507,0.980218708679116,-4.6847450287319,"109"
0.0623419981955981,9.48303028436842,0.363272363744634,0.717680589357225,0.986015930768602,-4.69404043704406,"110"
-0.166912572331842,2.36729633247837,-0.69880504086182,0.487378879553069,0.974094056803438,-4.6579065478453,"111"
-0.0652080467130671,5.08195833059152,-0.260246928974096,0.795566006752477,0.993261285321407,-4.70059508868659,"112"
0.922920347881592,10.7018546822038,2.15562546468091,0.0351413880865287,0.972528362857667,-4.2629736886129,"113"
0.721093245164702,6.78528374457044,2.37369723237666,0.0208356333568459,0.972528362857667,-4.17584754073446,"114"
0.277916830596135,2.05554056813743,1.5070579725072,0.137052936737248,0.972528362857667,-4.48274195888321,"115"
-0.00728786354835105,1.78097014729384,-0.0417520834596906,0.96683522236785,0.99930108347662,-4.70734115194416,"116"
