"gene","gene_symbol","var_fc","f_fdr","is_bimodal","bic_improvement"
"364","NDUFB9",3.8410408169591,2.91322521661641e-10,FALSE,-6.66713284751911
"619","",3.37111373320522,8.89671669668246e-08,FALSE,-6.66635708765672
"45081","GRK4",2.72717170947436,0.00017778645740781,TRUE,25.9554789406934
"25310","TTF1",-3.12529781265771,0.000570932158629388,FALSE,-6.01323187292321
"565","C14orf166",2.56635960207828,0.000570932158629388,FALSE,-6.66644287036257
"4765","IGF2BP1",-3.10221069864622,0.000570932158629388,FALSE,3.08039620627317
"34315","CPD",2.54898114836455,0.000570932158629388,TRUE,17.016664365305
"267","GGA1",2.51671828434111,0.000711894310778671,FALSE,-6.66524651474853
"22139","BLOC1S2",2.49427880168291,0.000808025762374006,TRUE,47.7509009096047
"42869","",-2.97709908549649,0.000913145537982331,FALSE,-5.88622073657301
"703","OAZ1",2.46353983086059,0.000921648457835095,FALSE,-6.66557825722722
"22","RPS13",2.43194455717818,0.00110513130803834,FALSE,-6.66720596548782
"3745","REV1",2.4309809834394,0.00110513130803834,FALSE,-6.66057535892413
"13530","",2.36089264661003,0.00214825993847891,TRUE,28.8320162543447
"16002","",-2.73118659068633,0.00392286840766864,FALSE,-3.52421987658158
"45157","",2.28950046800559,0.00392286840766864,FALSE,-6.66800307429355
"7126","",-2.6990214625769,0.00446574393490211,FALSE,1.21121996360095
"281","MAGEF1",2.24175344587233,0.00564841402818218,TRUE,22.4385290647606
"15926","DEDD2",-2.62862274196052,0.00673467143001148,FALSE,-1.91159569482951
"24553","MPHOSPH8",-2.62110385485959,0.00676217189303991,FALSE,-2.76093137665046
"32284","",-2.60243564309449,0.00738773489294615,FALSE,-6.18302560807651
"30198","PECI",2.1706721943068,0.00908192042809616,TRUE,25.6915172949959
"16916","",-2.56176093639435,0.00908192042809616,FALSE,-1.69229489495861
"26210","NDUFB8",-2.49743303568013,0.0138716515248368,FALSE,-5.19381089003039
"9936","CLC",-2.48938967867706,0.0141088288948762,FALSE,-6.04316548496302
"44908","GYPE",2.11061445081767,0.0141252957410401,TRUE,21.2467213290281
"19","RPL23",2.10288213767307,0.0146438553556478,FALSE,-6.6664587967426
"24334","",-2.43392080763344,0.0187330222087073,FALSE,-6.66400926671229
"3536","ATP6V1C2",-2.401701225137,0.0227305347039447,FALSE,-5.11129126550253
"3315","RPL38",-2.3883303802095,0.0241488253948956,FALSE,0.571167945280131
"25217","HSPH1",-2.38229698897123,0.0243842348817559,FALSE,-2.50933582953142
"23696","",2.02239642231725,0.0263062177114359,FALSE,-6.66938523419751
"36851","ZNF706",-2.33971080047215,0.0308796503534948,FALSE,-4.92170452208491
"13371","",-2.33513900853914,0.0309417588376177,FALSE,-0.194375943274522
"28634","MPHOSPH8",-2.330936580885,0.0309507533364624,FALSE,-4.66069591151375
"37997","C2orf48",-2.32378090568084,0.0316288810456927,FALSE,-2.74027003297519
"17074","ASB17",-2.3189814215216,0.031818571950934,FALSE,-6.56502712591394
"31510","PSMD4",-2.30683924001034,0.0337077799749354,FALSE,-2.95316677397621
"34275","PKD1L3",-2.29333898539848,0.0360588757960758,FALSE,5.72278284921661
"13798","ADAMDEC1",-2.28130565027676,0.0382015142092112,FALSE,-5.23987910082915
"19504","CACYBP",-2.27696332859378,0.0384020426980677,FALSE,-6.23723072510216
"10665","",-2.26979008156049,0.0393862023687689,FALSE,-5.11000622988671
"4133","HDLBP",-2.2632422857089,0.0395765986025901,FALSE,-3.53743672621907
"42696","ASF1A",-2.26032759611965,0.0395765986025901,FALSE,-3.30059430661916
"17777","MAS1",-2.25904413385453,0.0395765986025901,FALSE,-4.5617265177017
"36443","PTCD3",-2.24929181810333,0.0413931415348012,FALSE,-6.27300952340511
"34523","TFPI2",-2.23967582906348,0.0425407156022424,FALSE,4.2197551328879
"700","LOC100134331",1.92464180329166,0.0425407156022424,TRUE,12.675010710362
"41888","ORAOV1",-2.23557253261746,0.0426774044843865,FALSE,-3.00637361546161
"159","ZNF300",1.91864384997728,0.0428939369410045,FALSE,4.69314719996939
