"gene","gene_symbol","var_fc","f_fdr","is_bimodal","bic_improvement"
"22114","MRFAP1",3.11684011665492,3.28418074957426e-05,FALSE,7.93296697712847
"45016","SEC13",2.91547469920261,0.000160040849461751,TRUE,20.2798359174018
"13694","",2.85715748278806,0.000202508875594513,TRUE,16.4187893115948
"17165","",2.72288047043679,0.00064234031449395,TRUE,10.439218148695
"31960","MCCD1",-3.25238270197033,0.0011711603143579,FALSE,-6.30306467930464
"22139","BLOC1S2",2.62642102528627,0.0011711603143579,TRUE,34.1675537378944
"4456","PSMC6",2.51743492553801,0.00241080218372271,TRUE,23.1130934265255
"15146","",2.51459119923061,0.00241080218372271,TRUE,27.163868629831
"364","NDUFB9",2.5054399169479,0.00241080218372271,FALSE,8.31026738813789
"40237","S100A1L",2.49105204711555,0.00241080218372271,TRUE,17.1033089324906
"9021","",2.48781630515374,0.00241080218372271,TRUE,11.1709036916281
"42954","C8orf45",-3.03168517586864,0.00241080218372271,FALSE,-4.06669651001076
"44750","HSF1",2.47774371205201,0.00242135079333914,TRUE,25.5836761120174
"40125","",2.46012947809122,0.00267430568610751,FALSE,-6.44147104219589
"45158","RPS6",2.41889653244096,0.00373233481833305,TRUE,21.4976166923541
"18933","HSPA4L",-2.9221595801693,0.00386202444448452,FALSE,-3.52958617750153
"33051","",2.3995021478661,0.00397225303363894,FALSE,6.20238695373897
"35100","SMCR7L",2.38652217190219,0.00413065853639524,FALSE,-6.44446552797117
"32640","",2.38159968906714,0.00413065853639524,TRUE,29.042238050673
"12166","",2.37687300846957,0.00413065853639524,TRUE,11.7709426819986
"21396","DHX15",2.36986100148096,0.00413065853639524,FALSE,9.06719020841914
"12149","",2.36413552469884,0.00413065853639524,TRUE,21.4574973767757
"23378","",2.36388622847791,0.00413065853639524,FALSE,8.05217989781504
"45028","SSBP1",2.35438152431792,0.00422308759395307,TRUE,19.8017895814852
"3438","",2.3527935876236,0.00422308759395307,FALSE,-6.44103751366383
"31340","SLC6A2",2.34530586354383,0.00430135735187933,FALSE,5.83743455933286
"5562","CAPRIN1",2.34273350115294,0.00430135735187933,FALSE,-6.44125895843501
"11993","PRO1880",2.33348858374563,0.00452655655069911,TRUE,27.550782645192
"29681","",2.3289582913213,0.00456123964398536,FALSE,5.02078575514974
"40870","PRSSL1",-2.7951141617569,0.00489889187859766,FALSE,-5.57022789040373
"30394","PPP1R8",2.30764004304778,0.00521220836507784,FALSE,-0.189389371988881
"14523","",2.29984313302206,0.00542718219850269,FALSE,-6.44083171580722
"2312","CD46",2.29662920769319,0.00542718219850269,TRUE,19.9383877493434
"1183","",-2.73662962006002,0.00640689002339746,FALSE,-5.47506293775741
"16758","",2.26595227774481,0.0068014896352077,FALSE,-2.0362224696684
"22365","",2.26210116274191,0.00685208897309596,FALSE,9.08454731986649
"15571","ATP6V1E1",2.25840447543277,0.00687280853500989,FALSE,4.09587892546722
"38530","PTP4A2",2.25560255649906,0.00687280853500989,FALSE,-4.96195869091109
"2073","",-2.70559488595978,0.00687280853500989,FALSE,2.95561155995987
"35091","",2.24645712510143,0.00690996038833438,TRUE,13.906975848976
"3644","CST7",-2.69546756938529,0.00690996038833438,FALSE,-6.27613262243144
"33515","NUS1",2.24440193209155,0.00690996038833438,FALSE,-4.68028809817278
"14544","",2.23738570511586,0.00710204232384266,FALSE,-2.38904664196829
"3664","",2.23630524585178,0.00710204232384266,TRUE,15.978590027671
"37267","",-2.66002857265123,0.00770579956629103,FALSE,-4.53970536249435
"27412","EIF4G2",2.21765387958411,0.00770579956629103,TRUE,22.3898674757198
"19671","FKBP4",-2.65589335326759,0.00770579956629103,FALSE,-5.56068615866734
"31254","ZNF622",2.21473277961327,0.00770579956629103,TRUE,14.2011302011856
"20688","SLC22A1",2.21330636356812,0.00770579956629103,FALSE,-6.44144911560473
"19468","CAMSAP1L1",2.21329539236599,0.00770579956629103,FALSE,4.38977435804473
