"gene_symbol","mean_control","mean_amd","var_control","var_amd","var_fc","f_pvalue","f_fdr","cv_control","cv_amd"
"CFB",6.94256873033406,7.14541808861316,0.793485381208258,1.4853595945679,0.904534872031052,0.0558696611663292,0.523698241385344,0.128306664338101,0.170564284626087
"HTRA1",11.249366783563,11.0962397342627,0.347633143362376,0.191801127909791,-0.857958581051744,0.0987549248283481,0.609690094558391,0.0524122099465827,0.0394684170081952
"CFI",9.08434441790019,8.95556173347989,0.254797974382054,0.141715988509301,-0.846356937035824,0.103306387362453,0.617879195019777,0.0555653873661288,0.0420355316682033
"ABCA1",2.4532804913288,2.37659406594623,0.366712597687663,0.621148470729132,0.760284389543573,0.107762050585305,0.626573917972795,0.24683999698551,0.331621377543246
"C2",2.36864790405149,2.00675083852137,0.285604599487633,0.167542516538228,-0.769497016141371,0.137973935620677,0.663047641422194,0.225622240168869,0.203971198460705
"ABCA1",6.36049828855357,6.57268888834047,0.305687962393004,0.477246585758812,0.642670415243891,0.173377160163779,0.704279176906833,0.0869256526616533,0.105106185039315
"BEST1",11.0409254951417,11.6834199731834,1.72539202153716,1.09832522771557,-0.651619708537873,0.208463300151954,0.735481867486835,0.118970249988072,0.0897006219397066
"RPE65",9.52305222416567,10.3418308739423,4.10743507150516,2.61594760666978,-0.650904474913065,0.208961417685588,0.736000289520827,0.212818384385389,0.156392905284432
"LIPC",2.62260736427091,2.4417621800344,0.285115517650349,0.18438358926841,-0.628841364334852,0.224785231576519,0.748857925947612,0.203599630469905,0.175856162488793
"FLT1",6.76353162434341,6.70817439702439,0.571784511601304,0.37763529874127,-0.598480439992592,0.247986274904438,0.763315695275046,0.111800206143831,0.0916076793900091
"TIMP3",11.8988807695649,12.0185708960012,0.48928453302954,0.694311285758578,0.504905995617547,0.283112395453827,0.787918016128627,0.0587860925945897,0.0693304863091713
"KDR",3.47230999773043,3.32231054153964,0.546330910044718,0.377729312031326,-0.532424947978261,0.30438961443513,0.797912871601407,0.212867456248265,0.184990739682804
"C2",5.95108193592117,5.94441199776415,0.165959862153214,0.229359661815378,0.466768625452445,0.320284461787738,0.807605346451246,0.0684550559827036,0.080565581243216
"C3",9.83257647622203,9.64883433167408,0.506160822334196,0.693460443746799,0.454214895820577,0.333183543255657,0.815334376597379,0.0723563892400252,0.0863049989970517
"NFE2L2",8.73572458191433,8.67549400028737,0.115896437874321,0.0833627943686119,-0.475373129770249,0.359823322025314,0.827798922956931,0.0389705074572779,0.0332806552347708
"VEGFA",8.11028619911601,8.31927871723423,0.394313902901149,0.286424464968946,-0.46119351151212,0.374564084974802,0.833539268560947,0.0774256413257795,0.0643308557451189
"NFE2L2",3.15516212405402,3.07194065899503,0.263993311552334,0.192527855465815,-0.455439649240316,0.380661797040214,0.836384284149449,0.162845080972674,0.142834731638189
"CFH",11.0754561384395,10.9780575178388,0.267394962129898,0.19710474885848,-0.440015144117214,0.397316904161237,0.843101961757477,0.0466890405753837,0.0404411039672263
"COL8A1",10.8255000891279,11.1585017959344,0.34307929660721,0.253534838181852,-0.436362271726893,0.401326727698242,0.845419299986022,0.0541064758209367,0.045124551194048
"CFH",5.51405786675955,5.24111023408024,0.384015181293209,0.284021146373747,-0.435168755629769,0.402642333829577,0.845774013344564,0.112383563469205,0.101683845245619
"HMOX1",10.0878248376049,10.2965299334273,1.36414582501991,1.01313049652497,-0.429178919192284,0.409285444949745,0.849186210972619,0.115779807562682,0.0977556270035661
"C2",9.27306688866576,9.23786190168145,0.115158669968018,0.145011501565902,0.332531772471398,0.474543592620772,0.877555694260595,0.0365952636920957,0.0412220620009765
"ABCA1",3.02061308177176,3.14088472530386,0.410672382490521,0.319776571356139,-0.360927200396722,0.489780581282555,0.883193821786067,0.212154626120515,0.180040904074696
"CFI",4.96508200894101,4.76217643863861,0.338250875934878,0.270118703302107,-0.32450439834591,0.536202101107016,0.900736925692944,0.117136690956517,0.109136935513575
"APOE",11.2434529206917,11.1126400402144,0.209572062470799,0.168104255837197,-0.318097042355128,0.544609906989323,0.903130811622806,0.040716172849285,0.0368953868417765
"CETP",5.5975896888972,5.51042373464294,0.951307406303077,0.812970929223635,-0.2267093623583,0.671605985519428,0.937919667171942,0.17424458903438,0.163626044992405
"EFEMP1",13.2801325842815,13.0597298786261,0.256005210128731,0.220659437167942,-0.214357357303631,0.689711528524882,0.941595248890905,0.0380997353001136,0.0359688891560504
"C2",4.32018713555068,4.06016647864486,0.468212307579175,0.526832653606215,0.170178828649373,0.703678827243742,0.946177092909401,0.158386715512476,0.178769075545256
"C9",1.83994177625654,1.75697440498715,0.160195495103889,0.140473467791517,-0.189544919502375,0.726660260336814,0.951841125932886,0.21753083815713,0.213319948323514
"VEGFA",5.5633502939644,5.85075346273987,0.280505896464751,0.246127700116901,-0.188629207829074,0.728032102045073,0.952157750879679,0.0951994662439175,0.0847946348296511
"SOD2",3.25220684145285,3.25334340292332,1.0478013015616,1.16119034763868,0.148237948675434,0.737362452685779,0.954568524288691,0.314746691874241,0.331223901098226
"SOD2",9.28607129500846,9.49309737620433,0.979997860670753,1.0812775104343,0.141884861936713,0.747204964940912,0.956403844768093,0.106605718939778,0.109536939803284
"CTNNA1",7.21207410490331,7.30726848703735,0.158610709502684,0.172674451761351,0.12255536124959,0.777364770894814,0.961382324333474,0.0552212220266781,0.0568668168120991
"GPX1",12.8784805243554,12.9665725361171,0.0900513989551395,0.0976698775491876,0.117148978589403,0.785849111064021,0.963367126734186,0.0233013226078255,0.0241021116679427
"VEGFA",5.15012554780079,5.42103437020614,0.280686852708006,0.258182571658343,-0.120575013546358,0.832864934254882,0.972643815427008,0.102871041045667,0.0937305618366519
"CFH",9.92005492037689,10.1211413893287,0.279634175401677,0.295936311849774,0.0817408791209832,0.842021274028991,0.974153672544445,0.0533066024751559,0.0537489016259789
"VEGFA",5.8324043006823,6.05948823098777,0.435761002942638,0.456607391318334,0.067413809803828,0.86495849089707,0.978405841383322,0.113181770920572,0.111515555137093
"CTNNA1",8.71105834373836,8.63972647499427,0.059771179190228,0.0619535681807838,0.0517132340779574,0.89016445592435,0.982082426957599,0.0280656393138665,0.0288093273636917
"KDR",5.96205249395973,5.71308222674958,0.364866517384309,0.354832288891786,-0.0402354221669534,0.961108858939828,0.992924403940877,0.10131439078685,0.104265592515748
