perturbation_id,target_gene
10095_ZFP69_P1P2_ENSG00000187815,ZFP69
10096_ZFP82_P1P2_ENSG00000181007,ZFP82
10097_ZFP90_P1_ENSG00000184939,ZFP90
10098_ZFP90_P2_ENSG00000184939,ZFP90
10099_ZFP91_P1P2_ENSG00000186660,ZFP91
1009_EPOP_P1P2_ENSG00000273604,EPOP
100_ACSL3_P1P2_ENSG00000123983,ACSL3
10100_ZFP92_ENST00000338647.5_ENSG00000189420,ZFP92
10101_ZFPL1_P1P2_ENSG00000162300,ZFPL1
10102_ZFPM1_P1P2_ENSG00000179588,ZFPM1
10103_ZFPM2_P1P2_ENSG00000169946,ZFPM2
10104_ZFR_P1P2_ENSG00000056097,ZFR
10105_ZFX_P1P2_ENSG00000005889,ZFX
10106_ZFYVE16_P1P2_ENSG00000039319,ZFYVE16
10107_ZFYVE19_P1P2_ENSG00000166140,ZFYVE19
10108_ZFYVE21_P1P2_ENSG00000100711,ZFYVE21
10109_ZFYVE27_P1P2_ENSG00000155256,ZFYVE27
1010_C17orf99_P1P2_ENSG00000187997,C17orf99
10110_ZFYVE28_P1P2_ENSG00000159733,ZFYVE28
10111_ZFYVE9_P1P2_ENSG00000157077,ZFYVE9
10112_ZFY_P1P2_ENSG00000067646,ZFY
10113_ZGLP1_P1P2_ENSG00000220201,ZGLP1
10114_ZGPAT_P1P2_ENSG00000197114,ZGPAT
10115_ZHX1_P1P2_ENSG00000165156,ZHX1
10116_ZHX2_P1P2_ENSG00000178764,ZHX2
10117_ZHX3_P1P2_ENSG00000174306,ZHX3
10118_ZIC1_P1P2_ENSG00000152977,ZIC1
10119_ZIC2_P1P2_ENSG00000043355,ZIC2
1011_C18orf21_P1P2_ENSG00000141428,C18orf21
10120_ZIC3_P1P2_ENSG00000156925,ZIC3
10121_ZIC4_P2_ENSG00000174963,ZIC4
10122_ZIC4_P1_ENSG00000174963,ZIC4
10123_ZIC5_P1P2_ENSG00000139800,ZIC5
10124_ZIK1_P1P2_ENSG00000171649,ZIK1
10125_ZIM2_P1P2_ENSG00000269699,ZIM2
10126_ZIM3_ENST00000269834.1_ENSG00000141946,ZIM3
10127_ZKSCAN1_P1P2_ENSG00000106261,ZKSCAN1
10128_ZKSCAN2_P1P2_ENSG00000155592,ZKSCAN2
10129_ZKSCAN3_P1P2_ENSG00000189298,ZKSCAN3
1012_C18orf25_P1P2_ENSG00000152242,C18orf25
10130_ZKSCAN4_P1P2_ENSG00000187626,ZKSCAN4
10131_ZKSCAN5_P1P2_ENSG00000196652,ZKSCAN5
10132_ZKSCAN7_P1P2_ENSG00000196345,ZKSCAN7
10133_ZKSCAN8_P1P2_ENSG00000198315,ZKSCAN8
10134_ZMAT1_P1P2_ENSG00000166432,ZMAT1
10135_ZMAT2_P2_ENSG00000146007,ZMAT2
10136_ZMAT2_P1_ENSG00000146007,ZMAT2
10137_ZMAT3_P1P2_ENSG00000172667,ZMAT3
10138_ZMAT4_P1P2_ENSG00000165061,ZMAT4
10139_ZMAT5_P1P2_ENSG00000100319,ZMAT5
1013_C18orf32_P1P2_ENSG00000177576,C18orf32
10140_ZMIZ2_P1P2_ENSG00000122515,ZMIZ2
10141_ZMPSTE24_P1P2_ENSG00000084073,ZMPSTE24
10142_ZMYM1_P1P2_ENSG00000197056,ZMYM1
10143_ZMYM2_P1P2_ENSG00000121741,ZMYM2
10144_ZMYM3_P1_ENSG00000147130,ZMYM3
10145_ZMYM3_P2_ENSG00000147130,ZMYM3
10146_ZMYM4_P1P2_ENSG00000146463,ZMYM4
10147_ZMYM5_P1P2_ENSG00000132950,ZMYM5
10148_ZMYM6_P1P2_ENSG00000163867,ZMYM6
10149_ZMYND11_P1P2_ENSG00000015171,ZMYND11
1014_C19orf12_P1P2_ENSG00000131943,C19orf12
10150_ZMYND19_P1P2_ENSG00000165724,ZMYND19
10151_ZMYND8_P1P2_ENSG00000101040,ZMYND8
10152_ZNF100_P1P2_ENSG00000197020,ZNF100
10153_ZNF101_P1P2_ENSG00000181896,ZNF101
10154_ZNF106_ENST00000263805.4_ENSG00000103994,ZNF106
10155_ZNF107_P1P2_ENSG00000196247,ZNF107
10156_ZNF10_P1P2_ENSG00000256223,ZNF10
10157_ZNF112_P1P2_ENSG00000062370,ZNF112
10158_ZNF114_P1P2_ENSG00000178150,ZNF114
10159_ZNF117_P1P2_ENSG00000152926,ZNF117
1015_FAM174C_P1P2_ENSG00000228300,FAM174C
10160_ZNF121_P1P2_ENSG00000197961,ZNF121
10161_ZNF124_P1P2_ENSG00000196418,ZNF124
10162_ZNF12_P1P2_ENSG00000164631,ZNF12
10163_ZNF131_P1P2_ENSG00000172262,ZNF131
10164_ZNF132_P1P2_ENSG00000131849,ZNF132
10165_ZNF133_P1P2_ENSG00000125846,ZNF133
10166_ZNF134_P1P2_ENSG00000213762,ZNF134
10167_ZNF135_P1P2_ENSG00000176293,ZNF135
10168_ZNF136_P1P2_ENSG00000196646,ZNF136
10169_ZNF138_P1P2_ENSG00000197008,ZNF138
1016_C19orf25_P1P2_ENSG00000119559,C19orf25
10170_ZNF140_P1P2_ENSG00000196387,ZNF140
10171_ZNF141_P1P2_ENSG00000131127,ZNF141
10172_ZNF142_P1P2_ENSG00000115568,ZNF142
10173_ZNF143_P1P2_ENSG00000166478,ZNF143
10174_ZNF146_P1P2_ENSG00000167635,ZNF146
10175_ZNF148_P1P2_ENSG00000163848,ZNF148
10176_ZNF14_P1P2_ENSG00000105708,ZNF14
10177_ZNF154_P1P2_ENSG00000179909,ZNF154
10178_ZNF155_P1P2_ENSG00000204920,ZNF155
10179_ZNF157_ENST00000377073.3_ENSG00000147117,ZNF157
1017_TRIR_P1P2_ENSG00000123144,TRIR
10180_ZNF160_P1P2_ENSG00000170949,ZNF160
10181_ZNF165_P1P2_ENSG00000197279,ZNF165
10182_ZNF169_P1P2_ENSG00000175787,ZNF169
10183_ZNF16_P1P2_ENSG00000170631,ZNF16
10184_ZNF174_P1P2_ENSG00000103343,ZNF174
10185_ZNF175_P1P2_ENSG00000105497,ZNF175
