hgnc_symbol,H2O2_vs_CTRL.log2FoldChange,H2O2_vs_CTRL.pvalue,H2O2PRG4_vs_H2O2.log2FoldChange,H2O2PRG4_vs_H2O2.pvalue
CD44,0.176236306429678,0.234774495059541,-0.372997194117304,0.0119102488648259
PRG4,3.09325033933492,0.039494171586886,1.82337976387577,0.104477112799471
TLR2,-1.46537894940549,0.0144205214597589,1.74604867107458,0.00338848427017081
TLR4,,,,
