pathway,NES_H2O2,Padj_H2O2,NES_Rescue,Padj_Rescue
ABBUD_LIF_SIGNALING_1_DN,-0.9883913910679827,0.754046997389034,0.9704563239293401,0.7060926147792348
ABBUD_LIF_SIGNALING_1_UP,1.2456132432024953,0.5057884631020658,1.5446854352762427,0.1327676214578745
ABDELMOHSEN_ELAVL4_TARGETS,0.8181170096559375,0.8849934074106229,-1.052006033789074,0.6512724238631623
ABE_INNER_EAR,1.1932015606472797,0.5405150894660878,-1.3011444958278535,0.38156663790624107
ABE_VEGFA_TARGETS,1.165847800841789,0.6109038043871396,-1.2178377890207954,0.4920429981794471
ABE_VEGFA_TARGETS_2HR,1.7714400979057545,0.04809441581419322,-0.7717032507325113,0.8699697240192515
ABE_VEGFA_TARGETS_30MIN,1.2702924672466578,0.4808360977919511,0.9839708518157275,0.6898111863199144
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN,-0.8869284803041205,0.8492394870265434,-0.9228064286770832,0.7481049405601088
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP,0.9987116255946493,0.7636910360005886,-1.6507327632239681,0.15050121492393403
ABRAMSON_INTERACT_WITH_AIRE,-0.9720061160740266,0.7421283249987782,1.8260596916035083,0.052060531453907447
ACEVEDO_LIVER_CANCER_DN,1.0723281932337045,0.6093418717343948,-1.3479666005750983,0.1090196929858282
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,0.7989833716627208,0.9561437469676997,1.040256020096255,0.5600988761028616
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,-0.9195499988859187,0.9065764600537259,1.1427060795910218,0.3777464555177846
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,-1.230879913582337,0.4154842283386643,0.986938709635641,0.6817178291001939
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,-1.4516400313792572,0.09521049572348782,1.0711631572680793,0.5215388477123336
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,1.1967800189381963,0.41532066684832425,-1.3264713318622834,0.24146196345091372
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,0.9581859723939549,0.8352161365929396,-1.3866099520562813,0.17269771637198966
