gene
ABCA7
ABCC1
ABCC2
ACAP3
ACTR1B
ADCY3
AKR7A3
AMDHD2
ARHGAP5-AS1
CADM1
CAT
CCNA2
CDC20
CDK10
CDKN2C
CES3
CHEK1
CHKB-CPT1B
CHTF18
CITED2
COMTD1
CROCC
CTDSP1
CXXC4
CYBC1
CYP1B1
DACT1
DDB2
DDIT3
DDIT4
DDT
DDTL
DEPP1
DHRS3
DKK1
DOCK4
DPP7
EDN1
EFNA4
EGR1
ENC1
ENGASE
ENSG00000291006
ENTR1
EPRS1
EPS8L2
FANCE
FAS
FBXO44
FDXR
FJX1
FLRT3
FTH1
FTL
G6PD
GCLC
GCLM
GDF15
GPR39
GPX1
GPX2
GSR
GSTA1
GSTA2
GSTM1
GSTP1
H1-0
H1-10
H19
H2AC6
H4C14
H4C15
H4C3
HAGHL
HDAC6
HMG20B
HMOX1
HOXB-AS3
HOXB6
HOXB7
HOXB9
HOXC6
HSPA1B
ID3
IP6K2
IQGAP3
ITGA10
JUN
JUND
KEAP1
KIF20A
KIFC2
KLF6
KLF9
KLHL17
KLRK1-AS1
LAMA4
LAMB2
LIF
LIG1
LINC02315
LINC02381
LPCAT4
LRP6
LRRC45
LYPD1
MAFG
MAFK
MAMDC4
MANBA
MAP3K12
MATCAP1
ME1
MECOM
METTL26
MFSD3
MIA2
MOV10
MT1H
MT1X
MYO15B
NAB2
NAGLU
NBEAL2
NEURL1B
NFATC4
NFE2L2
NME3
NOG
NOXA1
NQO1
NR4A2
NRP1
NT5C
OBSL1
OGDHL
OTUD1
PAQR4
PBXIP1
PCDH7
PDE5A
PDGFC
PGD
PGP
PHKG2
PHLDB2
PIDD1
PIGQ
PIK3R3
PKN3
PLA2R1
PLAT
PLCXD1
PLD1
PLEKHH3
PLK1
PPP1R16A
PPP1R35
PPP1R7
PPP2CB
PRDX1
PRDX2
PRDX3
PRDX4
PRDX5
PRDX6
PSMD12
PSMD3
PSME1
PTGS2
RAB26
RASSF7
RCBTB1
RECQL4
RFNG
RHOT2
RHPN1
RIN2
ROBO1
RPL22L1
RPL38
SAPCD2
SCARNA12
SEMA3B
SEMA3C
SEMA4C
SEMA6C
SFMBT2
SGSM2
SGSM3
SHOC1
SIVA1
SKIC2
SLC2A8
SLC35B3
SLC35E2A
SLC7A11
SMOC1
SNHG32
SNHG8
SNORA73A
SNORD35B
SOD1
SOD2
SPG7
SPSB3
SRXN1
STAT2
STAT6
TAFAZZIN
TBC1D9
TCF25
TCP11L2
TK1
TMEM80
TMUB2
TNIK
TONSL
TOP3B
TRAF1
TRHDE-AS1
TRIB2
TRPT1
TSHZ2
TUBA1A
TUBGCP6
TXN
TXNIP
TXNRD1
TXNRD2
TYK2
UBE2C
UGT1A1
UNG
UTP25
UTRN
VIM
VIM-AS1
WDR90
ZBTB4
ZFTRAF1
ZNF608
