gene
A2M
ABCA8
ABCC3
ADCY2
AFMID
ARHGAP6
ARSK
ATP8B4
AVPR1A
BMP5
BMS1P10
C2CD2
CACHD1
CARD8
CCPG1
CD52
CHMP7
CHST15
CLTCL1
COL25A1
CPS1
CPT1A
CRLF1
CYP39A1
CYP4X1
DFFA
DSTN
DTWD1
EHD2
EIF4G3
EMCN
EP400P1
EPS8
EYA2-AS1
FILIP1
FLNA
GALK2
GAS1RR
GATA2-AS1
GLIPR1L2
HDAC1
HEATR3
HERC4
HSD17B4
INMT
INTS8
IRAG1
IRX2
ITGA8
ITGB5
ITIH3
KATNAL2
KCNK6
KLHL23
L1TD1
LEPR
LGR5
LINC00649
LINC00987
LINC01290
LMO3
LPL
LPP
LRRC19
MBNL3
MED28
MGST1
MICU3
MINDY4
MSRB1
MYL9
MYOM1
NAXD-AS1
NCKIPSD
NPR3
NR1H4
NUP50-DT
PABPC4L
PABPC5
PANK2
PCMTD1
PEAK3
PEX13
PHACTR2
PLAGL1
PLXNA4
PRKCI
RASA3-IT1
RBPJ
RECK
RPE
SCUBE3
SDR42E1
SHC3
SLC25A20
SLC43A1
SLIT3
SMAD9
SNED1
SNX1
STK17B
STK38
STXBP4
SULT1B1
SVEP1
TAGLN
TBC1D8B
TBCK
TBL1XR1
TINAGL1
TMED10P2
TMEM154
TMEM178A
TMEM45A
TMEM81
TMOD3
TOR1AIP2
TP53I11
TPM1
TRHDE
TSPAN2
TSPAN8
TTC39C-AS1
TTC9C
YIPF4
ZNF154
