pathway,Contrast,NES,pval,padj
Oxidative,H2O2_vs_CTRL,-0.7958937074716883,0.9910714285714286,0.9910714285714286
Senescence,H2O2_vs_CTRL,1.0940284018425996,0.2850729517396184,0.5701459034792368
Oxidative,PRG4_vs_CTRL,-0.9761442414126225,0.5215827338129496,0.5215827338129496
Senescence,PRG4_vs_CTRL,-1.4271514092908748,0.03836930455635491,0.07673860911270983
Oxidative,H2O2PRG4_vs_H2O2,-1.1061368999053791,0.26765799256505574,0.26765799256505574
Senescence,H2O2PRG4_vs_H2O2,-1.471828318031033,0.03097018093867526,0.06194036187735052
