gene_set,top_n,rpe1_top_genes,k562_top_genes,overlap,jaccard,hypergeom_pval,n_shared_genes,spearman_corr,corr_pval
Age,200,199,200,24,0.064,3.0650761038724194e-19,2817,0.13728387430182104,2.519993201860899e-13
AMD-Macula,200,197,200,6,0.015345268542199489,0.014481653263875332,2817,0.0497125378247722,0.008315726959690324
AMD-nonMacula,200,200,200,4,0.010101010101010102,0.14104644777376493,2817,0.009452632839753594,0.6160256283026501
Senescence,200,195,199,5,0.012853470437017995,0.04569994890073211,2817,0.21131916976042167,8.394789484828409e-30
Redox,200,198,200,12,0.031088082901554404,7.647899833360565e-07,2817,0.1312625843562023,2.6714872355080517e-12
Inflammation,200,197,200,10,0.025839793281653745,3.042034614997054e-05,2817,-0.0023225092605850153,0.9019379511864611
