gene,n_appearances,appears_in
NUF2,2,AMD-nonMacula_RPE1; Age_K562_GWPS
CLK2,2,AMD-Macula_RPE1; Inflammation_RPE1
OR7A17,2,AMD-Macula_RPE1; Senescence_K562_GWPS
ZNF629,2,AMD-Macula_K562_GWPS; Inflammation_K562_GWPS
PDCD6,2,AMD-Macula_RPE1; Redox_RPE1
HIST2H2BF,2,Redox_RPE1; AMD-Macula_K562_GWPS
PSMC5,2,AMD-nonMacula_RPE1; Redox_RPE1
WBP11,2,AMD-nonMacula_RPE1; Redox_RPE1
TIMM50,2,Senescence_K562_GWPS; Inflammation_K562_GWPS
UBAP2L,2,AMD-Macula_K562_GWPS; AMD-nonMacula_K562_GWPS
MTBP,2,AMD-nonMacula_K562_GWPS; Inflammation_K562_GWPS
RPL5,2,AMD-nonMacula_K562_GWPS; Inflammation_K562_GWPS
CD8B,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
HAUS7,2,AMD-Macula_RPE1; Senescence_RPE1
ACTR6,2,Redox_RPE1; Age_K562_GWPS
HIST2H3D,2,Redox_RPE1; AMD-Macula_K562_GWPS
NSRP1,2,AMD-nonMacula_RPE1; Inflammation_RPE1
NDUFS5,2,Inflammation_RPE1; Inflammation_K562_GWPS
PSMD12,2,Age_RPE1; Redox_K562_GWPS
PSMC2,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
PHF20L1,2,Senescence_K562_GWPS; Inflammation_K562_GWPS
PRPF8,2,Redox_RPE1; Age_K562_GWPS
DHX29,2,Age_RPE1; Inflammation_RPE1
LCE1C,2,AMD-Macula_RPE1; AMD-Macula_K562_GWPS
COMTD1,2,AMD-Macula_RPE1; Senescence_RPE1
NOSIP,2,AMD-Macula_K562_GWPS; Redox_K562_GWPS
PSME2,2,AMD-Macula_RPE1; Inflammation_K562_GWPS
UBR4,2,Age_RPE1; Senescence_K562_GWPS
PPY,2,AMD-nonMacula_RPE1; Inflammation_RPE1
PHKG1,2,AMD-Macula_K562_GWPS; AMD-nonMacula_K562_GWPS
KLHL11,2,Senescence_RPE1; Inflammation_RPE1
SUPT20H,2,Inflammation_RPE1; Age_K562_GWPS
MRPL28,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
SUPT16H,2,AMD-nonMacula_RPE1; Age_K562_GWPS
