gene,n_appearances,appears_in
SAE1,3,Age_RPE1; AMD-nonMacula_RPE1; Age_K562_GWPS
PHAX,3,Age_RPE1; AMD-nonMacula_RPE1; Age_K562_GWPS
SF3A1,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Inflammation_RPE1
ALDOA,3,Age_RPE1; Redox_RPE1; Inflammation_K562_GWPS
PTEN,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
CACNB3,3,AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1
DOLK,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
SF3A2,3,Age_RPE1; AMD-nonMacula_RPE1; Redox_RPE1
SOS1,3,AMD-nonMacula_K562_GWPS; Senescence_K562_GWPS; Inflammation_K562_GWPS
HIST1H2AE,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
CHMP6,3,AMD-nonMacula_RPE1; Redox_RPE1; Age_K562_GWPS
DNAJC8,3,AMD-nonMacula_RPE1; Inflammation_RPE1; Age_K562_GWPS
TNNT2,3,Age_RPE1; AMD-Macula_RPE1; Senescence_RPE1
POTEI,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Inflammation_RPE1
ZNF24,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; AMD-nonMacula_K562_GWPS
MRPS11,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
POLR2L,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Inflammation_RPE1
HIST1H2BJ,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
IRF2BP2,3,AMD-Macula_RPE1; Senescence_RPE1; Age_K562_GWPS
SIRT7,3,Age_RPE1; Redox_RPE1; Inflammation_RPE1
CCAR1,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Inflammation_RPE1
INTS12,3,AMD-nonMacula_RPE1; Redox_RPE1; Redox_K562_GWPS
LACTB2,3,AMD-Macula_K562_GWPS; Senescence_K562_GWPS; Redox_K562_GWPS
GJA3,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
PSMA3,3,Age_RPE1; AMD-nonMacula_RPE1; Redox_RPE1
SPDYE2,3,AMD-Macula_RPE1; Redox_RPE1; AMD-Macula_K562_GWPS
MRPL41,3,AMD-Macula_RPE1; Senescence_RPE1; Redox_K562_GWPS
COPZ1,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
H2AFZ,3,AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1
PGD,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
DAP3,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
TMEM214,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
UBE2M,3,AMD-Macula_RPE1; Senescence_RPE1; Redox_RPE1
METTL21A,3,AMD-nonMacula_RPE1; Senescence_RPE1; Age_K562_GWPS
HIST1H2BN,3,Age_RPE1; Senescence_RPE1; Inflammation_K562_GWPS
MFN2,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
HLA-C,3,AMD-Macula_RPE1; Inflammation_RPE1; AMD-nonMacula_K562_GWPS
MRPL16,3,AMD-Macula_RPE1; Redox_RPE1; Redox_K562_GWPS
UBTF,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
DCUN1D5,3,AMD-nonMacula_RPE1; AMD-nonMacula_K562_GWPS; Redox_K562_GWPS
