perturbation,spearman_rho,target_gene
1551_CHCHD4_P1P2_ENSG00000163528,0.1973474801061008,CHCHD4
307_ANAPC2_P1P2_ENSG00000176248,0.19693230307922963,ANAPC2
6963_PWP2_P1P2_ENSG00000241945,0.1969092376888479,PWP2
7891_SHC1_P2_ENSG00000160691,0.19637873371006803,SHC1
6861_PSMC4_P1P2_ENSG00000013275,0.1962326529043171,PSMC4
7493_RPP40_P1P2_ENSG00000124787,0.19526390650828432,RPP40
4130_INO80_P1P2_ENSG00000128908,0.19471033713912275,INO80
5083_MIS18A_P1P2_ENSG00000159055,0.19433360242955447,MIS18A
6849_PSMB1_P1P2_ENSG00000008018,0.19423365240456694,PSMB1
7338_RNF113A_P1P2_ENSG00000125352,0.19413370237957944,RNF113A
5551_NDUFB10_P1P2_ENSG00000140990,0.19387229462191982,NDUFB10
1843_CPSF4_P1P2_ENSG00000160917,0.19364932918156308,CPSF4
8816_TELO2_P1P2_ENSG00000100726,0.19318033291046785,TELO2
6777_PRMT5_P1_ENSG00000100462,0.19257294429708224,PRMT5
884_BRCA1_P1P2_ENSG00000012048,0.1925575673701611,BRCA1
