perturbation,spearman_rho,target_gene
2366_DPY19L4_P1P2_ENSG00000156162,0.13911412930697603,DPY19L4
5400_MYO1H_ENST00000431443.2_ENSG00000174527,0.1383352456605906,MYO1H
3871_HNRNPL_P2_ENSG00000104824,0.13772529455171295,HNRNPL
9677_USP9X_P1P2_ENSG00000124486,0.13751065839470245,USP9X
5936_OLFML3_P1P2_ENSG00000116774,0.13673924963935716,OLFML3
9550_UBTF_P1P2_ENSG00000108312,0.1356650010127274,UBTF
3717_HHEX_P1P2_ENSG00000152804,0.13495638134211957,HHEX
6138_PCNX3_P1P2_ENSG00000197136,0.13419885452727748,PCNX3
5255_MRPS25_P1P2_ENSG00000131368,0.13376637868852492,MRPS25
6128_PCID2_P2_ENSG00000126226,0.13350498532659938,PCID2
4292_KCNA10_ENST00000369771.2_ENSG00000143105,0.1327754217049142,KCNA10
9438_TVP23C_P1P2_ENSG00000175106,0.13234956648394008,TVP23C
9655_USP39_P2_ENSG00000168883,0.13191388712045604,USP39
454_ARGFX_P1P2_ENSG00000186103,0.13143442625230817,ARGFX
11153_non-targeting_non-targeting_non-targeting,0.13078880923475317,non-targeting
10876_non-targeting_non-targeting_non-targeting,0.13009684789274908,non-targeting
