perturbation,spearman_rho,target_gene
6081_PARS2_P1P2_ENSG00000162396,0.1182352843968734,PARS2
4535_LCN10_P1P2_ENSG00000187922,0.11775233694995564,LCN10
9550_UBTF_P1P2_ENSG00000108312,0.11759410902302525,UBTF
3518_GPS2_P1P2_ENSG00000132522,0.11747043546244391,GPS2
4701_LST1_P2_ENSG00000204482,0.11711660547039007,LST1
5290_MSRB1_P1P2_ENSG00000198736,0.11654942591189967,MSRB1
3944_HS6ST1_P1P2_ENSG00000136720,0.11617499732388929,HS6ST1
3754_HIST1H2AI_ENST00000358739.3_ENSG00000196747,0.11456477246166767,HIST1H2AI
9828_WDR54_P1P2_ENSG00000005448,0.11333148937466506,WDR54
11227_non-targeting_non-targeting_non-targeting,0.11328840616537428,non-targeting
7976_SLC1A5_P1_ENSG00000105281,0.11249057612785636,SLC1A5
11164_non-targeting_non-targeting_non-targeting,0.11245628302278327,non-targeting
11010_non-targeting_non-targeting_non-targeting,0.11211015300342221,non-targeting
6582_POTEI_ENST00000451531.2_ENSG00000196834,0.11186861271882538,POTEI
6149_PC_P1P2_ENSG00000173599,0.11165718630664014,PC
10380_ZNF468_P1P2_ENSG00000204604,0.11162489810372221,ZNF468
