perturbation,spearman_rho,target_gene
6846_PSMA6_P1P2_ENSG00000100902,0.19100438345721363,PSMA6
11175_non-targeting_non-targeting_non-targeting,0.19077568134171904,non-targeting
9749_VPS33A_P1P2_ENSG00000139719,0.18902229845626067,VPS33A
2010_CYS1_P1P2_ENSG00000205795,0.18833619210977698,CYS1
6112_PCBP2_P2_ENSG00000197111,0.1875738517247951,PCBP2
5749_NOP56_P1P2_ENSG00000101361,0.18726891557080233,NOP56
3759_HIST1H2BB_P1P2_ENSG00000276410,0.18711644749380596,HIST1H2BB
5220_MRPL38_P1P2_ENSG00000204316,0.18665904326281682,MRPL38
3874_HNRNPM_P2_ENSG00000099783,0.18665904326281682,HNRNPM
5077_MICOS10_P1P2_ENSG00000173436,0.1858967028778349,MICOS10
1638_CLCC1_P1P2_ENSG00000121940,0.185515532685344,CLCC1
6841_PSMA1_P1P2_ENSG00000129084,0.18513436249285303,PSMA1
11029_non-targeting_non-targeting_non-targeting,0.18421955403087475,non-targeting
8136_SMAGP_P1P2_ENSG00000170545,0.18368591576138743,SMAGP
8481_STAG2_P1_ENSG00000101972,0.18269487326091097,STAG2
