pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,perturbation_id,target_gene
Redox-ANTI,0.0881612090680101,0.286523929471033,-0.547676716661691,-1.44237338942783,34,10,NQO1|BRCA1|CAT|GSS|SOD1|CXCL8,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
Inflammation-PRO,0.0011037527593819,0.0143487858719647,0.363458229738614,1.58744160498749,0,268,BTG1|S100A13|CCND1|RHOB|ATF3|CDKN1A|CEBPB|CSF1|FAS|SQSTM1|PTPN1|DUSP1|DUSP5|TNIP1|SMAD3|BMP2|TGIF1|NINJ1|TAPBP|HSPA1A|DNAJB4|PANX1|VEGFA|MAP2K3|CFLAR|TIMP1|ADM|DCBLD2|KLF10|XPNPEP1|INHBA|STAT2|PSEN1|SAT1|B4GALT1|GMFB|ITGA5|GADD45B|NFAT5|CD44|OSMR|IER5|PNRC1|PLAUR|CCL2|USP8|IL4R|JUNB|COL4A2|TFPI2|LAMP2|PMEPA1|IFNGR1|CTSB|KLF9|DYRK2|TPBG|CBL|RBSN|PHLDA2|BTG3|GEM|DRAM1|PREP|BHLHE40|CD46|TRIP10|CD55|LTBR|NFKB1|FOSL2,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
Inflammation-ANTI,0.293539325842697,0.56,0.337144645715915,1.12129192238157,208,39,RPS19|EXTL3|FXR1|GRN|METRNL|CYLD|RB1|TYRO3,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
Age-UP,0.0233793836344315,0.10131066241587,0.409901771669221,1.40057381603748,21,141,RBP1|SCAND1|APLP2|GPX4|VEGFA|ABHD8|PCOLCE2|CST3|TCF7|ANKRD9|MARCKSL1|VGLL4|MAN2A1|FAP|SLC39A3|SDC4|ARHGAP1|SOX9|NETO2|C9orf16|MAP1S|CSNK1E|HLCS|FADS3|GALNT10|CHN1|DENND1A|SLC9A3R1|LAYN|SEC14L2|RBBP9|THAP7|VASN|MED22,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
Age-DOWN,0.176940639269406,0.230022831050228,0.377148388269491,1.21240201546202,154,80,MBOAT2|RBPJ|GNA13|NRP1|SMG1|PTEN|DNAJB4|ARHGAP21|ZEB2|FGD6|CGGBP1|WBP4|KIF1B|RAB22A|FLCN|SNX6|AGPAT4|NR3C1|SLC38A2|WDR26|RIT1|SAMD9L|DDAH2|ARMCX3|TBL1XR1|WRN|ARMCX2|EDEM3|FRYL|ROR1|STK38L|SH3GLB1|ZNF518B|ATG2B|NFAT5,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
ARE,0.266666666666667,0.315151515151515,0.324492665752702,1.11068695207875,251,151,PLAT|TUBA1A|HMOX1|TBC1D9|UTP25|NRP1|LIF|STAT6|SOD2|JUN|VIM|DHRS3|PGP|NME3|CITED2|JUND|KEAP1|TXNIP|TRHDE-AS1|LAMA4|RIN2|KLF6|ABCC1|SPSB3|CYBC1|DPP7,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
AMD-Macula-UP,0.088622754491018,0.185714285714286,0.437917401650603,1.33277078482613,73,57,EHD2|ITGB5|TOR1AIP2|RBPJ|PHACTR2|PEX13|LPP|KCNK6|CCPG1|PCMTD1,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
AMD-Macula-DOWN,0.497429305912596,0.506437768240343,0.345933326563921,0.967828508593251,386,32,PSAP|SLC25A28|LINC00511|SCARA3|HSF2BP|SNHG4|NEPRO|PTPRA|TIMM23B|DEAF1,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
AMD-nonMacula-UP,0.506437768240343,0.506437768240343,0.292520291735371,0.988772409493003,471,129,EHD2|TOR1AIP2|ATP2B4|ATP8B2|PEX6|MAP1A|KCNMA1|ERC1|APBA2|WDFY2|CACNB3|PDE4DIP|CHD3|P4HA2|DLG5|GNB5|NFASC|TMEM127|MEIS2|SCD5|AGPAT4|TCP11L1|WFS1|MEX3D|ZNF444|EXOC6B|MLH3|DYNC1H1|MFSD4B|CHMP7|ABLIM3|CHST7|TIMM29|ARHGEF28|DNAJC16|TRIM32|C2CD2|PLA2R1|PCDH9|HDAC5|EPN2|FAM20B|CEP126|JADE1|HERPUD2|SEPTIN6,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
AMD-nonMacula-DOWN,0.13448275862069,0.194252873563218,0.393838321868063,1.25271613969213,116,75,CTSK|CD63|LOXL1-AS1|FUCA2|CST3|ADTRP|BMP2|NPC2|ITGA6|MYO1E|SMOX|POPDC3|SOX9|NETO2|CDR2|PLPP5|SNHG4|GTF3A|VASN|CCDC51,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
Senescence-PRO,0.00110132158590308,0.00715859030837005,0.503167769392479,1.66905212215451,0,108,PLAT|CTSB|IGFBP6|ESM1|CD9|MMP2|IL6ST|MMP14|TIMP2|IL1B|VEGFA|BMP2|ANGPTL4|HMGA2|IGFBP7|PLAUR|JUN|SERPINE2|PTEN|CDKN2A|TNFRSF1A|VEGFC|EGFR|MAPK7|SPP1|UBC|ANAPC11,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
Senescence-ANTI,0.1,0.185714285714286,-0.607566184590723,-3.07668110374278,0,300,HMGN2|MT2A|PA2G4|RANBP1|PTTG1|CDKN3|XRCC6|JPT1|ANP32E|SNRPD1|HNRNPD|RRM2|SNRPB|RAN|KPNB1|TFRC|NUSAP1|SSRP1|UBE2S|UBE2T|DTYMK|ODC1|PBK|PRC1|DEK|DUT|TMPO|MAD2L1|RPA3|SAP30|SMC1A|PSIP1|NASP|CDC20|DIAPH3|SRSF2|HMMR|PRKDC|CENPM|EIF2S1|TPX2|HMGB2|CCNA2|CKS2|CCNB2|NDC80|BUB1|STMN1|RBBP7|NME1|KPNA2|PCNA|NAP1L1|PAICS|NOP56|BUB3|LMNB1|SFPQ|CDCA3|MCM7|NCAPD2|TOP2A|NUDT21|AURKA|DLGAP5|HIF1A|CKS1B|EZH2|ATAD2|RFC2|CENPF|HELLS|KIF11|LYAR|GINS2|BIRC5|MKI67|KIF20B|LBR|HNRNPU|POLE4|SMC2|MYBL2|HSPA8|KIF5B|UBR7|POLD2|GSPT1|KIF23|MCM3|RAD51AP1|DEPDC1|CDCA8|EXOSC8|AK2|CDC45|SMC4|CBX5|AURKB|SMC3|KIF2C|USP1|CDC25B|CDC6|KIF4A|SPC25|CSE1L|CDK1|RPA2|ORC6|RAD21|KIF22|TUBG1|CDKN1B|LIG1|CENPE|PLK1|CTPS1|GINS4|KNL1|SPAG5|PURA|ASF1A|NOLC1|ASF1B|TIPIN|DNMT1|CDC27|XPO1|KIF15|PRIM2|CUL4A|SMARCC1|SLC7A1|HMGB3|DKC1|SPC24|CDKN2C|WEE1|TROAP|BUB1B|PSMC3IP|RACGAP1|CENPA|CDK4|CIT|GINS1,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
