Perturbation,Gene_Target,Axis_Score
4148_INTS3_P1P2_ENSG00000143624,INTS3,0.09657055
4281_KAT8_P1_ENSG00000103510,KAT8,0.09535438
8190_SMU1_P1P2_ENSG00000122692,SMU1,0.09522334
8216_SNRNP200_P1P2_ENSG00000144028,SNRNP200,0.09463412
8913_TIMELESS_P1P2_ENSG00000111602,TIMELESS,0.09430213
5340_MTPAP_P1P2_ENSG00000107951,MTPAP,0.09387845
6861_PSMC4_P1P2_ENSG00000013275,PSMC4,0.09385869
5588_NEDD8_P1P2_ENSG00000129559,NEDD8,0.0934147
2792_EXOSC5_P1P2_ENSG00000077348,EXOSC5,0.09329442
7393_RNF4_P1P2_ENSG00000063978,RNF4,0.093242444
3134_FOLR3_P2_ENSG00000110203,FOLR3,0.09222388
5462_NAPA_P1P2_ENSG00000105402,NAPA,0.09154023
8331_SPC24_P1P2_ENSG00000161888,SPC24,0.09151811
2784_EXOC7_P1P2_ENSG00000182473,EXOC7,0.09140709
3570_GTF2E2_P1P2_ENSG00000197265,GTF2E2,0.09061193
8668_TAF6_P1P2_ENSG00000106290,TAF6,0.09052312
2858_FAM136A_P1P2_ENSG00000035141,FAM136A,0.08965317
1458_CDT1_P1P2_ENSG00000167513,CDT1,0.089527965
8670_TAF8_P1P2_ENSG00000137413,TAF8,0.08944936
7754_SEC62_P1P2_ENSG00000008952,SEC62,0.08938708
3573_GTF2H1_P1P2_ENSG00000110768,GTF2H1,0.08935002
2203_DHX15_P1P2_ENSG00000109606,DHX15,0.08837732
9682_UTP15_P1P2_ENSG00000164338,UTP15,0.0882035
5128_MNAT1_P1P2_ENSG00000020426,MNAT1,0.08805653
6544_POLR2D_P1_ENSG00000144231,POLR2D,0.08769783
7423_RPAP2_P1P2_ENSG00000122484,RPAP2,0.08690512
6863_PSMC6_P1P2_ENSG00000100519,PSMC6,0.086117454
2707_ERH_P1P2_ENSG00000100632,ERH,0.08578658
9328_TRRAP_P1P2_ENSG00000196367,TRRAP,0.08572799
3677_HEATR1_P1P2_ENSG00000119285,HEATR1,0.08559707
6550_POLR2I_P1P2_ENSG00000105258,POLR2I,0.08527768
431_AQR_P1P2_ENSG00000021776,AQR,0.084558845
7077_RAE1_P1P2_ENSG00000101146,RAE1,0.08354575
6154_PDCD2_P1P2_ENSG00000071994,PDCD2,0.08304609
5470_NAT10_P1P2_ENSG00000135372,NAT10,0.08288657
5860_NUDCD3_P1P2_ENSG00000015676,NUDCD3,0.082659975
2695_ERCC3_P1P2_ENSG00000163161,ERCC3,0.08242232
6867_PSMD13_P1P2_ENSG00000185627,PSMD13,0.08202055
5492_NCAPH_P1P2_ENSG00000121152,NCAPH,0.08201168
3731_HINFP_P1P2_ENSG00000172273,HINFP,0.08186318
1779_COPS3_P1P2_ENSG00000141030,COPS3,0.08174597
8207_SNAPC3_P1P2_ENSG00000164975,SNAPC3,0.08148521
3567_GTF2A2_P1P2_ENSG00000140307,GTF2A2,0.08108903
7509_RPS19_P1P2_ENSG00000105372,RPS19,0.081058234
4150_INTS5_P1P2_ENSG00000185085,INTS5,0.0807283
10703_ZNRD1_P1P2_ENSG00000066379,ZNRD1,0.08061317
1329_CCNH_P1P2_ENSG00000134480,CCNH,0.08052648
6874_PSMD6_P1P2_ENSG00000163636,PSMD6,0.080310814
8230_SNRPD3_P1P2_ENSG00000100028,SNRPD3,0.08029498
9841_WDR75_P1P2_ENSG00000115368,WDR75,0.080223784
8662_TAF2_P1P2_ENSG00000064313,TAF2,0.07998589
490_ARID3A_P1P2_ENSG00000116017,ARID3A,0.079781845
6239_PFDN4_P1P2_ENSG00000101132,PFDN4,0.07972639
6238_PFDN2_P1P2_ENSG00000143256,PFDN2,0.07955612
1780_COPS4_P1P2_ENSG00000138663,COPS4,0.07927728
6857_PSMC1_P1P2_ENSG00000100764,PSMC1,0.07904799
8205_SNAPC1_P1P2_ENSG00000023608,SNAPC1,0.07866637
4273_KARS_P1P2_ENSG00000065427,KARS,0.07852636
10202_ZNF207_P1_ENSG00000010244,ZNF207,0.07823244
7527_RPS5_P1P2_ENSG00000083845,RPS5,0.07781086
9910_XRN1_P1P2_ENSG00000114127,XRN1,0.07698599
8218_SNRNP27_P1P2_ENSG00000124380,SNRNP27,0.0768584
7507_RPS18_P1P2_ENSG00000231500,RPS18,0.07678205
6866_PSMD12_P1P2_ENSG00000197170,PSMD12,0.076423995
7459_RPL31_P1P2_ENSG00000071082,RPL31,0.076404534
3504_GPN3_P1P2_ENSG00000111231,GPN3,0.07630968
4464_KPNB1_P1P2_ENSG00000108424,KPNB1,0.076283075
8741_TBP_P1P2_ENSG00000112592,TBP,0.07613608
9926_YEATS4_P1P2_ENSG00000127337,YEATS4,0.0758784
9820_WDR43_P1P2_ENSG00000163811,WDR43,0.07549925
8271_SON_P1_ENSG00000159140,SON,0.07517842
6797_PRPF3_P1P2_ENSG00000117360,PRPF3,0.07512789
6460_PLRG1_P1P2_ENSG00000171566,PLRG1,0.07497045
5599_NELFB_P1P2_ENSG00000188986,NELFB,0.07463024
8206_SNAPC2_P1P2_ENSG00000104976,SNAPC2,0.07444687
8238_SNW1_P1_ENSG00000100603,SNW1,0.07409362
6547_POLR2F_P1P2_ENSG00000100142,POLR2F,0.07390597
6872_PSMD4_P1P2_ENSG00000159352,PSMD4,0.07369246
2238_DLD_P1P2_ENSG00000091140,DLD,0.07366483
2791_EXOSC4_P1P2_ENSG00000178896,EXOSC4,0.07357884
1365_CD3EAP_P1P2_ENSG00000117877,CD3EAP,0.07342216
6455_PLK4_P1P2_ENSG00000142731,PLK4,0.073183365
2233_DIS3_P1P2_ENSG00000083520,DIS3,0.073169395
7526_RPS4X_P1P2_ENSG00000198034,RPS4X,0.07314504
6024_PABPC1_P1P2_ENSG00000070756,PABPC1,0.07284972
10029_ZC3H8_P1P2_ENSG00000144161,ZC3H8,0.07284967
8680_TANGO6_P1P2_ENSG00000103047,TANGO6,0.07262209
32_ABCE1_P1P2_ENSG00000164163,ABCE1,0.072432145
4154_INTS9_P1P2_ENSG00000104299,INTS9,0.07200065
8621_SYMPK_P1P2_ENSG00000125755,SYMPK,0.071937814
7827_SET_P1P2_ENSG00000119335,SET,0.07168909
1782_COPS6_P1P2_ENSG00000168090,COPS6,0.07137891
9427_TUBGCP4_P1P2_ENSG00000137822,TUBGCP4,0.07105593
6887_PSMG4_P1P2_ENSG00000180822,PSMG4,0.07092516
9911_XRN2_P1P2_ENSG00000088930,XRN2,0.07088274
901_BRIX1_P1P2_ENSG00000113460,BRIX1,0.070860915
4272_KANSL3_P1P2_ENSG00000114982,KANSL3,0.07048459
3502_GPN1_P1P2_ENSG00000198522,GPN1,0.07040349
6276_PHB_P1P2_ENSG00000167085,PHB,0.06990061
5016_MFAP1_P1P2_ENSG00000140259,MFAP1,0.06989771
759_BANP_P1P2_ENSG00000172530,BANP,0.06989285
7422_RPAP1_P1P2_ENSG00000103932,RPAP1,0.069676094
9975_ZBTB17_P1P2_ENSG00000116809,ZBTB17,0.06954365
5928_OGFOD1_P1P2_ENSG00000087263,OGFOD1,0.06947976
3369_GINS1_P1P2_ENSG00000101003,GINS1,0.06931257
7561_RRP12_P1P2_ENSG00000052749,RRP12,0.06877307
8425_SRRM2_P1P2_ENSG00000167978,SRRM2,0.068691686
2110_DDX20_P1P2_ENSG00000064703,DDX20,0.0684967
5535_NDUFA2_P1P2_ENSG00000131495,NDUFA2,0.06800625
2490_EEF2_P1_ENSG00000167658,EEF2,0.067662425
7559_RRN3_P1P2_ENSG00000085721,RRN3,0.06757597
10738_ZWINT_P1P2_ENSG00000122952,ZWINT,0.06717091
5748_NOP2_P1P2_ENSG00000111641,NOP2,0.06712804
1197_CARS_P1P2_ENSG00000110619,CARS,0.06690735
5427_NAA25_P1P2_ENSG00000111300,NAA25,0.06685418
5900_NUP62_P1P2_ENSG00000213024,NUP62,0.066768
6855_PSMB6_P1_ENSG00000142507,PSMB6,0.06660492
6652_PPP1R10_P1P2_ENSG00000204569,PPP1R10,0.06658147
5904_NUP98_P1P2_ENSG00000110713,NUP98,0.06649312
6274_PHAX_P1_ENSG00000164902,PHAX,0.066033915
9790_WBP11_P1_ENSG00000084463,WBP11,0.0659827
497_ARIH1_P1P2_ENSG00000166233,ARIH1,0.065741524
3569_GTF2E1_P1P2_ENSG00000153767,GTF2E1,0.065643825
8458_SSRP1_P1P2_ENSG00000149136,SSRP1,0.06559213
6565_POLRMT_P1P2_ENSG00000099821,POLRMT,0.065382175
3517_GPS1_P1P2_ENSG00000169727,GPS1,0.06529526
4149_INTS4_P1P2_ENSG00000149262,INTS4,0.0651443
5649_NFKBIE_P1P2_ENSG00000146232,NFKBIE,0.06507725
1441_CDK7_P1P2_ENSG00000134058,CDK7,0.065048136
