Perturbation,Gene_Target,Axis_Score
632_ATMIN_P1P2_ENSG00000166454,ATMIN,inf
3089_FIZ1_P1P2_ENSG00000179943,FIZ1,inf
4165_IPO8_P1P2_ENSG00000133704,IPO8,inf
4890_MCAT_P1P2_ENSG00000100294,MCAT,inf
1703_CNBD2_P1P2_ENSG00000149646,CNBD2,inf
2915_FAM229A_P1P2_ENSG00000225828,FAM229A,inf
1680_CLSTN3_P2_ENSG00000139182,CLSTN3,inf
10515_ZNF627_P1P2_ENSG00000198551,ZNF627,inf
4119_ING1_P2_ENSG00000153487,ING1,inf
1976_CWF19L2_P1P2_ENSG00000152404,CWF19L2,inf
341_ANKRD46_P1P2_ENSG00000186106,ANKRD46,inf
3452_GNPTAB_P1P2_ENSG00000111670,GNPTAB,inf
3493_GPATCH8_P1P2_ENSG00000186566,GPATCH8,inf
8737_TBL2_P1_ENSG00000106638,TBL2,inf
756_BAK1_P1P2_ENSG00000030110,BAK1,inf
2182_DGKZ_P1P2_ENSG00000149091,DGKZ,inf
7718_SDCCAG8_P1P2_ENSG00000054282,SDCCAG8,inf
7647_SAP130_P1P2_ENSG00000136715,SAP130,inf
7634_SAE1_P1P2_ENSG00000142230,SAE1,inf
7668_SBDS_P1P2_ENSG00000126524,SBDS,inf
4079_IKBKE_P1P2_ENSG00000263528,IKBKE,inf
7809_SERTAD2_P1P2_ENSG00000179833,SERTAD2,inf
6734_PRDX1_P1P2_ENSG00000117450,PRDX1,inf
6681_PPP2R1A_P1_ENSG00000105568,PPP2R1A,inf
6604_PPA2_P1P2_ENSG00000138777,PPA2,inf
4755_MAFG_P1P2_ENSG00000197063,MAFG,inf
10447_ZNF559_P1P2_ENSG00000188321,ZNF559,inf
9125_TNFRSF10A_P1P2_ENSG00000104689,TNFRSF10A,inf
9130_TNFRSF1B_P2_ENSG00000028137,TNFRSF1B,inf
2118_DDX39B_P1P2_ENSG00000198563,DDX39B,inf
8248_SNX1_P1P2_ENSG00000028528,SNX1,inf
9845_WDR81_P2_ENSG00000167716,WDR81,inf
9836_WDR6_P1P2_ENSG00000178252,WDR6,inf
8246_SNX17_P1P2_ENSG00000115234,SNX17,inf
8430_SRSF11_P2_ENSG00000116754,SRSF11,inf
2668_EPHB6_P1P2_ENSG00000106123,EPHB6,inf
2642_ENO3_P2_ENSG00000108515,ENO3,inf
9815_WDR34_P1P2_ENSG00000119333,WDR34,inf
10101_ZFPL1_P1P2_ENSG00000162300,ZFPL1,inf
1526_CERS6_P1P2_ENSG00000172292,CERS6,inf
5340_MTPAP_P1P2_ENSG00000107951,MTPAP,inf
1588_CHMP6_P1P2_ENSG00000176108,CHMP6,0.74185777
3291_GATA1_P1P2_ENSG00000102145,GATA1,0.565145
4147_INTS2_P1P2_ENSG00000108506,INTS2,0.5255565
4540_LDB1_P2_ENSG00000198728,LDB1,0.49626836
4932_MED12_P1P2_ENSG00000184634,MED12,0.4928953
2376_DROSHA_P1P2_ENSG00000113360,DROSHA,0.44659308
4953_MED30_P1P2_ENSG00000164758,MED30,0.43276504
9747_VPS28_P1P2_ENSG00000160948,VPS28,0.40203592
8155_SMC1A_P1P2_ENSG00000072501,SMC1A,0.40035602
1583_CHMP3_P1P2_ENSG00000115561,CHMP3,0.40025055
8599_SUPT6H_P1P2_ENSG00000109111,SUPT6H,0.39307225
6163_GATD1_P1P2_ENSG00000177225,GATD1,0.3586226
4959_MED9_P1P2_ENSG00000141026,MED9,0.3535288
9341_TSG101_P1P2_ENSG00000074319,TSG101,0.35232544
6870_PSMD2_P1P2_ENSG00000175166,PSMD2,0.34609205
4317_KDM1A_P1P2_ENSG00000004487,KDM1A,0.33777666
7504_RPS15_P1P2_ENSG00000115268,RPS15,0.33591545
4150_INTS5_P1P2_ENSG00000185085,INTS5,0.32580724
4153_INTS8_P1P2_ENSG00000164941,INTS8,0.3210708
6927_PTPN1_P1P2_ENSG00000196396,PTPN1,0.30665365
2203_DHX15_P1P2_ENSG00000109606,DHX15,0.2980023
2541_EIF2S1_P1P2_ENSG00000134001,EIF2S1,0.2935773
2537_EIF2B3_P1P2_ENSG00000070785,EIF2B3,0.28945053
8157_SMC3_P1P2_ENSG00000108055,SMC3,0.2860648
680_ATP6V1B2_P1P2_ENSG00000147416,ATP6V1B2,0.2840367
8842_TFCP2L1_P1P2_ENSG00000115112,TFCP2L1,0.27322134
4696_LSM6_P1P2_ENSG00000164167,LSM6,0.27256206
2932_RIPOR1_P1_ENSG00000039523,RIPOR1,0.27167282
4944_MED21_P1P2_ENSG00000152944,MED21,0.26873598
1893_CSE1L_P1P2_ENSG00000124207,CSE1L,0.26454753
4941_MED19_P1P2_ENSG00000156603,MED19,0.2629481
6050_PAM16_P1P2_ENSG00000217930,PAM16,0.2618147
4152_INTS7_P1P2_ENSG00000143493,INTS7,0.26004368
8653_TAF12_P1P2_ENSG00000120656,TAF12,0.2566942
5587_NEDD8-MDP1_P1P2_nan,NEDD8-MDP1,0.24706332
8598_SUPT5H_P1P2_ENSG00000196235,SUPT5H,0.24102946
5588_NEDD8_P1P2_ENSG00000129559,NEDD8,0.24032748
13_AARS_P1P2_ENSG00000090861,AARS,0.2352271
7893_SEM1_P1P2_ENSG00000127922,SEM1,0.23390332
8008_SLC25A42_P1P2_ENSG00000181035,SLC25A42,0.22864838
7515_RPS26_P1P2_ENSG00000197728,RPS26,0.2269142
6875_PSMD7_P1P2_ENSG00000103035,PSMD7,0.22617695
2291_DNAJC17_P1P2_ENSG00000104129,DNAJC17,0.22481449
7657_SARS_P1P2_ENSG00000031698,SARS,0.22112471
2988_FBL_P1P2_ENSG00000105202,FBL,0.21977335
8332_SPC25_P1P2_ENSG00000152253,SPC25,0.21639986
2543_EIF2S3_P1P2_ENSG00000130741,EIF2S3,0.21607037
5861_NUDC_P1P2_ENSG00000090273,NUDC,0.21582928
4957_MED7_P1P2_ENSG00000155868,MED7,0.21573196
6276_PHB_P1P2_ENSG00000167085,PHB,0.21423833
2536_EIF2B2_P1P2_ENSG00000119718,EIF2B2,0.21119344
8431_SRSF1_P1P2_ENSG00000136450,SRSF1,0.21080965
2764_ETV4_P1P2_ENSG00000175832,ETV4,0.20953861
4956_MED6_P1P2_ENSG00000133997,MED6,0.20741634
8921_TIMM23B_P1P2_ENSG00000204152,TIMM23B,0.20677142
3980_HSPA9_P1P2_ENSG00000113013,HSPA9,0.20556654
5427_NAA25_P1P2_ENSG00000111300,NAA25,0.20438722
1716_CNOT1_P1P2_ENSG00000125107,CNOT1,0.20178106
9478_UBA1_P1_ENSG00000130985,UBA1,0.19795233
8651_TAF10_P1P2_ENSG00000166337,TAF10,0.19700794
7501_RPS13_P1P2_ENSG00000110700,RPS13,0.19609995
2292_DNAJC19_P1P2_ENSG00000205981,DNAJC19,0.19595005
6868_PSMD14_P1P2_ENSG00000115233,PSMD14,0.19143052
5900_NUP62_P1P2_ENSG00000213024,NUP62,0.18998039
2538_EIF2B4_P1P2_ENSG00000115211,EIF2B4,0.18967138
3818_HMBOX1_P1P2_ENSG00000147421,HMBOX1,0.18785046
7536_RPS6_P1P2_ENSG00000137154,RPS6,0.18612826
3654_HBS1L_P1P2_ENSG00000112339,HBS1L,0.18495367
8029_SLC2A8_P1P2_ENSG00000136856,SLC2A8,0.1841417
7012_RAB1B_P1P2_ENSG00000174903,RAB1B,0.18303847
9242_TRAPPC11_P1P2_ENSG00000168538,TRAPPC11,0.18038355
6552_POLR2K_P1P2_ENSG00000147669,POLR2K,0.17920528
2793_EXOSC6_P1P2_ENSG00000223496,EXOSC6,0.17890799
8923_TIMM44_P1P2_ENSG00000104980,TIMM44,0.17784968
9656_USP39_P1_ENSG00000168883,USP39,0.17778586
1701_CMTR1_P1P2_ENSG00000137200,CMTR1,0.17749171
4940_MED18_P1P2_ENSG00000130772,MED18,0.1767663
2893_TAFA2_P2_ENSG00000198673,TAFA2,0.17407136
5735_NOL6_P1P2_ENSG00000165271,NOL6,0.1739275
7155_RBM14-RBM4_P1_nan,RBM14-RBM4,0.17346917
4939_MED17_P1P2_ENSG00000042429,MED17,0.17328322
679_ATP6V1A_P1P2_ENSG00000114573,ATP6V1A,0.17267996
6603_PPA1_P1P2_ENSG00000180817,PPA1,0.17109035
3554_GSPT1_P1P2_ENSG00000103342,GSPT1,0.16978483
9380_TTC1_P1P2_ENSG00000113312,TTC1,0.16953038
3504_GPN3_P1P2_ENSG00000111231,GPN3,0.16895725
8500_STAT6_P1P2_ENSG00000166888,STAT6,0.1687143
968_C12orf60_P1P2_ENSG00000182993,C12orf60,0.16847602
7441_RPL17_P1P2_ENSG00000265681,RPL17,0.16789405
4951_MED28_P1P2_ENSG00000118579,MED28,0.16784729
6275_PHB2_P1P2_ENSG00000215021,PHB2,0.16532448
3833_HMGCS1_P1P2_ENSG00000112972,HMGCS1,0.16522688
11174_non-targeting_non-targeting_non-targeting,non-targeting,0.16503832
3677_HEATR1_P1P2_ENSG00000119285,HEATR1,0.1645845
1040_C1orf131_P1P2_ENSG00000143633,C1orf131,0.1638136
10184_ZNF174_P1P2_ENSG00000103343,ZNF174,0.16339682
9847_WDR82_P1P2_ENSG00000164091,WDR82,0.16247539
7513_RPS24_P1P2_ENSG00000138326,RPS24,0.16214065
825_BGLAP_P1P2_ENSG00000242252,BGLAP,0.16188107
9443_TWISTNB_P1P2_ENSG00000105849,TWISTNB,0.16049868
7526_RPS4X_P1P2_ENSG00000198034,RPS4X,0.16026065
1747_COG8_P1P2_ENSG00000213380,COG8,0.15984042
7424_RPAP3_P1P2_ENSG00000005175,RPAP3,0.15976055
1610_CIAPIN1_P1P2_ENSG00000005194,CIAPIN1,0.1593535
699_ATR_P1P2_ENSG00000175054,ATR,0.15929243
127_ADAM10_P1P2_ENSG00000137845,ADAM10,0.15909018
1860_CREB3L3_P1P2_ENSG00000060566,CREB3L3,0.15806463
691_ATP8B2_P2_ENSG00000143515,ATP8B2,0.1578022
6549_POLR2H_P1P2_ENSG00000163882,POLR2H,0.1562241
9400_TTK_P1P2_ENSG00000112742,TTK,0.15589257
8666_TAF5_P1P2_ENSG00000148835,TAF5,0.15525886
2925_FAM50A_P1P2_ENSG00000071859,FAM50A,0.1550663
7454_RPL27A_P1P2_ENSG00000166441,RPL27A,0.1545696
4935_MED14_P1P2_ENSG00000180182,MED14,0.15393314
10029_ZC3H8_P1P2_ENSG00000144161,ZC3H8,0.15383293
6238_PFDN2_P1P2_ENSG00000143256,PFDN2,0.15369281
4952_MED29_P1P2_ENSG00000063322,MED29,0.1536547
7507_RPS18_P1P2_ENSG00000231500,RPS18,0.15149415
4930_MED10_P1P2_ENSG00000133398,MED10,0.15110964
6062_PAPOLA_P1P2_ENSG00000090060,PAPOLA,0.15089418
6474_PMF1_P1P2_ENSG00000160783,PMF1,0.1506669
2539_EIF2B5_P1P2_ENSG00000145191,EIF2B5,0.15047008
3308_GBF1_P1P2_ENSG00000107862,GBF1,0.15042487
4931_MED11_P1P2_ENSG00000161920,MED11,0.15041777
