Perturbation,Gene_Target,Axis_Score
10254_ZNF273_P1_ENSG00000198039,ZNF273,inf
1337_CCNT1_P1P2_ENSG00000129315,CCNT1,inf
7118_RASA1_P1_ENSG00000145715,RASA1,inf
3787_HIST2H2AC_P1P2_ENSG00000184260,HIST2H2AC,inf
4573_LHX6_P1_ENSG00000106852,LHX6,inf
4560_LGALS1_P1_ENSG00000100097,LGALS1,inf
842_BLMH_P1P2_ENSG00000108578,BLMH,inf
8430_SRSF11_P2_ENSG00000116754,SRSF11,inf
2521_EHMT2_P1P2_ENSG00000204371,EHMT2,inf
632_ATMIN_P1P2_ENSG00000166454,ATMIN,inf
2560_EIF4A2_P2_ENSG00000156976,EIF4A2,inf
2157_DEPDC1_P1P2_ENSG00000024526,DEPDC1,inf
2161_DERL1_P1P2_ENSG00000136986,DERL1,inf
2182_DGKZ_P1P2_ENSG00000149091,DGKZ,inf
1170_CAMTA2_P1P2_ENSG00000108509,CAMTA2,inf
4589_LIMS1_P1P2_ENSG00000169756,LIMS1,inf
3770_HIST1H2BN_P1P2_ENSG00000233822,HIST1H2BN,inf
4885_MBOAT7_P1P2_ENSG00000125505,MBOAT7,inf
4890_MCAT_P1P2_ENSG00000100294,MCAT,inf
798_BCL2L11_P2_ENSG00000153094,BCL2L11,inf
8080_SLC39A9_P1P2_ENSG00000029364,SLC39A9,inf
8053_SLC35F6_P1P2_ENSG00000213699,SLC35F6,inf
8587_SUMO1_P1P2_ENSG00000116030,SUMO1,inf
2642_ENO3_P2_ENSG00000108515,ENO3,inf
6202_PDXK_P1P2_ENSG00000160209,PDXK,inf
2668_EPHB6_P1P2_ENSG00000106123,EPHB6,inf
6231_PEX2_P1P2_ENSG00000164751,PEX2,inf
2598_ELMSAN1_P2_ENSG00000156030,ELMSAN1,inf
2599_ELOF1_P1P2_ENSG00000130165,ELOF1,inf
8672_TAF9_P1P2_ENSG00000273841,TAF9,inf
10428_ZNF534_P1P2_ENSG00000198633,ZNF534,inf
6101_PBK_P1P2_ENSG00000168078,PBK,inf
2727_ESCO1_P1P2_ENSG00000141446,ESCO1,inf
8609_SUV39H2_P1P2_ENSG00000152455,SUV39H2,inf
1250_CCDC125_P1P2_ENSG00000183323,CCDC125,inf
2060_DCAF8_P2_ENSG00000132716,DCAF8,inf
1976_CWF19L2_P1P2_ENSG00000152404,CWF19L2,inf
7831_SF3A1_P2_ENSG00000099995,SF3A1,inf
7809_SERTAD2_P1P2_ENSG00000179833,SERTAD2,inf
7800_SERINC3_P1P2_ENSG00000132824,SERINC3,inf
6990_QSOX1_P1P2_ENSG00000116260,QSOX1,inf
6898_PTBP3_P1P2_ENSG00000119314,PTBP3,inf
697_ATRIP_P1P2_ENSG00000164053,ATRIP,inf
7856_RSKR_P1P2_ENSG00000167524,RSKR,inf
2033_DAZAP1_P1P2_ENSG00000071626,DAZAP1,inf
201_AHCTF1_P1P2_ENSG00000153207,AHCTF1,inf
1229_CBX2_P1P2_ENSG00000173894,CBX2,inf
7899_SHOX2_P1P2_ENSG00000168779,SHOX2,inf
7900_SHOX_P1P2_ENSG00000185960,SHOX,inf
7908_SIGIRR_P2_ENSG00000185187,SIGIRR,inf
2118_DDX39B_P1P2_ENSG00000198563,DDX39B,inf
6897_PTBP2_P1P2_ENSG00000117569,PTBP2,inf
749_BAG4_P1P2_ENSG00000156735,BAG4,inf
7502_RPS14_P1P2_ENSG00000164587,RPS14,inf
1616_CIRBP_P1P2_ENSG00000099622,CIRBP,inf
5527_NDRG3_P1P2_ENSG00000101079,NDRG3,inf
9130_TNFRSF1B_P2_ENSG00000028137,TNFRSF1B,inf
3173_FOXN2_P1P2_ENSG00000170802,FOXN2,inf
5476_NBAS_P1P2_ENSG00000151779,NBAS,inf
5477_NBEAL1_P1P2_ENSG00000144426,NBEAL1,inf
3296_GATA5_P1P2_ENSG00000130700,GATA5,inf
5289_MSN_P1P2_ENSG00000147065,MSN,inf
3310_GBX1_P2_ENSG00000164900,GBX1,inf
3225_FUT10_P1P2_ENSG00000172728,FUT10,inf
5340_MTPAP_P1P2_ENSG00000107951,MTPAP,inf
3157_FOXF1_P1P2_ENSG00000103241,FOXF1,inf
5460_NAP1L1_P1P2_ENSG00000187109,NAP1L1,inf
10621_ZNF772_P1P2_ENSG00000197128,ZNF772,inf
9125_TNFRSF10A_P1P2_ENSG00000104689,TNFRSF10A,inf
8248_SNX1_P1P2_ENSG00000028528,SNX1,inf
8246_SNX17_P1P2_ENSG00000115234,SNX17,inf
3669_HDDC2_P1P2_ENSG00000111906,HDDC2,inf
3657_HCFC1R1_P1P2_ENSG00000103145,HCFC1R1,inf
4768_MAGEC2_P1P2_ENSG00000046774,MAGEC2,inf
9536_UBL7_P1_ENSG00000138629,UBL7,inf
6604_PPA2_P1P2_ENSG00000138777,PPA2,inf
982_C14orf93_P2_ENSG00000100802,C14orf93,inf
5739_NOLC1_P1P2_ENSG00000166197,NOLC1,inf
8793_TCP1_P1P2_ENSG00000120438,TCP1,inf
580_ASH1L_P1P2_ENSG00000116539,ASH1L,inf
10151_ZMYND8_P1P2_ENSG00000101040,ZMYND8,inf
1648_CLEC16A_P1P2_ENSG00000038532,CLEC16A,inf
9845_WDR81_P2_ENSG00000167716,WDR81,inf
9815_WDR34_P1P2_ENSG00000119333,WDR34,inf
9836_WDR6_P1P2_ENSG00000178252,WDR6,inf
3987_HSPG2_P1P2_ENSG00000142798,HSPG2,inf
3965_HSFY1_ENST00000307393.2_ENSG00000172468,HSFY1,inf
3025_FBXO46_P1P2_ENSG00000177051,FBXO46,inf
5672_NIN_P1P2_ENSG00000100503,NIN,inf
5674_NIPA1_P1P2_ENSG00000170113,NIPA1,inf
10515_ZNF627_P1P2_ENSG00000198551,ZNF627,inf
5727_NOBOX_ENST00000483238.1_ENSG00000106410,NOBOX,inf
8940_TK1_P1P2_ENSG00000167900,TK1,inf
8954_TM2D3_P1P2_ENSG00000184277,TM2D3,inf
9088_TMEM63A_P2_ENSG00000196187,TMEM63A,inf
5490_NCAPG_P1P2_ENSG00000109805,NCAPG,inf
9048_TMEM223_P1P2_ENSG00000168569,TMEM223,inf
3089_FIZ1_P1P2_ENSG00000179943,FIZ1,inf
3072_FGFR1OP_P1P2_ENSG00000213066,FGFR1OP,inf
5671_NINJ2_P1_ENSG00000171840,NINJ2,inf
2376_DROSHA_P1P2_ENSG00000113360,DROSHA,0.23723291
4959_MED9_P1P2_ENSG00000141026,MED9,0.23057432
2793_EXOSC6_P1P2_ENSG00000223496,EXOSC6,0.20437773
4540_LDB1_P2_ENSG00000198728,LDB1,0.2026574
4953_MED30_P1P2_ENSG00000164758,MED30,0.192289
8599_SUPT6H_P1P2_ENSG00000109111,SUPT6H,0.19093062
4147_INTS2_P1P2_ENSG00000108506,INTS2,0.18704943
3291_GATA1_P1P2_ENSG00000102145,GATA1,0.18357551
7515_RPS26_P1P2_ENSG00000197728,RPS26,0.18291165
1588_CHMP6_P1P2_ENSG00000176108,CHMP6,0.18244909
4317_KDM1A_P1P2_ENSG00000004487,KDM1A,0.18076177
7950_SLBP_P1P2_ENSG00000163950,SLBP,0.1796744
1840_CPSF2_P1P2_ENSG00000165934,CPSF2,0.17646818
6552_POLR2K_P1P2_ENSG00000147669,POLR2K,0.17437606
1701_CMTR1_P1P2_ENSG00000137200,CMTR1,0.17151465
1545_CHAF1B_P1P2_ENSG00000159259,CHAF1B,0.16553393
5588_NEDD8_P1P2_ENSG00000129559,NEDD8,0.16447897
3504_GPN3_P1P2_ENSG00000111231,GPN3,0.16304974
2233_DIS3_P1P2_ENSG00000083520,DIS3,0.16204214
4935_MED14_P1P2_ENSG00000180182,MED14,0.16196306
4940_MED18_P1P2_ENSG00000130772,MED18,0.15918288
8653_TAF12_P1P2_ENSG00000120656,TAF12,0.1571082
8842_TFCP2L1_P1P2_ENSG00000115112,TFCP2L1,0.1562803
9747_VPS28_P1P2_ENSG00000160948,VPS28,0.15454157
5861_NUDC_P1P2_ENSG00000090273,NUDC,0.1535133
2203_DHX15_P1P2_ENSG00000109606,DHX15,0.1514696
7403_RNMT_P1P2_ENSG00000101654,RNMT,0.15140793
2792_EXOSC5_P1P2_ENSG00000077348,EXOSC5,0.14913607
10184_ZNF174_P1P2_ENSG00000103343,ZNF174,0.14837234
7507_RPS18_P1P2_ENSG00000231500,RPS18,0.14783579
2828_RAMAC_P1P2_ENSG00000169612,RAMAC,0.14610906
2790_EXOSC3_P1P2_ENSG00000107371,EXOSC3,0.14528346
3677_HEATR1_P1P2_ENSG00000119285,HEATR1,0.143466
2893_TAFA2_P2_ENSG00000198673,TAFA2,0.14315575
1583_CHMP3_P1P2_ENSG00000115561,CHMP3,0.14157258
4951_MED28_P1P2_ENSG00000118579,MED28,0.14156426
7501_RPS13_P1P2_ENSG00000110700,RPS13,0.1388548
7504_RPS15_P1P2_ENSG00000115268,RPS15,0.13843554
5735_NOL6_P1P2_ENSG00000165271,NOL6,0.13803656
9679_UTP11_P1P2_ENSG00000183520,UTP11,0.13789071
6163_GATD1_P1P2_ENSG00000177225,GATD1,0.13704015
645_ATP1A1_P1P2_ENSG00000163399,ATP1A1,0.13608581
5748_NOP2_P1P2_ENSG00000111641,NOP2,0.1356122
8426_SRRT_P1P2_ENSG00000087087,SRRT,0.13532309
2988_FBL_P1P2_ENSG00000105202,FBL,0.13508232
1893_CSE1L_P1P2_ENSG00000124207,CSE1L,0.13495111
8008_SLC25A42_P1P2_ENSG00000181035,SLC25A42,0.13232945
9331_TSC1_P1P2_ENSG00000165699,TSC1,0.13179152
8598_SUPT5H_P1P2_ENSG00000196235,SUPT5H,0.13172053
6534_POLR1B_P1P2_ENSG00000125630,POLR1B,0.13109711
7312_RIOK2_P1P2_ENSG00000058729,RIOK2,0.13024352
10025_ZC3H4_P1_ENSG00000130749,ZC3H4,0.1300192
2791_EXOSC4_P1P2_ENSG00000178896,EXOSC4,0.12977476
9443_TWISTNB_P1P2_ENSG00000105849,TWISTNB,0.12854382
8651_TAF10_P1P2_ENSG00000166337,TAF10,0.126947
4944_MED21_P1P2_ENSG00000152944,MED21,0.1259328
6963_PWP2_P1P2_ENSG00000241945,PWP2,0.12560023
2291_DNAJC17_P1P2_ENSG00000104129,DNAJC17,0.12532003
7509_RPS19_P1P2_ENSG00000105372,RPS19,0.1250394
4957_MED7_P1P2_ENSG00000155868,MED7,0.12484631
7169_RBM28_P1P2_ENSG00000106344,RBM28,0.12450624
7526_RPS4X_P1P2_ENSG00000198034,RPS4X,0.12400833
8680_TANGO6_P1P2_ENSG00000103047,TANGO6,0.12367657
2795_EXOSC8_P1P2_ENSG00000120699,EXOSC8,0.122756295
2541_EIF2S1_P1P2_ENSG00000134001,EIF2S1,0.12109077
7893_SEM1_P1P2_ENSG00000127922,SEM1,0.1210458
