perturbation_id,knockdown_gene,direction,ARE_enrichment
7765_SELPLG_P1P2_ENSG00000110876,SELPLG,UP,0.05684267241379117
7922_SIRT1_P1P2_ENSG00000096717,SIRT1,UP,-0.041725677339901804
7926_SIRT6_P1P2_ENSG00000077463,SIRT6,UP,-0.052093596059114344
8496_STAT3_P1P2_ENSG00000168610,STAT3,UP,0.051785714285711604
8754_TBX2_P1P2_ENSG00000121068,TBX2,UP,-0.11423183497536286
8820_TERF2_P1P2_ENSG00000132604,TERF2,UP,0.050338669950737006
9128_TNFRSF1A_P1P2_ENSG00000067182,TNFRSF1A,UP,0.04494304187191825
9129_TNFRSF1B_P1_ENSG00000028137,TNFRSF1B,UP,0.053956280788175284
9130_TNFRSF1B_P2_ENSG00000028137,TNFRSF1B,UP,0.07951816502462612
9195_TP53_P1P2_ENSG00000141510,TP53,UP,-0.06803417487684917
9425_TUBGCP2_P1P2_ENSG00000130640,TUBGCP2,UP,-0.05905942118226703
9441_TWIST1_P1P2_ENSG00000122691,TWIST1,UP,-0.06358528325123432
9481_UBA52_P2_ENSG00000221983,UBA52,UP,-0.10184729064039293
9482_UBA52_P1_ENSG00000221983,UBA52,UP,-0.07480757389162856
9492_UBB_P1P2_ENSG00000170315,UBB,UP,0.09117149014778482
9493_UBC_P1P2_ENSG00000150991,UBC,UP,-0.10787407635467437
9496_UBE2D1_P1P2_ENSG00000072401,UBE2D1,UP,-0.08393626847290996
9500_UBE2E1_P1P2_ENSG00000170142,UBE2E1,UP,-0.05172413793103697
9518_UBE2S_P1P2_ENSG00000108106,UBE2S,UP,-0.07854833743842629
9718_VEGFA_P1P2_ENSG00000112715,VEGFA,UP,-0.051431650246308025
9720_VENTX_P1P2_ENSG00000151650,VENTX,UP,-0.07033559113300737
9723_VGF_P1P2_ENSG00000128564,VGF,UP,0.049237992610833926
9921_YBX1_P1P2_ENSG00000065978,YBX1,UP,0.10110067733990336
10129_ZKSCAN3_P1P2_ENSG00000189298,ZKSCAN3,UP,-0.07529248768473006
55_ABL1_ENST00000372348.2_ENSG00000097007,ABL1,DOWN,-0.08338208128078996
225_AK2_P1P2_ENSG00000004455,AK2,DOWN,-0.06597906403940935
289_AMD1_P1P2_ENSG00000123505,AMD1,DOWN,0.05953663793103168
355_ANP32E_P1P2_ENSG00000143401,ANP32E,DOWN,-0.05523399014778563
493_ARID4A_P1P2_ENSG00000032219,ARID4A,DOWN,-0.06561730295566777
578_ASF1A_P1P2_ENSG00000111875,ASF1A,DOWN,0.08965517241379206
579_ASF1B_P1P2_ENSG00000105011,ASF1B,DOWN,-0.08325123152709418
599_ATAD2_P1P2_ENSG00000156802,ATAD2,DOWN,-0.0634621305418749
608_ATF5_P1P2_ENSG00000169136,ATF5,DOWN,-0.15110837438423605
698_ATRX_P1P2_ENSG00000085224,ATRX,DOWN,-0.06641009852216917
714_AURKA_P1P2_ENSG00000087586,AURKA,DOWN,0.07750153940886585
715_AURKB_P1P2_ENSG00000178999,AURKB,DOWN,0.06497844827585719
761_BARD1_P1P2_ENSG00000138376,BARD1,DOWN,0.12721674876847816
837_BIRC5_P1P2_ENSG00000089685,BIRC5,DOWN,-0.08395935960591284
884_BRCA1_P1P2_ENSG00000012048,BRCA1,DOWN,0.12032019704434402
885_BRCA2_P1P2_ENSG00000139618,BRCA2,DOWN,0.10689655172413769
903_BRMS1L_P1P2_ENSG00000100916,BRMS1L,DOWN,0.13214285714285692
935_BUB1_P1P2_ENSG00000169679,BUB1,DOWN,0.11620227832512793
934_BUB1B_P1P2_ENSG00000156970,BUB1B,DOWN,-0.08898552955665019
936_BUB3_P1P2_ENSG00000154473,BUB3,DOWN,0.08506773399014769
1206_CASP8AP2_P1P2_ENSG00000118412,CASP8AP2,DOWN,0.1063885467980333
1228_CBX1_P1P2_ENSG00000108468,CBX1,DOWN,-0.07115147783251709
1232_CBX5_P1P2_ENSG00000094916,CBX5,DOWN,-0.07867918719212033
1315_CCNA2_P1P2_ENSG00000145386,CCNA2,DOWN,-0.10193965517241442
1318_CCNB2_P1P2_ENSG00000157456,CCNB2,DOWN,-0.12175954433497346
1320_CCND1_P1_ENSG00000110092,CCND1,DOWN,-0.0829895320197044
1321_CCND1_P2_ENSG00000110092,CCND1,DOWN,0.11448583743842705
1325_CCNE1_P1P2_ENSG00000105173,CCNE1,DOWN,0.14338823891625735
1327_CCNF_P1P2_ENSG00000162063,CCNF,DOWN,-0.13159636699506577
1337_CCNT1_P1P2_ENSG00000129315,CCNT1,DOWN,0.05173953201970152
1340_CCP110_P1P2_ENSG00000103540,CCP110,DOWN,0.054833743842363634
1390_CDC20_P1P2_ENSG00000117399,CDC20,DOWN,0.08446736453201995
1392_CDC25A_P1P2_ENSG00000164045,CDC25A,DOWN,0.08887777093596207
1393_CDC25B_P1P2_ENSG00000101224,CDC25B,DOWN,-0.05150862068965899
1396_CDC27_P1P2_ENSG00000004897,CDC27,DOWN,0.06593288177339826
1407_CDC45_P1P2_ENSG00000093009,CDC45,DOWN,0.05109298029556502
1409_CDC6_P1P2_ENSG00000094804,CDC6,DOWN,-0.06787253694581621
1411_CDC7_P1P2_ENSG00000097046,CDC7,DOWN,0.09540486453201387
1413_CDCA3_P1P2_ENSG00000111665,CDCA3,DOWN,0.07960283251231434
1418_CDCA8_P1P2_ENSG00000134690,CDCA8,DOWN,0.07105141625615427
1429_CDK1_P1P2_ENSG00000170312,CDK1,DOWN,0.07655480295566013
1433_CDK4_P1P2_ENSG00000135446,CDK4,DOWN,0.10148552955665181
1446_CDKN1B_P1P2_ENSG00000111276,CDKN1B,DOWN,-0.06427801724138422
1450_CDKN2C_P2_ENSG00000123080,CDKN2C,DOWN,-0.08920874384236435
1451_CDKN2C_P1_ENSG00000123080,CDKN2C,DOWN,0.07130541871920877
1453_CDKN3_P1P2_ENSG00000100526,CDKN3,DOWN,-0.06679495073892092
1475_CENPA_P2_ENSG00000115163,CENPA,DOWN,-0.0434575123152736
1479_CENPE_P1P2_ENSG00000138778,CENPE,DOWN,0.10651169950739335
1480_CENPF_P1P2_ENSG00000117724,CENPF,DOWN,-0.09575892857142562
1486_CENPM_P1P2_ENSG00000100162,CENPM,DOWN,0.05343288177339684
1544_CHAF1A_P1P2_ENSG00000167670,CHAF1A,DOWN,0.12320658866995378
1568_CHEK1_P1P2_ENSG00000149554,CHEK1,DOWN,0.0966133004926093
1569_CHEK2_P1P2_ENSG00000183765,CHEK2,DOWN,0.05308651477832297
1579_CHMP1A_P1P2_ENSG00000131165,CHMP1A,DOWN,0.08362838669950834
1624_CIT_P1P2_ENSG00000122966,CIT,DOWN,0.09294950738916696
1632_CKS2_P1P2_ENSG00000123975,CKS2,DOWN,-0.07923337438423725
7547_CNOT9_P1P2_ENSG00000144580,CNOT9,DOWN,-0.07233682266010033
1893_CSE1L_P1P2_ENSG00000124207,CSE1L,DOWN,0.08252770935960319
1927_CTCF_P1P2_ENSG00000102974,CTCF,DOWN,-0.06323121921182574
1941_CTPS1_P1P2_ENSG00000171793,CTPS1,DOWN,-0.08098060344827908
1960_CUL1_P1P2_ENSG00000055130,CUL1,DOWN,0.10177032019704617
1962_CUL3_P1P2_ENSG00000036257,CUL3,DOWN,0.16607912561576382
1963_CUL4A_P1P2_ENSG00000139842,CUL4A,DOWN,-0.039762931034484715
1965_CUL5_P1P2_ENSG00000166266,CUL5,DOWN,-0.1034405788177288
2036_DBF4_P1P2_ENSG00000006634,DBF4,DOWN,0.07489224137930636
2065_DCK_P1P2_ENSG00000156136,DCK,DOWN,0.04772937192117851
2067_DCLRE1B_P1P2_ENSG00000118655,DCLRE1B,DOWN,0.11270782019704396
2079_DCTPP1_P1P2_ENSG00000179958,DCTPP1,DOWN,0.06312346059112976
2117_DDX39A_P1P2_ENSG00000123136,DDX39A,DOWN,0.06366225369457927
2145_DEK_P1P2_ENSG00000124795,DEK,DOWN,0.0909713669950749
2157_DEPDC1_P1P2_ENSG00000024526,DEPDC1,DOWN,-0.0511468596059127
2221_DIAPH3_P1P2_ENSG00000139734,DIAPH3,DOWN,0.08158866995073834
2235_DKC1_P1P2_ENSG00000130826,DKC1,DOWN,-0.10691964285713457
2242_DLGAP5_P1P2_ENSG00000126787,DLGAP5,DOWN,0.0440116995073876
2254_DMD_ENST00000357033.4_ENSG00000198947,DMD,DOWN,0.0704741379310326
2314_DNMT1_P1P2_ENSG00000130816,DNMT1,DOWN,-0.07782481527093539
2336_DONSON_P1P2_ENSG00000159147,DONSON,DOWN,0.09070966748768355
2369_DR1_P1P2_ENSG00000117505,DR1,DOWN,0.1694119458128084
2378_DSCC1_P1P2_ENSG00000136982,DSCC1,DOWN,-0.06662561576354833
2394_DTYMK_P1P2_ENSG00000168393,DTYMK,DOWN,0.13239685960592518
2414_DUT_P1P2_ENSG00000128951,DUT,DOWN,0.14612068965517502
2437_E2F1_P1P2_ENSG00000101412,E2F1,DOWN,-0.10835899014776713
2438_E2F2_P1P2_ENSG00000007968,E2F2,DOWN,-0.10200892857142438
2439_E2F3_P1_ENSG00000112242,E2F3,DOWN,0.0916794950738937
2440_E2F3_P2_ENSG00000112242,E2F3,DOWN,0.0680880541871893
2441_E2F4_P1P2_ENSG00000205250,E2F4,DOWN,0.09502770935960697
2445_E2F8_P1P2_ENSG00000129173,E2F8,DOWN,-0.10807419950738903
2481_EED_P1P2_ENSG00000074266,EED,DOWN,0.051300800492608024
2541_EIF2S1_P1P2_ENSG00000134001,EIF2S1,DOWN,-0.10683497536945696
2732_ESPL1_P1P2_ENSG00000135476,ESPL1,DOWN,0.10404094827586603
2774_EWSR1_P1P2_ENSG00000182944,EWSR1,DOWN,-0.07975677339901895
2776_EXO1_P1P2_ENSG00000174371,EXO1,DOWN,-0.06187653940887128
2795_EXOSC8_P1P2_ENSG00000120699,EXOSC8,DOWN,-0.11832666256157193
2803_EZH2_P1P2_ENSG00000106462,EZH2,DOWN,0.047660098522165406
3027_FBXO5_P1P2_ENSG00000112029,FBXO5,DOWN,-0.0584205665024682
3174_FOXN3_P2_ENSG00000053254,FOXN3,DOWN,-0.06959667487684972
3175_FOXN3_P1_ENSG00000053254,FOXN3,DOWN,0.05948275862068854
3241_G3BP1_P1P2_ENSG00000145907,G3BP1,DOWN,0.05914408866994646
3369_GINS1_P1P2_ENSG00000101003,GINS1,DOWN,0.06575584975369139
3370_GINS2_P1P2_ENSG00000131153,GINS2,DOWN,0.09575123152709415
3371_GINS3_P1P2_ENSG00000181938,GINS3,DOWN,0.05180880541871675
3372_GINS4_P1P2_ENSG00000147536,GINS4,DOWN,0.07613916256157546
3554_GSPT1_P1P2_ENSG00000103342,GSPT1,DOWN,-0.055672721674880056
3686_HELLS_P1P2_ENSG00000119969,HELLS,DOWN,-0.09904556650245719
3725_HIF1A_P1P2_ENSG00000100644,HIF1A,DOWN,0.05333282019704002
3740_HIRA_P2_ENSG00000100084,HIRA,DOWN,0.07098214285714116
3741_HIRA_P1_ENSG00000100084,HIRA,DOWN,0.05994458128078737
3825_HMGA1_P1P2_ENSG00000137309,HMGA1,DOWN,-0.06352370689655394
3829_HMGB2_P1P2_ENSG00000164104,HMGB2,DOWN,0.07935652709359471
3830_HMGB3_P1P2_ENSG00000029993,HMGB3,DOWN,0.08172721674876857
3835_HMGN2_P1P2_ENSG00000198830,HMGN2,DOWN,0.0937730911330089
3842_HMMR_P1P2_ENSG00000072571,HMMR,DOWN,-0.060783559113305456
3863_HNRNPD_P1P2_ENSG00000138668,HNRNPD,DOWN,0.09436576354679818
3878_HNRNPU_P1P2_ENSG00000153187,HNRNPU,DOWN,-0.09127924876847264
3910_HOXC10_P1P2_ENSG00000180818,HOXC10,DOWN,0.07199815270935904
3979_HSPA8_P1P2_ENSG00000109971,HSPA8,DOWN,0.07308343596058872
3993_HUS1_P1P2_ENSG00000136273,HUS1,DOWN,0.04872229064039304
4100_ILF3_P1P2_ENSG00000129351,ILF3,DOWN,-0.09568195812807503
4116_INCENP_P1P2_ENSG00000149503,INCENP,DOWN,0.08355141625615774
4121_ING3_P1P2_ENSG00000071243,ING3,DOWN,0.0699661330049248
4164_IPO7_P1P2_ENSG00000205339,IPO7,DOWN,-0.07928725369458584
3849_JPT1_P1P2_ENSG00000189159,JPT1,DOWN,0.07544642857142675
4282_KATNA1_P1P2_ENSG00000186625,KATNA1,DOWN,-0.08840055418719275
4374_KIF11_P1P2_ENSG00000138160,KIF11,DOWN,-0.07436884236453244
4377_KIF15_P1P2_ENSG00000163808,KIF15,DOWN,-0.06329279556650569
4380_KIF18B_P1P2_ENSG00000186185,KIF18B,DOWN,-0.05259390394088818
4385_KIF20B_P1P2_ENSG00000138182,KIF20B,DOWN,-0.047329125615765216
4387_KIF22_P2_ENSG00000079616,KIF22,DOWN,0.07664716748768352
4388_KIF22_P1_ENSG00000079616,KIF22,DOWN,0.09672105911330221
4389_KIF23_P1P2_ENSG00000137807,KIF23,DOWN,0.06586360837438206
4391_KIF2C_P1P2_ENSG00000142945,KIF2C,DOWN,0.08974753694580961
4394_KIF4A_P1P2_ENSG00000090889,KIF4A,DOWN,0.05519550492610573
4395_KIF5B_P1P2_ENSG00000170759,KIF5B,DOWN,0.06650246305418409
1200_KNL1_P1P2_ENSG00000137812,KNL1,DOWN,-0.11088362068964931
4459_KPNA2_P1P2_ENSG00000182481,KPNA2,DOWN,-0.07703201970443484
4464_KPNB1_P1P2_ENSG00000108424,KPNB1,DOWN,-0.0652247536945826
4527_LBR_P1P2_ENSG00000143815,LBR,DOWN,0.056850369458125743
4578_LIG1_P1P2_ENSG00000105486,LIG1,DOWN,-0.0811884236453201
4579_LIG3_P1P2_ENSG00000005156,LIG3,DOWN,0.13031096059113803
4617_LMNB1_P1P2_ENSG00000113368,LMNB1,DOWN,0.07745535714285451
4716_LUC7L3_P1P2_ENSG00000108848,LUC7L3,DOWN,-0.11111453201969952
4721_LYAR_P1P2_ENSG00000145220,LYAR,DOWN,0.0930418719211854
4746_MAD2L1_P1P2_ENSG00000164109,MAD2L1,DOWN,0.11996613300493056
4826_MAPK14_P1P2_ENSG00000112062,MAPK14,DOWN,-0.08064963054187224
4898_MCM2_P1P2_ENSG00000073111,MCM2,DOWN,0.11219981527094137
4900_MCM3_P1P2_ENSG00000112118,MCM3,DOWN,0.08136545566502497
4901_MCM4_P1P2_ENSG00000104738,MCM4,DOWN,0.03920874384236297
4902_MCM5_P1P2_ENSG00000100297,MCM5,DOWN,0.07010467980295448
4903_MCM6_P1P2_ENSG00000076003,MCM6,DOWN,0.09791410098522196
4904_MCM7_P1P2_ENSG00000166508,MCM7,DOWN,0.14485837438424765
4966_MEIS1_P1P2_ENSG00000143995,MEIS1,DOWN,-0.11558651477832126
4967_MEIS2_P1P2_ENSG00000134138,MEIS2,DOWN,0.07172875615763369
4970_MELK_P1P2_ENSG00000165304,MELK,DOWN,-0.07533097290640677
5090_MKI67_P1P2_ENSG00000148773,MKI67,DOWN,0.10452586206896995
5108_MLH1_P1P2_ENSG00000076242,MLH1,DOWN,0.12302185960592603
5127_MMS22L_P1P2_ENSG00000146263,MMS22L,DOWN,0.07766317733990273
5128_MNAT1_P1P2_ENSG00000020426,MNAT1,DOWN,-0.13700738916255736
5187_MRE11_P1P2_ENSG00000020922,MRE11,DOWN,-0.12162099753694244
5280_MSH2_P1P2_ENSG00000095002,MSH2,DOWN,-0.07120535714286133
5298_MT2A_P1P2_ENSG00000125148,MT2A,DOWN,0.053101908866991634
5308_MTF2_P1P2_ENSG00000143033,MTF2,DOWN,0.09102524630542277
5319_MTHFD2_P1_ENSG00000065911,MTHFD2,DOWN,0.11957358374384523
5320_MTHFD2_P2_ENSG00000065911,MTHFD2,DOWN,0.08026477832512122
5359_MXD3_P1P2_ENSG00000213347,MXD3,DOWN,0.09481988916256232
5367_MYBL2_P1P2_ENSG00000101057,MYBL2,DOWN,-0.05524168719212066
5374_MYC_P1P2_ENSG00000136997,MYC,DOWN,0.06266933497536872
5430_NAA38_P1P2_ENSG00000183011,NAA38,DOWN,-0.08165794334975593
5460_NAP1L1_P1P2_ENSG00000187109,NAP1L1,DOWN,-0.05426416256158027
5469_NASP_P1P2_ENSG00000132780,NASP,DOWN,0.11848830049261105
5480_NBN_P1P2_ENSG00000104320,NBN,DOWN,0.03800030788177226
5487_NCAPD2_P1P2_ENSG00000010292,NCAPD2,DOWN,0.051062192118223694
5503_NCL_P2_ENSG00000115053,NCL,DOWN,0.07276785714285366
