perturbation,spearman_rho,gene_symbol,ensembl_id
8236_SNUPN_P1P2_ENSG00000169371,0.04165628137580111,SNUPN,ENSG00000169371
2060_DCAF8_P2_ENSG00000132716,0.04163408577249114,DCAF8,ENSG00000132716
950_C11orf49_P1P2_ENSG00000149179,0.041626920399316855,C11orf49,ENSG00000149179
7243_REXO2_P1P2_ENSG00000076043,0.04153162295939894,REXO2,ENSG00000076043
9275_TRIM38_P1P2_ENSG00000112343,0.04152453177389904,TRIM38,ENSG00000112343
2386_DST_ENST00000370754.5_ENSG00000151914,0.04150612070545913,DST,ENSG00000151914
1077_MAIP1_P1P2_ENSG00000162972,0.0415028227261159,MAIP1,ENSG00000162972
2479_EDF1_P1P2_ENSG00000107223,0.04148548400678759,EDF1,ENSG00000107223
4730_ETFRF1_P1P2_ENSG00000205707,0.0414812244781062,ETFRF1,ENSG00000205707
5840_NT5C3B_P1P2_ENSG00000141698,0.04148092483697978,NT5C3B,ENSG00000141698
4772_MAGED2_P2_ENSG00000102316,0.04144758373993843,MAGED2,ENSG00000102316
1684_CLUAP1_P1P2_ENSG00000103351,0.04144579071056134,CLUAP1,ENSG00000103351
4386_KIF21A_P1P2_ENSG00000139116,0.04142254491809447,KIF21A,ENSG00000139116
4460_KPNA3_P1P2_ENSG00000102753,0.041404212854710395,KPNA3,ENSG00000102753
9326_TRPT1_P1P2_ENSG00000149743,0.041399734616911,TRPT1,ENSG00000149743
2213_DHX37_P1P2_ENSG00000150990,0.04135579046328998,DHX37,ENSG00000150990
3739_HIPK3_P2_ENSG00000110422,0.04132093767194845,HIPK3,ENSG00000110422
5069_MIER1_P2_ENSG00000198160,0.041309155320388896,MIER1,ENSG00000198160
7404_RNPC3_P1P2_ENSG00000185946,0.041303368681786655,RNPC3,ENSG00000185946
487_ARID1B_P1_ENSG00000049618,0.04129893380042034,ARID1B,ENSG00000049618
7697_SCMH1_ENST00000326197.7_ENSG00000010803,0.041281617241046724,SCMH1,ENSG00000010803
520_ARMC10_P1P2_ENSG00000170632,0.041215953441403365,ARMC10,ENSG00000170632
6500_PNP_P1P2_ENSG00000198805,0.04113001424669749,PNP,ENSG00000198805
5916_OAT_P1P2_ENSG00000065154,0.04112322173884772,OAT,ENSG00000065154
9234_TRAF7_P1_ENSG00000131653,0.04111553416152384,TRAF7,ENSG00000131653
9233_TRAF7_P2_ENSG00000131653,0.041107677012372786,TRAF7,ENSG00000131653
41_ABHD13_P1P2_ENSG00000139826,0.04107819752830476,ABHD13,ENSG00000139826
6534_POLR1B_P1P2_ENSG00000125630,0.04106070465276993,POLR1B,ENSG00000125630
1408_CDC5L_P1P2_ENSG00000096401,0.04103025205764826,CDC5L,ENSG00000096401
5968_ORC4_P1P2_ENSG00000115947,0.040987544044108266,ORC4,ENSG00000115947
4919_MDM2_P1P2_ENSG00000135679,0.04095850968608657,MDM2,ENSG00000135679
749_BAG4_P1P2_ENSG00000156735,0.040954235233387266,BAG4,ENSG00000156735
2414_DUT_P1P2_ENSG00000128951,0.040891502800493904,DUT,ENSG00000128951
895_BABAM2_P1P2_ENSG00000158019,0.04087936878008821,BABAM2,ENSG00000158019
1557_CHD2_P1_ENSG00000173575,0.040804531722680636,CHD2,ENSG00000173575
1730_CNTRL_P1P2_ENSG00000119397,0.04079405488149504,CNTRL,ENSG00000119397
4109_IMPA1_P1P2_ENSG00000133731,0.040779900451307666,IMPA1,ENSG00000133731
3249_GABARAPL2_P1P2_ENSG00000034713,0.040776878026183586,GABARAPL2,ENSG00000034713
2809_F12_P2_ENSG00000131187,0.04076074557917129,F12,ENSG00000131187
2755_ETHE1_P1P2_ENSG00000105755,0.04075209837946184,ETHE1,ENSG00000105755
2815_FADS1_P1P2_ENSG00000149485,0.04072026319586292,FADS1,ENSG00000149485
442_ARF5_P2_ENSG00000004059,0.04071963790955833,ARF5,ENSG00000004059
3302_GATC_P1P2_ENSG00000257218,0.04071138090793852,GATC,ENSG00000257218
7555_RREB1_P1P2_ENSG00000124782,0.04060260732514191,RREB1,ENSG00000124782
7361_RNF167_P1P2_ENSG00000108523,0.04056719860798063,RNF167,ENSG00000108523
3636_HAUS3_P1P2_ENSG00000214367,0.040531040306265136,HAUS3,ENSG00000214367
5316_MTHFD1L_P1P2_ENSG00000120254,0.040522069378521985,MTHFD1L,ENSG00000120254
7923_SIRT2_P1P2_ENSG00000068903,0.04047458637648504,SIRT2,ENSG00000068903
1881_CRTC3_P1P2_ENSG00000140577,0.040460533111308185,CRTC3,ENSG00000140577
8553_STX1A_P1P2_ENSG00000106089,0.040448368259661194,STX1A,ENSG00000106089
6519_POLDIP2_P1P2_ENSG00000004142,0.04044232582784508,POLDIP2,ENSG00000004142
8164_SMDT1_P1P2_ENSG00000183172,0.040436714050448304,SMDT1,ENSG00000183172
1530_CETN2_P2_ENSG00000147400,0.040401799596624176,CETN2,ENSG00000147400
634_ATN1_P1P2_ENSG00000111676,0.040372387555896505,ATN1,ENSG00000111676
1094_C4orf46_P1P2_ENSG00000205208,0.040367880413808385,C4orf46,ENSG00000205208
1496_CEP135_P1P2_ENSG00000174799,0.040323839912558286,CEP135,ENSG00000174799
8903_TIAL1_P1P2_ENSG00000151923,0.0402931059823597,TIAL1,ENSG00000151923
4726_LYPLAL1_P1P2_ENSG00000143353,0.040266224030371535,LYPLAL1,ENSG00000143353
9446_TXLNG_P1P2_ENSG00000086712,0.04026515360821252,TXLNG,ENSG00000086712
9296_TRIP13_P1P2_ENSG00000071539,0.04025120921585652,TRIP13,ENSG00000071539
9609_UQCRB_P1P2_ENSG00000156467,0.040218543515694996,UQCRB,ENSG00000156467
1525_CERS5_P1P2_ENSG00000139624,0.040184638785023555,CERS5,ENSG00000139624
1754_COLGALT1_P1P2_ENSG00000130309,0.040161568345241594,COLGALT1,ENSG00000130309
7544_RPUSD2_P1P2_ENSG00000166133,0.04011354965038699,RPUSD2,ENSG00000166133
756_BAK1_P1P2_ENSG00000030110,0.040110376932622906,BAK1,ENSG00000030110
6545_POLR2E_P2_ENSG00000099817,0.0400752572486875,POLR2E,ENSG00000099817
3504_GPN3_P1P2_ENSG00000111231,0.040022228477121,GPN3,ENSG00000111231
5565_NDUFS1_P1P2_ENSG00000023228,0.04001216978464559,NDUFS1,ENSG00000023228
9516_UBE2Q2_P1P2_ENSG00000140367,0.0400026410041301,UBE2Q2,ENSG00000140367
8142_SMARCA4_P1P2_ENSG00000127616,0.039938093873507705,SMARCA4,ENSG00000127616
8154_SMARCE1_P1P2_ENSG00000073584,0.0399367613857976,SMARCE1,ENSG00000073584
7441_RPL17_P1P2_ENSG00000265681,0.039920081684252165,RPL17,ENSG00000265681
6163_GATD1_P1P2_ENSG00000177225,0.039892131237057565,GATD1,ENSG00000177225
4237_ITPR1_P1P2_ENSG00000150995,0.03988148964142625,ITPR1,ENSG00000150995
1988_CYB561_P1P2_ENSG00000008283,0.039871139979111035,CYB561,ENSG00000008283
9665_USP48_P1P2_ENSG00000090686,0.03982632869682833,USP48,ENSG00000090686
4427_KLHDC2_P1P2_ENSG00000165516,0.039787327176578846,KLHDC2,ENSG00000165516
2791_EXOSC4_P1P2_ENSG00000178896,0.03976207928037979,EXOSC4,ENSG00000178896
4705_LTBP1_P1P2_ENSG00000049323,0.03974986336448939,LTBP1,ENSG00000049323
