ID_REF,gene_symbol,logfc_amd_vs_ctrl,pvalue
12,12,-0.07672798154016292,0.34027787660199227
13,13,-0.03631048952761651,0.5497115164807805
14,14,-0.10664714299845368,0.18076314827272122
15,15,-0.07741213125859847,0.20273741570797035
16,16,-0.33343004470942184,0.0008757372806524005
17,17,-0.029754638605933525,0.6927231634998987
18,18,-0.007612493891894445,0.9307137600968198
19,19,-0.02128251616408683,0.7610064489671925
20,20,0.028781610538700875,0.6281195067481682
21,21,-0.08309918945409955,0.12578285949201556
22,22,0.028548108727234123,0.6414269682279442
23,23,-0.15478951508074723,0.008544069589594415
24,24,0.08731829736769914,0.22843088783954452
26,26,0.04488597321746113,0.5878434144886889
27,27,-0.17714073788157947,0.010125979971100625
28,28,0.05496694370355315,0.3151756948615633
29,29,-0.00647911939551582,0.9020435026317895
30,30,-0.19986229747429718,0.3212736871052693
31,31,0.2923956822029785,0.15756881835699518
32,32,-0.040315342767473616,0.46771798852560653
33,33,0.07546568354162364,0.23038459263298233
34,34,-0.0020525387276311147,0.969953233134988
35,35,0.1195398035524633,0.1432510928497603
36,36,-0.11483574374119687,0.29239532110099714
37,37,-0.011940468132602078,0.8982121640781191
38,38,-0.07504828595449275,0.23384361802744716
40,40,0.0006594159439092806,0.9909542818537511
41,41,-0.034002968670389766,0.7524940960394175
42,42,0.03663314989061561,0.6924716866679153
43,43,-0.06347069473428801,0.22203059294448102
44,44,-0.04423571237067225,0.4465208939705979
45,45,0.17955108314053803,0.07540770113760381
46,46,0.09161401507399747,0.11429676812206103
47,47,-0.05386674673317149,0.42748739073463193
48,48,0.016910197101543734,0.752844322539628
49,49,0.026042614480830117,0.6844764571548148
50,50,-0.0012433018798785334,0.9794174070202857
51,51,-0.13321064808381422,0.13061606721680313
52,52,0.01503729157095357,0.9061769964077754
53,53,-0.012121937792274995,0.8343357463879233
54,54,0.05908824223850262,0.4474906346175016
55,55,-0.1395055554034217,0.01039025478534751
56,56,-0.015730669311372125,0.8096756547867834
57,57,-0.12945188156686527,0.12937732121557913
58,58,-0.09619277507474688,0.5165719042810668
59,59,-0.015560618636934365,0.7803991354051282
60,60,-0.0668826169937371,0.24469795084568566
61,61,0.023262234804446003,0.6673540273279694
62,62,-0.019403005634027082,0.7707235966743948
63,63,0.10954612057433577,0.06066530742258101
64,64,0.05747727294734606,0.39240132837512653
65,65,0.07616888457544135,0.36412649049570456
66,66,0.02477852970455885,0.8245656323334228
67,67,0.014423796881534834,0.8270762719019283
68,68,0.06557296165995341,0.27810231801659174
69,69,0.005951692791078322,0.9484207611924883
70,70,0.008301808970903934,0.8867060405090914
71,71,0.23721007597451793,0.11616087025747439
73,73,-0.31299975330442953,0.03956766891956282
74,74,-0.1885949771112827,0.00037688271167870597
96,96,-0.04598485264485053,0.540942041489435
97,97,-0.16486641710137206,0.22326005867007873
99,99,0.023957018963892462,0.6757500554457835
100,100,-0.1344067046087032,0.20283389172131538
101,101,-0.11499806562090154,0.03352156238042726
102,102,0.08921051358913967,0.2427752395684172
103,103,-0.03031510910031887,0.6065818385517068
104,104,0.052831085469076555,0.4722506915548298
106,106,0.05061530418602267,0.2496098539859606
107,107,0.02048686309004588,0.6876637803662753
108,108,-0.08238589392566942,0.18156472744367314
109,109,-0.13881889904976408,0.1308303322947049
110,110,-0.002372022377221228,0.954226398642454
111,111,-0.10620786899854462,0.09366148758285325
112,112,-0.04224225291595829,0.4941861382976326
113,113,0.1275668470540694,0.5306347162832451
114,114,0.27100287718174787,0.00353004047880998
115,115,0.027350735142555482,0.6362415292761963
116,116,-0.03351339129427355,0.49966680416701215
118,118,-0.03325642576020482,0.5110016151694563
119,119,-0.04291420927116185,0.43851460626557537
120,120,-0.08043364070864278,0.20524459233741713
121,121,-0.010706833716818132,0.8515487644085723
123,123,0.003842986463052256,0.9518748849929579
124,124,-0.09844403439802196,0.1925660665310739
125,125,-0.012699347814663753,0.7969950508415482
126,126,0.002703238215776338,0.9519341872586518
127,127,0.057894593291782925,0.4871224574163603
128,128,-0.06880736954621192,0.24436068835196248
129,129,0.11320097345355107,0.08721228676395701
130,130,0.02455011516614425,0.5968968493770803
131,131,-0.31601323170935425,0.013133057200687743
132,132,-0.10281744044039054,0.03672598105107127
133,133,-0.21607257931327162,0.07535934630532375
134,134,-0.039523323848311254,0.5280039417505473
136,136,0.09189669104098863,0.14331228811844787
137,137,0.02318026297037057,0.636249547774773
138,138,-0.08640967249473697,0.07529750495013376
140,140,0.023617516395249893,0.6668384496791016
142,142,-0.0039899338570519305,0.938096269420444
143,143,0.08461023720931493,0.30138299133994906
144,144,-0.037623971965940584,0.43943379876081745
145,145,-0.10274434055579462,0.04494708633541553
146,146,0.03544182153399866,0.7433605909880239
147,147,0.06099995221524512,0.25265627418927755
148,148,-0.14825462790940058,0.04518011297714475
150,150,0.006286454836173849,0.9020011404921261
151,151,0.07716971959847263,0.13298485075961253
152,152,0.024864794974448046,0.6895242943493072
153,153,0.06625085219071303,0.2310989491691185
155,155,-0.009387559905170484,0.8849820640707016
156,156,0.025668025566009334,0.707538074840635
157,157,-0.10391006678939885,0.11747158671777147
158,158,0.1237171089378486,0.09922810920914167
159,159,0.04310277705817178,0.5254018305096702
181,181,0.09971896785733003,0.25789117142496154
182,182,0.03006189687856886,0.583917135858445
183,183,-0.1556959108076872,0.009921505428865187
184,184,-0.13002066284143954,0.013094774986081255
185,185,0.029877218139232387,0.7150377737396004
186,186,0.030601769950986624,0.5475586355063091
187,187,-0.04308560207597667,0.5367508635246505
188,188,-0.06232761552881261,0.3076265594665095
189,189,0.2233239648343064,0.008142138392093082
190,190,-0.028852411640805098,0.6829698344896789
192,192,0.14809635323697634,0.2047156088037122
193,193,-0.08128556246087726,0.21091477672928213
194,194,0.111983607113042,0.32863354422552704
195,195,-0.11346339992251897,0.08893145903988699
196,196,0.049284927056606254,0.47018997513307703
197,197,0.015366520175759568,0.7865730124039026
198,198,0.00027628138027901983,0.9961310970193349
199,199,0.1430858333117917,0.07822103174725782
200,200,0.005348536203305443,0.9469390020854305
201,201,0.03400727793737879,0.6279749194251556
202,202,-0.04866708857507174,0.2666084630504712
203,203,0.019448352094163512,0.70795384825264
204,204,0.02481441122106265,0.6557719267789863
205,205,0.12212126413881963,0.32616834466147626
206,206,0.060444164760176555,0.8278212844871298
207,207,-0.03219925327624207,0.5172929011975045
208,208,-0.23207489572026763,0.0006983375723274859
210,210,0.062119464964493165,0.2865975860639336
211,211,-0.003815119546469292,0.9412891222614082
212,212,0.14925667470892945,0.08013880070638103
213,213,-0.10696546792256445,0.08433105011730656
214,214,-0.06262156416401865,0.33305825287481694
216,216,-0.006337360984181473,0.9229777919007907
217,217,0.04386071909645661,0.40832629494981265
218,218,-0.02553823506272579,0.6202931605044473
219,219,0.19391016874121014,0.004249375030334034
220,220,-0.030678310625500416,0.5503755937901398
221,221,0.02132599945909508,0.7313755954911376
222,222,-0.029470699661534816,0.681261565347106
223,223,0.14504130498299617,0.06616324731534864
224,224,-0.03914477782915071,0.5175242908702546
225,225,-0.02934988636480318,0.6750663851048824
227,227,-0.04991566699272787,0.4018782129420767
228,228,0.02224713732307393,0.7163812496946542
229,229,-0.1552806829106559,0.1252812398418039
230,230,-0.057713052735360204,0.2966779226199382
231,231,-0.04395655716426505,0.6629943775588978
232,232,0.05160364795674344,0.3885234210025835
233,233,-0.001909152728576835,0.9766404397382936
234,234,-0.05104922486700669,0.31167665783730736
236,236,-0.0017338103032686902,0.9734765339872626
237,237,-0.10359134469797482,0.11156951174954689
238,238,0.06259320583486438,0.22648332898040102
239,239,0.21980023613309907,0.3065413504198064
240,240,0.020588991813229374,0.7549048119398143
241,241,0.13467997175478885,0.10575677266384924
242,242,0.04507385231499228,0.5319475322975208
243,243,-0.019944074834451708,0.7544104646325424
244,244,0.08365449093633259,0.13956341745062048
245,245,-0.040862983594776914,0.6866501902099
246,246,0.04330766594176927,0.4697598211280073
265,265,0.10633150377005496,0.13399446188201786
266,266,-0.10716657862467072,0.5040724785247518
267,267,0.01577869173673463,0.7580698183146459
268,268,-0.058692002439777013,0.25402447156334534
269,269,-0.022120689259402138,0.7341218658252491
270,270,-0.02320575670858993,0.5935548930249868
271,271,0.03163655585097125,0.6964744230961826
272,272,-0.05900611768238706,0.48363860499684863
273,273,0.053027691494039964,0.2679587820001249
274,274,0.13498251822093055,0.0873053193458806
275,275,-0.07635631720244218,0.20951900752111235
276,276,-0.13918543513856552,0.2851387052447447
277,277,-0.05090320548561955,0.4271945348959485
278,278,0.05400738111011805,0.5426260042971109
279,279,-0.19396982298418664,0.0689752297274547
280,280,-0.1662373801374324,0.015545737572675838
281,281,0.052967512469138,0.37712991327145085
282,282,0.03332921539783218,0.603730589947704
283,283,-0.03854037703134949,0.3684139748021852
284,284,-0.04060280249990811,0.446277833703562
285,285,-0.046658186469034746,0.46031430371014415
286,286,-0.04785481112262935,0.36776056723028816
287,287,0.11628877945846905,0.025376167755337204
